geo,time,sl_emp_smgt_fe_zs
afg,2017,4.26
ago,2014,18.19
alb,2007,22.81
alb,2008,24.43
alb,2009,21.98
alb,2010,16.25
alb,2012,14.71
alb,2013,29.3
alb,2014,20.62
alb,2015,19.28
alb,2016,24.02
alb,2017,22.65
alb,2018,31.6
alb,2019,41.34
are,2017,12.17
are,2018,15.75
arg,2004,28.61
arg,2005,26.26
arg,2006,29.41
arg,2008,29.93
arg,2009,34.43
arg,2010,32.14
arg,2011,30.15
arg,2012,32.34
arg,2013,36.49
arg,2014,38.64
arg,2017,32.63
arg,2018,33.18
arg,2019,33.14
aut,2000,28.13
aut,2001,29.38
aut,2002,30.78
aut,2003,28.5
aut,2004,22.18
aut,2005,21.5
aut,2006,20.96
aut,2007,21
aut,2008,25.19
aut,2009,23.25
aut,2010,25.42
aut,2011,26.07
aut,2012,27.13
aut,2013,26.33
aut,2014,27.85
aut,2015,27.88
aut,2016,29.52
aut,2017,29.19
aut,2018,28.86
aut,2019,32.01
bel,2000,24.53
bel,2001,28.38
bel,2002,27.97
bel,2003,27.33
bel,2004,26.91
bel,2005,30.24
bel,2006,31.13
bel,2007,33.54
bel,2008,31.9
bel,2009,34.57
bel,2010,34.77
bel,2011,30.45
bel,2012,31.67
bel,2013,30.75
bel,2014,31.3
bel,2015,31.04
bel,2016,31.98
bel,2017,32.91
bel,2018,33.45
bel,2019,31.88
bfa,2018,23.95
bgd,2006,10.9
bgd,2010,10.04
bgd,2017,11.48
bgr,2000,37.46
bgr,2001,40.52
bgr,2002,42.31
bgr,2003,37.8
bgr,2004,41.43
bgr,2005,40.61
bgr,2006,37.56
bgr,2007,36.41
bgr,2008,36.51
bgr,2009,35.79
bgr,2010,38.63
bgr,2011,37
bgr,2012,35.5
bgr,2013,36
bgr,2014,35.36
bgr,2015,37.38
bgr,2016,39.28
bgr,2017,39.29
bgr,2018,39.28
bgr,2019,39.25
bih,2006,23.73
bih,2007,20.27
bih,2008,33.35
bih,2009,27.67
bih,2011,22.6
bih,2012,23.03
bih,2013,21.42
bih,2014,24.16
bih,2015,24.18
bih,2016,18.78
bih,2017,18.83
bih,2018,26.12
bih,2019,25.43
blz,2015,39.14
blz,2016,41.71
bol,2011,35.66
bol,2012,31.5
