geo,time,si_pov_mdim_17_xq
afg,2016,0.3
afg,2020,0.29
ago,2015,0.326
btn,2010,0.14
btn,2017,0.0283
lka,2019,0.071
mdv,2016,0.176
nam,2015,0.231
npl,2014,0.164
npl,2019,0.096
pan,2018,0.149
slv,2014,0.1836
slv,2016,0.1803
slv,2017,0.1783
slv,2018,0.1569
slv,2019,0.1504
tha,2015,0.075
