geo,time,gc_nfn_totl_cn
afg,2006,38896840469.76
afg,2007,46202459832.6491
afg,2008,204046591397.85696
afg,2009,177152602717.29999
afg,2010,228087981838.146
afg,2011,297233694647.69202
afg,2012,258855043822.99701
afg,2013,259175000000
afg,2014,177144164547.173
afg,2015,226358182812.39301
ago,1999,3103387032
ago,2000,4279424091
ago,2001,11284617969
ago,2002,27486755445
ago,2003,194348000000
ago,2004,35483680452
ago,2005,93856212790
ago,2006,322979000000
ago,2007,530290000000
ago,2008,891634000000
ago,2009,476029000000
ago,2010,654581000000
ago,2011,762719000000
ago,2012,828285000000
ago,2013,1532680000000
ago,2014,1905956046003.22949
ago,2015,568380653387.48999
ago,2016,633343759456.18005
alb,1995,10841000000
alb,1996,12749815000
alb,1997,12599780000
alb,1998,21626812000
alb,2002,40509950000
alb,2003,31413800000
alb,2004,38217000000
alb,2011,66456590000
alb,2012,58582240000
alb,2013,52826590000
alb,2014,56288710000
alb,2015,58941110000
alb,2016,57099400000
are,1997,513000000
are,1998,926000000
are,1999,805000000
are,2011,5463614725.11998
are,2012,5769970028.05998
are,2013,2238719554.76
are,2014,5800109763.93
are,2015,8594604530.50999
are,2016,8351670357.92
arg,1990,117100000
arg,1991,336500000
arg,1992,487200000
arg,1993,791100000
arg,1994,744300000
arg,1995,601300000
arg,1996,569600000
arg,1997,713400000
arg,1998,727900000
arg,1999,544000000
arg,2000,332300000
arg,2001,281300000
arg,2002,344800000
arg,2003,777018487.24
arg,2004,1621200000
arg,2014,31008200000
arg,2015,32085700000
arg,2016,42756250000
arm,2004,53609186960
arm,2005,63675641940
arm,2006,93521902296
arm,2007,179600300000
arm,2008,96318742610
arm,2009,211600607410
arm,2010,191186412620
arm,2011,174193972530
arm,2012,130510000000
arm,2014,133747000000
arm,2015,169986224860
arm,2016,167274322900
aus,1972,195000000
aus,1973,194000000
aus,1974,246000000
aus,1975,500000000
aus,1976,625000000
aus,1977,553000000
aus,1978,425000000
aus,1979,323000000
aus,1980,371000000
aus,1981,237000000
aus,1982,460000000
aus,1983,680000000
aus,1984,668000000
aus,1985,2747000000
aus,1986,3204000000
aus,1987,3586000000
aus,1988,2901000000
aus,1989,3194000000
aus,1990,3886000000
aus,1991,3933000000
aus,1992,4239000000
aus,1993,3827000000
aus,1994,3578000000
aus,1995,4341000000
aus,1996,4332000000
aus,1997,4305000000
aus,1998,4637000000
aus,1999,2258000000
aus,2000,1199000000
aus,2001,1275000
aus,2002,2436000
aus,2003,2495000
aus,2004,3474000
aus,2005,6677000
aus,2006,8221000
aus,2007,8705000
aus,2008,9766000
aus,2009,12086000
aus,2010,14668000
aus,2011,13886000
aus,2012,13837000
aus,2013,8984000
aus,2014,13292000
aus,2015,14634000
aus,2016,13973000
aut,1972,630800200.57702
aut,1973,656235692.53577
aut,1974,670770259.36934
aut,1975,803761545.89653
aut,1976,800127904.18814
aut,1977,872800738.356
aut,1978,874254195.03935
aut,1979,1031954245.18361
aut,1980,1149684236.53554
aut,1981,1227444169.09515
aut,1982,1275408239.64594
aut,1983,1322645581.85505
aut,1984,1365522554.01408
aut,1985,1364069097.33073
aut,1986,1446916128.28209
aut,1987,1156951519.95233
aut,1988,1168579173.41918
aut,1989,1279768609.69601
aut,1990,1236891637.53697
aut,1991,1278315153.01265
aut,1992,1238345094.22033
aut,1993,1228170897.43683
aut,1994,1258693487.78733
aut,1995,2643350000
aut,1996,2562710000
aut,1997,2385820000
aut,1998,2485560000
aut,1999,2531970000
aut,2000,2513570000
aut,2001,2663820000
aut,2002,2686700000
aut,2003,2609490000
aut,2004,2803110000
aut,2005,4235870000
aut,2006,4078210000
aut,2007,5288790000
aut,2008,5905500000
aut,2009,5611700000
aut,2010,5672250000
aut,2011,5660860000
aut,2012,5407120000
aut,2013,5753700000
aut,2014,5412390000
aut,2015,5773780000
aut,2016,6237260000
aze,1994,9643600
aze,1995,27799000
aze,1996,24759000
aze,1997,93395400
