global,time,ny_adj_svng_gn_zs
world,1990,7.40919
world,1991,7.02089
world,1992,6.91151
world,1993,6.50163
world,1994,7.79239
world,1995,8.48462
world,1996,10.49714
world,1997,11.01177
world,1998,10.69473
world,1999,10.14973
world,2000,10.09818
world,2001,9.25955
world,2002,8.83601
world,2003,8.93521
world,2004,9.65504
world,2005,9.89292
world,2006,10.95864
world,2007,11.17448
world,2008,9.8506
world,2009,8.13321
world,2010,9.95447
world,2011,10.30291
world,2012,10.8122
world,2013,10.81341
world,2014,11.39948
world,2015,11.62115
world,2016,11.23461
world,2017,11.85554
world,2018,11.77824
world,2019,11.48145
