geo,time,si_rmt_cost_ob_zs
nld,2016,8.12028
nld,2017,8.19792
nld,2018,7.75709
nld,2019,6.857
nld,2020,7.30361
nor,2011,13.07548
nor,2012,11.10905
nor,2013,10.57
nor,2014,7.62371
nor,2015,8.77766
nor,2016,8.19943
nor,2017,6.22031
nor,2018,6.24587
nor,2019,6.20659
nor,2020,4.0834
nzl,2011,11.99091
nzl,2012,9.5188
nzl,2013,9.27
nzl,2014,8.90971
nzl,2015,8.32496
nzl,2016,8.55981
nzl,2017,9.17656
nzl,2018,8.27995
nzl,2019,8.24778
nzl,2020,7.8272
omn,2016,3.64671
omn,2017,3.86779
omn,2018,4.29039
omn,2019,4.17136
omn,2020,4.23369
pak,2016,9.87026
pak,2017,12.069
pak,2018,11.98808
pak,2019,13.91798
pak,2020,15.50932
prt,2016,6.6511
prt,2017,7.90245
prt,2018,5.73531
prt,2019,7.67959
prt,2020,7.16228
qat,2011,5.05026
qat,2012,5.32539
qat,2013,6.33
qat,2014,5.00502
qat,2015,5.98636
qat,2016,4.94149
qat,2017,5.26468
qat,2018,5.21439
qat,2019,5.10217
qat,2020,4.87105
rus,2011,2.6753
rus,2012,2.42464
rus,2013,2.43
rus,2014,1.83133
rus,2015,1.92217
rus,2016,1.70626
rus,2017,2.13137
rus,2018,1.84764
rus,2019,1.59434
rus,2020,1.94311
rwa,2016,7.04221
rwa,2017,6.22501
rwa,2018,6.74776
rwa,2019,5.37425
rwa,2020,8.53786
sau,2011,4.12752
sau,2012,4.24523
sau,2013,4.05
sau,2014,3.84778
sau,2015,4.13364
sau,2016,4.5942
sau,2017,5.10439
sau,2018,6.3377
sau,2019,4.98748
sau,2020,4.80335
sen,2011,6.20995
sen,2012,6.35591
sen,2013,6.34
sen,2014,4.80287
sen,2015,4.80287
sen,2016,4.80287
sen,2017,4.06075
sen,2018,3.47462
sen,2019,3.57441
sen,2020,3.25914
sgp,2011,4.62925
sgp,2012,4.7977
sgp,2013,4.91
sgp,2014,4.38314
sgp,2015,5.93727
sgp,2016,4.4414
sgp,2017,4.54801
sgp,2018,4.06826
sgp,2019,4.04245
sgp,2020,3.31103
swe,2016,7.89654
swe,2017,9.59244
swe,2018,8.0856
swe,2019,7.95407
swe,2020,7.92532
tha,2016,14.65146
tha,2017,16.91034
tha,2018,15.84109
tha,2019,12.90407
tha,2020,13.31229
tur,2016,10.37941
tur,2017,10.40887
tur,2018,13.09107
tur,2019,13.60294
tur,2020,11.11484
tza,2011,24.31347
tza,2012,20.66375
tza,2013,20.47
tza,2014,17.56749
tza,2015,16.16118
tza,2016,15.85605
tza,2017,14.40222
tza,2018,16.78392
tza,2019,14.18935
tza,2020,19.73114
usa,2011,6.93164
usa,2012,6.8
usa,2013,6.42
usa,2014,5.91755
usa,2015,6.04455
usa,2016,6.09326
usa,2017,5.70548
usa,2018,5.42067
usa,2019,5.35848
usa,2020,5.14099
zaf,2011,17.73139
zaf,2012,20.55966
zaf,2013,19.29
zaf,2014,19.53629
zaf,2015,15.19036
zaf,2016,16.95078
zaf,2017,16.57057
zaf,2018,15.82208
zaf,2019,15.95753
zaf,2020,15.04861
