geo,time,ip_tmk_resd
abw,1989,47
abw,1992,177
abw,2002,89
ago,1992,93
ago,2016,1585
ago,2017,1724
ago,2018,2354
ago,2019,2604
alb,1994,1
alb,1995,4
alb,1996,26
alb,1997,36
alb,1998,27
alb,1999,17
alb,2000,32
alb,2001,54
alb,2002,106
alb,2003,132
alb,2004,128
alb,2005,147
alb,2006,186
alb,2007,148
alb,2008,216
alb,2009,213
alb,2010,286
alb,2011,274
alb,2013,377
alb,2014,420
alb,2015,509
alb,2016,662
alb,2017,684
alb,2018,917
alb,2019,788
and,1996,164
and,1997,504
and,1998,498
and,1999,226
and,2000,728
and,2001,600
and,2002,240
and,2003,258
and,2004,202
and,2005,304
and,2006,239
and,2007,259
and,2008,325
and,2009,243
and,2010,259
and,2011,225
and,2012,182
and,2014,191
and,2015,190
and,2016,224
and,2017,215
and,2018,256
and,2019,303
are,2011,3208
are,2012,4130
are,2013,5293
are,2014,6992
are,2015,6425
are,2016,5199
are,2017,6075
are,2018,4711
are,2019,5507
arg,1980,18498
arg,1981,22667
arg,1982,19455
arg,1983,23879
arg,1986,51434
arg,1987,46106
arg,1988,37092
arg,1989,33368
arg,1990,52578
arg,1991,34654
arg,1992,26749
arg,1993,27037
arg,1994,36316
arg,1995,43096
arg,1996,33693
arg,1997,42784
arg,1998,52569
arg,1999,45377
arg,2000,42900
arg,2001,27587
arg,2002,30721
arg,2003,61843
arg,2004,59683
arg,2005,59264
arg,2006,58283
arg,2007,53669
arg,2008,66326
arg,2009,65273
arg,2010,68974
arg,2011,57346
arg,2012,44398
arg,2013,40291
arg,2014,44134
arg,2015,52208
arg,2016,55739
arg,2017,59669
arg,2018,55492
arg,2019,49081
arm,1995,6
arm,1996,44
arm,1997,61
arm,1998,574
arm,1999,791
arm,2000,510
arm,2001,407
arm,2002,388
arm,2003,695
arm,2004,1600
arm,2005,963
arm,2006,945
arm,2007,882
arm,2008,939
arm,2009,1115
arm,2010,1266
arm,2011,1102
arm,2012,1122
arm,2013,1167
arm,2014,1342
arm,2015,1340
arm,2016,1261
arm,2017,1473
arm,2018,1560
arm,2019,2157
atg,2011,14
atg,2012,4
atg,2013,16
atg,2014,14
atg,2015,38
atg,2016,29
atg,2017,23
atg,2018,31
aus,1980,7997
aus,1981,8782
aus,1982,9681
aus,1983,8036
aus,1984,9251
aus,1985,11397
aus,1986,12364
aus,1987,13809
aus,1988,15071
aus,1989,14242
aus,1990,12826
aus,1991,12624
aus,1992,14856
aus,1993,10039
aus,1994,12484
aus,1995,14575
aus,1996,14772
aus,1997,16022
aus,1998,18928
aus,1999,23858
aus,2000,27301
aus,2001,24970
aus,2002,26439
aus,2003,30398
aus,2004,36773
aus,2005,38191
aus,2006,40239
aus,2007,40004
aus,2008,38391
aus,2009,38472
aus,2010,39641
aus,2011,40154
aus,2012,41181
aus,2013,39675
aus,2014,41682
aus,2015,47088
aus,2016,47059
aus,2017,46344
aus,2018,48283
aus,2019,44189
aut,1980,4194
aut,1981,3457
aut,1982,4062
aut,1983,3377
aut,1984,3727
aut,1985,5425
aut,1986,2530
aut,1987,3030
aut,1988,3533
aut,1989,3712
aut,1990,3788
aut,1991,3605
aut,1992,3655
aut,1993,3798
aut,1994,3876
aut,1995,4281
aut,1996,5034
aut,1997,5371
aut,1998,6251
aut,1999,6708
aut,2000,7839
aut,2001,7548
aut,2002,7275
aut,2003,7477
aut,2004,7342
aut,2005,7569
aut,2006,7656
aut,2007,7850
aut,2008,7254
aut,2009,6385
aut,2010,5913
aut,2011,5695
aut,2012,5862
aut,2013,5741
aut,2014,5656
aut,2015,5267
aut,2016,5122
aut,2017,5059
aut,2018,5384
aut,2019,5689
aze,1995,53
aze,1996,28
aze,2001,591
aze,2002,485
aze,2003,671
aze,2004,1040
aze,2005,1597
aze,2006,1776
aze,2007,1626
aze,2008,1834
aze,2009,1655
aze,2010,1532
aze,2011,1916
aze,2012,899
aze,2013,1117
aze,2014,1015
aze,2015,856
aze,2016,1030
aze,2017,1172
aze,2018,1269
aze,2019,1548
bdi,1981,9
bdi,1982,2
bdi,1983,4
bdi,1984,5
bdi,1986,6
bdi,1989,4
bdi,1990,14
bdi,1991,6
bdi,1992,14
bdi,1993,3
bdi,1994,7
bdi,1995,7
bdi,1996,6
bdi,2002,20
bel,1980,4949
bel,1981,5390
bel,1982,5973
bel,1983,6450
bel,1984,7057
bel,1985,7725
bel,1986,8069
bel,1987,18640
bel,1988,12352
bel,1989,13297
bel,1990,14467
