global,time,se_prm_priv_zs
world,1970,9.56207
world,1971,9.8727
world,1972,9.66169
world,1973,9.45172
world,1974,9.10619
world,1975,8.66297
world,1976,8.58447
world,1977,8.50545
world,1978,8.4612
world,1979,8.38856
world,1980,8.36879
world,1981,8.37317
world,1982,8.42065
world,1983,8.46372
world,1984,8.49873
world,1985,8.49227
world,1986,8.48791
world,1987,8.51265
world,1988,8.63842
world,1989,8.76963
world,1990,8.88472
world,1991,8.89664
world,1992,9.03664
world,1993,9.16843
world,1994,9.29115
world,1995,9.49392
world,1996,9.61107
world,1997,9.71033
world,1998,9.82549
world,1999,9.99478
world,2000,10.1066
world,2001,10.35037
world,2002,10.42435
world,2003,11.08138
world,2004,11.47391
world,2005,12.11672
world,2006,12.57092
world,2007,13.1651
world,2008,13.54937
world,2009,14.16801
world,2010,14.78325
world,2011,15.5486
world,2012,16.03604
world,2013,16.43465
world,2014,16.81675
world,2015,16.92185
world,2016,16.8851
world,2017,17.29561
world,2018,18.50216
world,2019,18.56405
