geo,time,sh_xpd_oopc_pc_cd
afg,2002,13.49205
afg,2003,14.66253
afg,2004,17.25442
afg,2005,18.86635
afg,2006,21.38544
afg,2007,24.44519
afg,2008,28.7307
afg,2009,30.3655
afg,2010,35.54102
afg,2011,37.2528
afg,2012,38.3159
afg,2013,39.65127
afg,2014,43.10952
afg,2015,46.17229
afg,2016,45.72795
afg,2017,49.5966
afg,2018,53.35506
afg,2019,52.18328
ago,2000,3.54933
ago,2001,13.03949
ago,2002,14.42651
ago,2003,16.91819
ago,2004,23.3568
ago,2005,22.97003
ago,2006,21.40843
ago,2007,26.35744
ago,2008,29.36305
ago,2009,18.61011
ago,2010,18.70483
ago,2011,21.97174
ago,2012,21.52809
ago,2013,30.65903
ago,2014,35.38184
ago,2015,36.40044
ago,2016,33.49249
ago,2017,39.01213
ago,2018,31.98358
ago,2019,26.7222
alb,2000,48.6945
alb,2001,51.75642
alb,2002,57.4827
alb,2003,68.05231
alb,2004,82.44523
alb,2005,86.80731
alb,2006,89.61615
alb,2007,124.43958
alb,2008,116.99685
alb,2009,87.84079
alb,2010,90.89785
alb,2011,104.57328
alb,2012,107.68097
alb,2013,120.56795
alb,2014,131.07268
alb,2015,83.48672
alb,2016,84.37203
alb,2017,100.58674
alb,2018,122.56802
and,2000,202.13067
and,2001,211.22605
and,2002,228.22078
and,2003,290.00487
and,2004,343.11475
and,2005,361.04136
and,2006,382.45245
and,2007,427.37997
and,2008,434.29406
and,2009,384.1923
and,2010,367.79848
and,2011,392.64015
and,2012,357.2446
and,2013,361.62989
and,2014,351.72773
and,2015,326.9864
and,2016,329.13941
and,2017,337.43285
and,2018,383.39691
and,2019,359.89432
are,2000,173.8013
are,2001,117.2374
are,2002,240.57146
are,2003,243.40602
are,2004,272.01524
are,2005,275.27812
are,2006,289.52624
are,2007,309.75707
are,2008,327.56422
are,2009,208.81819
are,2010,235.92013
are,2011,242.87217
are,2012,234.93328
are,2013,261.43436
are,2014,282.83857
are,2015,246.48232
are,2016,248.53286
are,2017,188.37632
are,2018,230.73251
are,2019,230.47485
arg,2000,206.28263
arg,2001,198.96925
arg,2002,67.14092
arg,2003,74.09568
arg,2004,86.10637
arg,2005,129.82177
arg,2006,147.72799
arg,2007,178.97019
arg,2008,225.90315
arg,2009,205.74423
arg,2010,263.7932
arg,2011,324.97229
arg,2012,356.98677
arg,2013,381.25185
arg,2014,347.82035
arg,2015,397.15023
arg,2016,341.08405
arg,2017,395.28476
arg,2018,312.76915
arg,2019,261.64733
arm,2000,16.2029
arm,2001,16.41342
arm,2002,44.86413
arm,2003,51.03548
arm,2004,51.66684
arm,2005,60.6418
arm,2006,77.23344
arm,2007,100.50466
arm,2008,190.24504
arm,2009,186.17024
arm,2010,230.72148
arm,2011,259.23624
arm,2012,264.30525
arm,2013,328.37998
arm,2014,334.65074
arm,2015,297.92687
arm,2016,288.27852
arm,2017,342.15855
arm,2018,355.88459
arm,2019,444.32133
atg,2000,113.91461
atg,2001,128.2328
atg,2002,125.08533
atg,2003,139.93274
atg,2004,142.3973
atg,2005,169.68341
atg,2006,196.51967
atg,2007,225.90891
atg,2008,215.01579
atg,2009,149.49478
atg,2010,173.23528
atg,2011,178.81503
atg,2012,195.6
atg,2013,190.34923
atg,2014,200.93519
atg,2015,177.47831
atg,2016,214.22662
atg,2017,199.26978
atg,2018,191.33996
atg,2019,184.47905
aus,2000,344.10425
aus,2001,319.70151
aus,2002,352.67705
aus,2003,430.68496
aus,2004,531.8076
aus,2005,591.86126
aus,2006,628.98097
aus,2007,722.04741
aus,2008,778.94761
aus,2009,761.22582
aus,2010,976.60981
aus,2011,1123.83395
aus,2012,1201.11267
aus,2013,1133.96929
aus,2014,1088.03149
aus,2015,911.32546
aus,2016,921.68952
aus,2017,961.65289
aus,2018,956.0237
aus,2019,867.36732
aut,2000,404.40873
aut,2001,421.41996
aut,2002,464.93499
aut,2003,583.88485
aut,2004,693.836
aut,2005,711.77524
aut,2006,730.24436
aut,2007,842.28336
aut,2008,922.7345
aut,2009,889.74566
aut,2010,893.02564
aut,2011,968.42658
aut,2012,927.37333
aut,2013,1003.6804
aut,2014,1030.07961
aut,2015,880.63944
aut,2016,906.33807
aut,2017,1019.32947
aut,2018,1042.81412
aut,2019,999.78459
aze,2000,13.13273
aze,2001,13.44936
aze,2002,14.88554
aze,2003,16.39012
aze,2004,18.0109
aze,2005,20.52321
aze,2006,28.33375
aze,2007,39.74373
aze,2008,58.15568
aze,2009,72.04337
aze,2010,84.47678
aze,2011,105.6131
aze,2012,135.19108
aze,2013,154.06186
aze,2014,175.29431
aze,2015,152.7785
aze,2016,110.94967
aze,2017,112.46529
aze,2018,123.31087
aze,2019,131.24163
bdi,2000,3.52195
bdi,2001,3.46811
bdi,2002,3.28259
bdi,2003,3.00851
bdi,2004,3.51409
bdi,2005,4.49374
bdi,2006,5.79349
bdi,2007,6.51706
bdi,2008,6.58705
bdi,2009,6.92112
bdi,2010,7.44864
bdi,2011,6.40254
bdi,2012,4.88319
bdi,2013,4.62566
bdi,2014,6.14425
bdi,2015,5.99842
bdi,2016,5.6528
bdi,2017,5.98118
bdi,2018,5.34914
bdi,2019,5.07532
bel,2000,374.18674
bel,2001,368.2466
bel,2002,435.10392
bel,2003,597.43007
bel,2004,674.53334
bel,2005,695.84546
bel,2006,729.37928
bel,2007,849.98286
bel,2008,942.50685
bel,2009,927.48217
bel,2010,906.86051
bel,2011,973.42503
bel,2012,911.34621
bel,2013,970.21423
bel,2014,980.51939
bel,2015,829.97715
bel,2016,816.47073
bel,2017,850.31404
bel,2018,936.35554
bel,2019,901.44668
ben,2000,8.33037
ben,2001,8.39722
ben,2002,9.21396
ben,2003,11.45602
ben,2004,12.54451
ben,2005,12.33949
ben,2006,12.85234
ben,2007,13.70085
ben,2008,14.36457
ben,2009,14.15381
ben,2010,13.97805
ben,2011,15.24966
ben,2012,14.62622
ben,2013,15.13387
ben,2014,15.16124
ben,2015,12.67826
ben,2016,12.80842
ben,2017,13.05866
ben,2018,13.88446
ben,2019,13.70158
bfa,2000,3.18072
bfa,2001,3.29645
bfa,2002,3.35101
bfa,2003,3.93125
bfa,2004,5.37058
bfa,2005,5.55689
bfa,2006,6.59435
bfa,2007,7.6712
bfa,2008,9.25745
bfa,2009,9.97237
bfa,2010,10.24045
bfa,2011,11.48217
bfa,2012,11.29807
bfa,2013,14.69251
bfa,2014,13.51023
bfa,2015,12.08016
bfa,2016,12.86162
bfa,2017,14.1009
bfa,2018,14.42873
bfa,2019,14.69082
bgd,2000,5.22992
bgd,2001,5.44727
bgd,2002,5.81823
bgd,2003,6.41094
bgd,2004,6.92953
bgd,2005,7.52774
