geo,time,se_prm_enrr
abw,1999,112.21318
abw,2000,110.78818
abw,2001,109.44096
abw,2002,111.01083
abw,2003,109.2143
abw,2004,110.83905
abw,2005,111.37672
abw,2006,114.25115
abw,2007,115.21158
abw,2008,113.09161
abw,2009,113.80179
abw,2010,113.7943
abw,2011,105.25586
abw,2012,104.08713
abw,2013,116.0393
abw,2014,117.10809
afg,1970,31.17659
afg,1971,32.00761
afg,1972,32.26189
afg,1973,32.58422
afg,1974,33.1083
afg,1975,34.1852
afg,1976,35.23205
afg,1977,36.11149
afg,1978,37.63702
afg,1980,44.13337
afg,1981,47.7117
afg,1982,17.30882
afg,1984,21.9917
afg,1985,23.91285
afg,1986,25.85167
afg,1988,32.54501
afg,1989,30.252
afg,1990,29.04142
afg,1991,27.41422
afg,1993,29.10315
afg,1994,40.00014
afg,1995,42.75143
afg,1998,31.05335
afg,1999,25.30797
afg,2000,20.95758
afg,2001,20.88291
afg,2002,68.98685
afg,2003,93.36218
afg,2004,104.66382
afg,2005,98.09989
afg,2006,101.69785
afg,2007,98.93351
afg,2008,100.77973
afg,2009,96.8964
afg,2010,100.07171
afg,2011,97.64164
afg,2012,103.49239
afg,2013,104.49843
afg,2014,105.91971
afg,2015,103.53452
afg,2016,102.48647
afg,2017,102.17579
afg,2018,103.99616
afg,2019,106.70108
ago,1971,58.57027
ago,1972,64.29822
ago,1973,67.90733
ago,1974,75.88877
ago,1980,142.74409
ago,1981,123.53842
ago,1982,114.47567
ago,1983,103.94402
ago,1984,91.82414
ago,1985,73.37913
ago,1986,79.39194
ago,1987,79.46468
ago,1988,77.86546
ago,1989,77.59636
ago,1990,73.03959
ago,1991,66.80437
ago,1992,64.24715
ago,1998,71.53195
ago,2007,98.97358
ago,2008,105.18021
ago,2009,104.13057
ago,2010,105.78104
ago,2011,119.53014
ago,2015,113.47796
alb,1976,119.32974
alb,1978,114.95519
alb,1979,112.15107
alb,1980,107.44397
alb,1981,104.95196
alb,1982,103.52771
alb,1983,102.56646
alb,1984,103.48936
alb,1985,103.67783
alb,1986,103.56321
alb,1987,101.45642
alb,1988,99.58477
alb,1989,99.43751
alb,1990,99.45175
alb,1991,101.23315
alb,1992,99.55587
alb,1993,98.52026
alb,1994,101.52879
alb,1995,104.04384
alb,1996,106.30182
alb,1997,108.01988
alb,1998,107.17116
alb,1999,105.73665
alb,2000,104.19619
alb,2001,102.96737
alb,2002,101.41151
alb,2003,100.00514
alb,2004,98.178
