geo,time,se_ter_cuat_ms_fe_zs
srb,2014,1.39055
srb,2015,1.92435
srb,2016,2.21512
srb,2017,2.28935
srb,2019,2.59412
ssd,2008,0.55829
stp,2012,0
svk,2011,16.2248
svk,2014,15.28881
svk,2015,16.97681
svk,2016,18.43035
svk,2017,19.46515
svk,2018,20.37294
svk,2019,21.51482
svn,2014,14.55696
svn,2015,16.38924
svn,2016,16.82423
svn,2017,17.67214
svn,2019,18.5177
swe,2013,10.2929
swe,2014,10.62271
swe,2015,10.94381
swe,2016,11.28401
swe,2017,11.58177
swe,2019,12.29621
tcd,2009,0.06276
tha,2013,1.92014
tha,2016,2.33598
tha,2018,2.2785
tha,2019,2.26917
tjk,1989,8.1
tjk,2017,6.37622
tto,2011,1.66261
tur,2013,1.23993
tur,2014,1.32244
tur,2015,1.44358
tur,2016,1.48152
tur,2017,1.91373
tur,2019,2.2131
ukr,2001,15.63043
ury,2013,1.42686
ury,2014,1.75143
ury,2015,1.79331
ury,2016,1.88869
ury,2017,2.04556
ury,2018,2.21074
ury,2019,2.3099
usa,2013,11.20828
usa,2014,11.61702
usa,2015,11.98897
usa,2016,12.64748
usa,2018,13.24493
usa,2020,14.48227
ven,2015,1.24196
ven,2016,1.19502
vnm,2019,0.5881
zaf,2014,0.58852
zaf,2015,1.08625
zaf,2017,1.32807
zaf,2019,0.61452
zwe,2017,0.44312
