global,time,se_adt_litr_fe_zs
world,1976,58.42026
world,1977,58.61988
world,1978,59.18436
world,1979,59.72892
world,1980,60.09354
world,1981,60.81179
world,1982,61.37609
world,1983,62.05171
world,1984,62.72146
world,1985,63.31183
world,1986,63.85537
world,1987,64.5435
world,1988,66.58945
world,1989,67.13362
world,1990,67.46975
world,1991,68.18644
world,1992,68.65706
world,1993,69.13554
world,1994,69.66801
world,1995,70.19752
world,1996,70.73267
world,1997,73.56366
world,1998,74.71396
world,1999,75.16028
world,2000,75.34387
world,2001,75.79277
world,2002,76.22312
world,2003,76.81378
world,2004,77.29448
world,2005,77.14741
world,2006,77.81728
world,2007,78.11155
world,2008,78.66421
world,2009,79.07055
world,2010,79.80433
world,2011,80.24647
world,2012,80.69907
world,2013,80.93791
world,2014,81.52601
world,2015,81.769
world,2016,82.30731
world,2017,82.63962
world,2018,82.72289
world,2019,83.02391
world,2020,83.2976
