geo,time,ag_lnd_crop_zs
afg,1961,0.07659
afg,1962,0.0919
afg,1963,0.0919
afg,1964,0.11182
afg,1965,0.11488
afg,1966,0.11947
afg,1967,0.20678
afg,1968,0.20831
afg,1969,0.20831
afg,1970,0.20831
afg,1971,0.20831
afg,1972,0.20831
afg,1973,0.21138
afg,1974,0.21138
afg,1975,0.21138
afg,1976,0.21138
afg,1977,0.21444
afg,1978,0.21444
afg,1979,0.21291
afg,1980,0.21291
afg,1981,0.21904
afg,1982,0.22057
afg,1983,0.22057
afg,1984,0.22057
afg,1985,0.22057
afg,1986,0.22057
afg,1987,0.20678
afg,1988,0.19912
afg,1989,0.19912
afg,1990,0.19912
afg,1991,0.18381
afg,1992,0.18381
afg,1993,0.16849
afg,1994,0.16849
afg,1995,0.15317
afg,1996,0.16083
afg,1997,0.16083
afg,1998,0.16849
afg,1999,0.15317
afg,2000,0.10722
afg,2001,0.10722
afg,2002,0.11488
afg,2003,0.21138
afg,2004,0.14551
afg,2005,0.16083
afg,2006,0.17768
afg,2007,0.17768
afg,2008,0.17768
afg,2009,0.17921
afg,2010,0.18074
afg,2011,0.18227
afg,2012,0.18381
afg,2013,0.19147
afg,2014,0.21291
afg,2015,0.2221
afg,2016,0.27724
afg,2017,0.32319
afg,2018,0.33085
ago,1961,0.40106
ago,1962,0.40106
ago,1963,0.40106
ago,1964,0.40106
ago,1965,0.40106
ago,1966,0.40106
ago,1967,0.40106
ago,1968,0.40106
ago,1969,0.40106
ago,1970,0.40106
ago,1971,0.40106
ago,1972,0.40106
ago,1973,0.40106
ago,1974,0.40106
ago,1975,0.40106
ago,1976,0.40106
ago,1977,0.40106
ago,1978,0.40106
ago,1979,0.40106
ago,1980,0.40106
ago,1981,0.40106
ago,1982,0.40106
ago,1983,0.40106
ago,1984,0.40106
ago,1985,0.40106
ago,1986,0.40106
ago,1987,0.40106
ago,1988,0.40106
ago,1989,0.40106
ago,1990,0.40106
ago,1991,0.40106
ago,1992,0.40106
ago,1993,0.40106
ago,1994,0.40106
ago,1995,0.40106
ago,1996,0.40106
ago,1997,0.40106
ago,1998,0.40106
ago,1999,0.32085
ago,2000,0.24064
ago,2001,0.24064
ago,2002,0.23261
ago,2003,0.23261
ago,2004,0.23261
ago,2005,0.23261
ago,2006,0.23261
ago,2007,0.23261
ago,2008,0.23261
ago,2009,0.23261
ago,2010,0.23261
ago,2011,0.23261
ago,2012,0.23261
ago,2013,0.23261
ago,2014,0.23261
ago,2015,0.23261
