geo,time,se_xpd_cter_zs
abw,1998,98.72569
abw,1999,98.17519
abw,2000,99.99783
abw,2001,97.30099
abw,2002,100
abw,2005,99.06928
abw,2007,100
abw,2008,100
abw,2009,100
abw,2011,100
abw,2012,100
abw,2013,100
abw,2014,100
abw,2015,100
abw,2016,100
afg,2010,78.94293
afg,2011,77.54963
afg,2012,65.43368
afg,2013,67.14701
afg,2014,72.43394
afg,2015,68.05422
ago,2006,71.11404
alb,2013,85.17836
alb,2015,90.79504
alb,2017,92.24943
alb,2018,89.85303
alb,2019,88.95677
and,2006,96.69634
and,2007,90.84389
and,2008,95.16091
and,2009,94.55032
and,2010,94.55032
and,2011,94.55032
and,2013,98.72049
and,2014,99.47259
and,2015,98.74201
and,2016,99.95052
and,2017,99.17421
and,2018,99.20018
and,2019,98.93283
arg,1998,95.86877
arg,2001,99.18085
arg,2002,99.06662
arg,2003,99.0628
arg,2004,99.84138
arg,2006,98.86171
arg,2007,99.08409
arg,2008,98.83676
arg,2009,98.64086
arg,2010,98.56399
arg,2012,94.73586
arg,2013,97.10962
arg,2014,97.25044
arg,2015,95.50084
arg,2016,95.70141
arg,2017,95.44546
arg,2018,99.05431
arg,2019,99.31004
arm,2012,99.51973
arm,2013,99.45175
arm,2014,98.79343
arm,2015,100
arm,2016,99.64265
arm,2017,98.92993
arm,2020,96.75818
asm,2006,98.25359
atg,2002,99.52262
atg,2009,98.03868
atg,2011,98.62164
atg,2018,53.0677
aus,1995,89.48885
aus,2000,90.37804
aus,2005,89.96293
aus,2006,89.26723
aus,2007,88.72563
aus,2008,87.62834
aus,2009,86.9292
aus,2010,87.02252
aus,2011,85.80403
aus,2013,87.01936
aus,2014,87.8727
aus,2015,88.57452
aus,2016,88.9415
aus,2017,88.61423
aus,2018,87.64584
aut,1998,91.70076
aut,1999,95.36853
aut,2000,96.75401
aut,2001,96.48349
aut,2002,94.98987
aut,2003,96.92569
aut,2004,94.23475
aut,2005,91.69421
aut,2006,93.78426
aut,2007,91.78764
aut,2008,93.67552
aut,2009,93.30314
aut,2010,90.63885
aut,2011,92.64614
aut,2012,93.52979
aut,2013,92.36512
aut,2014,92.92104
aut,2015,91.83001
aut,2016,90.42387
aut,2017,91.40322
aut,2018,90.19584
aze,2000,99.10259
aze,2001,98.82078
aze,2002,99.56302
aze,2003,99.4592
aze,2004,98.63721
aze,2005,99.36187
aze,2006,99.11374
aze,2007,98.31281
aze,2008,97.84483
aze,2009,98.47794
aze,2010,98.53852
aze,2011,99.41213
aze,2012,99.75771
aze,2014,99.7878
aze,2015,99.85577
aze,2016,98.46163
aze,2017,99.07711
aze,2018,96.3909
aze,2019,93.23089
bdi,1999,94.05137
bdi,2001,90.19214
bdi,2002,94.02787
bdi,2004,95.91013
bdi,2008,97.46039
bdi,2009,92.9851
bdi,2010,97.11986
bdi,2011,96.71269
bdi,2012,98.72617
bdi,2013,97.19091
bel,2005,96.96913
bel,2008,96.92002
bel,2009,97.04615
bel,2010,97.004
bel,2011,96.95709
bel,2013,95.64908
bel,2014,95.57105
bel,2015,95.01249
bel,2016,95.0459
bel,2017,95.09343
bel,2018,94.50184
ben,1998,96.02049
ben,2006,68.64675
ben,2007,91.0386
ben,2008,91.55543
ben,2009,84.00254
ben,2010,97.85216
ben,2012,95.39142
ben,2013,95.69572
ben,2014,94.71531
ben,2015,90.04094
bfa,2007,78.7209
bgd,2007,79.57426
bgd,2008,86.96095
bgd,2009,88.01216
bgd,2010,87.12115
bgd,2011,98.52892
bgd,2012,98.21455
bgd,2016,91.8673
bgd,2019,81.04794
bgd,2020,81.19069
bgr,2001,99.41422
bgr,2002,93.60304
bgr,2003,94.08452
bgr,2005,89.10276
bgr,2006,87.12114
bgr,2007,73.94169
bgr,2008,84.29174
bgr,2009,87.63245
bgr,2010,93.89306
bgr,2011,93.47735
bgr,2012,91.43121
bgr,2013,91.94788
bgr,2017,93.85085
bih,2016,95.64708
