geo,time,sh_sta_anvc_zs
afg,2000,36.9
afg,2003,16.1
afg,2006,30.3
afg,2008,36
afg,2010,59.6
afg,2011,47.9
afg,2012,51.2
afg,2014,63.2
afg,2015,58.6
afg,2018,65.2
ago,2001,65.6
ago,2007,79.8
ago,2011,75.7
ago,2016,81.6
alb,2000,95.3
alb,2002,90.6
alb,2005,97.1
alb,2009,97.3
alb,2018,88.4
are,1995,96.8
are,2007,100
arg,1993,95
arg,2001,97.5
arg,2005,99.2
arg,2012,98.1
arm,1997,82
arm,2000,92.4
arm,2005,93
arm,2010,99.1
arm,2016,99.6
atg,1998,82
atg,2000,99.9
atg,2002,92
atg,2004,100
atg,2005,99.9
atg,2007,100
atg,2008,100
aus,1991,100
aus,2008,98.3
aut,1993,100
aze,1997,98.3
aze,2000,66
aze,2001,70
aze,2006,76.9
aze,2011,91.7
bdi,1987,79
bdi,2000,78
bdi,2005,92.4
bdi,2010,98.9
bdi,2012,96
bdi,2017,99.2
ben,1996,77.8
ben,2001,81.1
ben,2006,84.1
ben,2012,83.5
ben,2014,82.8
ben,2018,83.2
bfa,1993,58.6
bfa,1999,60.7
bfa,2003,73.4
bfa,2006,85
bfa,2010,94.3
bfa,2015,92.8
bfa,2018,80.2
bgd,1994,25.7
bgd,1997,26.4
bgd,2000,33.3
bgd,2001,39.8
bgd,2003,39.7
bgd,2004,48.7
bgd,2006,47.7
bgd,2007,51.7
bgd,2010,52.8
bgd,2011,54.6
bgd,2013,58.7
bgd,2014,63.9
bgd,2018,81.9
bgd,2019,75.2
bhr,1995,97.1
bhr,2007,100
bhs,1999,87
bhs,2006,98
bhs,2007,98
bih,2000,99.2
bih,2006,98.9
bih,2012,87
blr,1999,99.9
blr,2005,99.4
blr,2012,99.7
blz,1991,96
blz,1998,98
blz,1999,95.9
blz,2000,100
blz,2002,98
blz,2005,94
blz,2006,94
blz,2011,96.2
blz,2016,97.2
bol,1989,44.9
bol,1994,52.5
bol,1998,69
bol,2000,82.6
bol,2003,79
bol,2004,79.1
bol,2008,85.8
bol,2012,90.1
bol,2016,95.6
bra,1986,74
bra,1996,85.7
bra,2003,96.8
bra,2004,97.2
bra,2005,97.4
bra,2006,97.8
bra,2007,96.7
bra,2009,98.2
bra,2015,97.2
brb,1990,100
brb,1999,89
brb,2003,100
brb,2004,100
brb,2005,100
brb,2006,100
brb,2007,100
brb,2012,93.4
brn,1994,100
brn,2009,99
btn,2000,51
btn,2007,88
btn,2010,97.3
btn,2012,97.9
bwa,1988,92.2
bwa,2000,96.8
bwa,2007,94.1
caf,1995,66.9
caf,2000,62
caf,2006,69.3
caf,2010,68.2
caf,2019,51.8
can,2007,100
chl,1993,95
chn,1992,69.7
chn,1993,72.2
chn,1994,76.3
chn,1995,78.7
chn,1996,83.7
chn,1997,85.9
chn,1998,87.1
chn,1999,89.3
chn,2000,89.4
chn,2001,90.3
chn,2002,90.1
chn,2003,88.9
chn,2004,89.7
chn,2005,89.8
chn,2006,89.7
chn,2007,90.9
chn,2008,91
chn,2009,92.2
chn,2010,94.1
chn,2011,93.7
chn,2012,95
chn,2013,95.6
chn,2014,96.2
chn,2015,96.5
chn,2016,96.6
chn,2018,99.6
civ,1994,83.2
civ,1999,84.3
civ,2000,87.6
civ,2005,87.3
civ,2006,84.8
civ,2012,90.6
civ,2016,93.2
cmr,1991,78.8
cmr,1998,78.8
cmr,2000,75.3
cmr,2004,83.3
cmr,2006,82
cmr,2011,84.7
cmr,2014,82.8
cmr,2018,87
cod,2001,68.2
cod,2007,85.3
cod,2010,87.3
cod,2014,88.4
cod,2018,82.4
cog,2005,85.8
cog,2012,92.6
cog,2015,93.5
col,1986,76.6
col,1990,82
col,1995,82.6
col,2000,90.8
col,2004,93.5
col,2005,93.5
col,2010,97
col,2015,97.5
col,2016,97.2
com,1996,84.5
com,2000,74.3
com,2004,75
com,2012,92.1
cpv,1998,99.3
cpv,2005,97.6
cpv,2018,98.8
cri,1992,95
cri,1998,70.6
cri,1999,69.6
cri,2004,91.7
cri,2006,91.7
cri,2008,89.9
cri,2011,98.1
cri,2018,97.6
cub,1998,100
cub,2000,100
cub,2004,100
cub,2005,100
cub,2007,100
cub,2009,100
cub,2010,100
cub,2011,100
cub,2012,100
cub,2014,98.5
cub,2019,99.1
cyp,2007,99.2
cze,1993,99
deu,2004,100
dji,2003,67
dji,2006,92.3
dji,2012,87.7
dma,1990,90
dma,1999,99.9
dma,2001,100
dma,2003,100
dma,2004,100
dma,2005,100
dma,2007,100
dma,2008,100
dom,1986,95.7
dom,1991,96.9
dom,1996,98.3
dom,1999,99.2
dom,2000,97.8
dom,2002,98.5
dom,2006,97
dom,2007,98.9
dom,2013,99.3
dom,2014,98
dza,1992,58
dza,2000,79
dza,2002,80.7
dza,2006,89.4
dza,2012,92.7
dza,2013,92.7
dza,2019,95.3
ecu,1984,76.2
ecu,1987,72.5
ecu,1994,74.7
ecu,1998,68.8
ecu,2004,84.2
egy,1988,52.8
egy,1991,52.1
egy,1992,57.1
egy,1993,52.9
egy,1995,42.5
egy,1996,39.1
egy,1997,52
egy,1998,47.2
egy,2000,52.9
