global,time,is_shp_good_tu
world,2000,224774536
world,2001,235075458
world,2002,263456511
world,2003,296996130
world,2004,338433750
world,2005,376268146
world,2006,416751971
world,2007,489818309
world,2008,516152333.0736
world,2009,472175125.2843
world,2010,544870577.64
world,2011,585895021.61
world,2012,619551756.299
world,2013,650367136.877
world,2014,681978646.616
world,2015,694479839.4902
world,2016,704861863.4262
world,2017,758610945.2902
world,2018,796179871.4072
world,2019,810577510.40949
world,2020,758734019.57023
