geo,time,ny_trf_nctr_kn
alb,1995,54456274709.5929
alb,1996,58456694018.5706
alb,1997,33301764831.5475
alb,1998,51832283981.3919
alb,1999,34705771509.4489
alb,2000,47324143210.5667
alb,2001,56915161694.325
alb,2002,60569727906.3641
alb,2003,67237763966.2543
alb,2004,72901029391.66409
alb,2005,80197799207.30231
alb,2006,82997382518.68211
alb,2007,93401717271.09903
alb,2008,85011528081.54518
alb,2009,87404533837.34241
alb,2010,91724237963.27968
alb,2011,80151170180.58348
alb,2012,69842541395.90601
arg,1991,400683808
arg,1992,762695296
arg,1993,552200000
arg,1994,497200000
arg,1995,596800000
arg,1996,482200000
arg,1997,514857571.84219
arg,1998,464068201.99696
arg,1999,453310064.8396
arg,2000,399035947.95039
arg,2001,424494817.45135
arg,2002,1679647764.66055
arg,2003,1504688655.59218
arg,2004,1725839176.72528
arg,2005,1638500000
arg,2006,1903313993.72825
arm,1993,242800275483.561
arm,1994,113852098252.985
arm,1995,80403509039.4012
arm,1996,76424395007.15401
arm,1997,91362517950.2142
arm,1998,68914148352.1761
arm,1999,71825625421.88831
arm,2000,72088370270.81129
arm,2001,73191753664.9588
arm,2002,73908047246.7718
arm,2003,90475640268.16982
arm,2004,153602616447.58701
arm,2005,156525436828.12399
arm,2006,180773130772.358
arm,2007,193686546146.698
arm,2008,194955568043.854
arm,2009,154603189772.08899
arm,2010,104407690110.799
arm,2011,123697864871.48
arm,2012,128649318689.257
arm,2013,126453517855.243
aut,1960,-422566355.22742
aut,1961,-445965413.10723
aut,1962,-457778328.53679
aut,1963,-476721443.77961
aut,1964,-505914378.19568
aut,1965,-523517487.22768
aut,1966,-541656140.43047
aut,1967,-643211438.12391
aut,1968,-802433937.46326
aut,1969,-756120367.30974
aut,1970,-704734772.62806
aut,1971,-668018228.47418
aut,1972,-828941628.72034
aut,1973,-936392574.76406
aut,1974,-805826192.80498
aut,1975,-885372199.76774
aut,1976,-1105130584.48121
aut,1977,-1267136206.28784
aut,1978,-1339942218.88896
aut,1979,-1361129899.23436
aut,1980,-1486426411.27971
aut,1981,-1786794307.34883
aut,1982,-1618845699.09679
aut,1983,-1353557013.16776
aut,1984,-1493883899.49261
aut,1985,-1496895402.75652
aut,1986,-1980807266.17641
aut,1987,-1981993867.74859
aut,1988,-1447133330.09111
aut,1989,-1338023640.98371
aut,1990,-1263245932.76238
aut,1991,-2243682055.12101
aut,1992,-1708164373.14402
aut,1993,-1663159818.27297
aut,1994,-1930713759.01082
aut,1995,-3012019454.92224
aut,1996,-1271289385.46141
aut,1997,-2346158903.68093
aut,1998,-2831382815.4618
aut,1999,-3856729487.12421
aut,2000,-3809310942.37942
aut,2001,-4831146076.54282
aut,2002,-2865343448.79787
aut,2003,-2252237488.93878
aut,2004,-1784727530.69439
aut,2005,-2380296000
aut,2006,-2734203701.36581
aut,2007,-3178102785.77323
aut,2008,-622331574.74044
aut,2009,-2475298233.56764
aut,2010,190510539.37973
aut,2011,-1826967142.10201
aut,2012,-1675585581.67815
aut,2013,-1896495483.21568
aze,1994,75478527.69484
aze,1995,112887487.43222
aze,1996,64252622.62431
aze,1997,38108018.16476
aze,1998,51468692.09476
aze,1999,68725451.00339
aze,2000,64631592.9773
aze,2001,66483325.6761
aze,2002,63348928.95434
aze,2003,118166736.81722
aze,2004,162787256.54412
aze,2005,412634152.16734
aze,2006,468397500.62077
aze,2007,674074983.96718
aze,2008,939974961.3375
aze,2009,645791298.79825
aze,2010,455586074.57825
aze,2011,602528021.69725
aze,2012,615783638.17459
bdi,1997,50016828840.7171
bdi,1998,55398512397.1075
bdi,1999,40072436176.6223
bdi,2000,37830466690.524
bdi,2001,89607486177.9512
bdi,2002,124142392512.946
bdi,2003,145671580898.01099
bdi,2004,159312813742.06799
bdi,2005,260552622000
bdi,2006,208966304855.164
bdi,2007,235378918202.03696
bdi,2008,274916741859.83197
bdi,2009,199544603209.65701
bdi,2010,377621090498.302
bdi,2011,323073984994.00293
bdi,2012,298174800064.35303
bel,1960,1050225546.92435
bel,1961,878241736.7087
bel,1962,765748580.49478
bel,1963,648393157.04641
bel,1964,610435774.80199
bel,1965,786500439.7859
bel,1966,836348292.74595
bel,1967,899064331.3384
bel,1968,972768741.7578
bel,1969,988070654.75249
bel,1970,1104746998.16093
bel,1971,964147166.36192
bel,1972,1058343755.34873
bel,1973,866793691.96635
bel,1974,886287158.74603
bel,1975,855330838.33391
bel,1976,952704112.4865
bel,1977,499916350.98388
bel,1978,314613670.4352
bel,1979,-493453489.96111
bel,1980,-994966079.40272
bel,1981,-845359307.16229
bel,1982,-1718717389.22802
bel,1983,-1818406357.06609
bel,1984,-1458426333.62876
bel,1985,-915767012.37968
bel,1986,-767358420.54063
bel,1987,-165889473.81042
bel,1988,-210075077.95382
bel,1989,-874145413.26272
bel,1990,-628571438.87595
bel,1991,227078690.3157
bel,1992,173236665.1329
bel,1993,2440648836.69505
bel,1994,4380780289.64582
bel,1995,3870977018.06178
bel,1996,4570761653.67304
bel,1997,5019472898.71118
bel,1998,4592318976.95184
bel,1999,5250378595.69602
bel,2000,6403994063.03772
bel,2001,4528364579.97018
bel,2002,3878369740.70181
bel,2003,4393738532.79196
bel,2004,3294514797.56386
bel,2005,1988000000
bel,2006,2662583872.50707
bel,2007,3212574058.9006
bel,2008,4641350003.95097
bel,2009,-1967937333.60011
bel,2010,5622157913.28774
bel,2011,3050177564.79229
bel,2012,865154575.12339
bel,2013,-456515047.68461
ben,1985,27899228692.7927
ben,1986,27920266754.172
ben,1987,23739908577.5426
ben,1988,24003438368.9767
ben,1989,28632129169.8237
ben,1990,47311954988.7
ben,1991,27959503524.8238
ben,1992,37428692941.4211
ben,1993,40123615920.0746
ben,1994,19850500078.4109
ben,1995,20797144352.363
ben,1996,19651078434.5625
ben,1997,44669655631.07729
ben,1998,35580347672.3839
ben,1999,41617908088.1999
ben,2000,53436330314.2219
ben,2001,56747567197.1029
ben,2002,54432701564.9811
ben,2003,40713238119.2325
ben,2004,44598905833.03329
ben,2005,44706325978.8195
ben,2006,60585958183.8493
ben,2007,56082428908.2975
ben,2008,56870686502.3473
ben,2009,52677449937.3535
ben,2010,43982714959.67351
bfa,1969,20819232768
bfa,1970,22499911680
bfa,1971,29649811456
bfa,1972,25856976896
bfa,1973,35519348736
bfa,1974,27825182720
bfa,1975,25354606592
bfa,1976,29495687168
bfa,1977,29206564864
bfa,1978,31144169472
bfa,1979,39987277824
bfa,1980,50856284160
bfa,1981,62077075456
bfa,1982,49495203840
bfa,1983,54063509504
bfa,1984,62667739136
bfa,1985,95769690112
bfa,1986,108644065280
bfa,1987,79887187968
bfa,1988,86161170432
bfa,1989,66176917504
bfa,1990,41910530048
bfa,1991,41705992192
bfa,1992,100417077248
bfa,1993,90008190976
bfa,1994,67565301760
bfa,1995,61917118464
bfa,1996,49549385728
bfa,1997,49160617984
bfa,1998,46691471360
bfa,1999,39837851648
bfa,2000,34394394624
bfa,2001,88292155827.6033
bfa,2002,85543280427.6904
