geo,time,se_prm_tenr_ma
abw,1999,97.3223
abw,2000,98.48592
abw,2002,96.08414
abw,2003,95.14606
abw,2004,96.43943
abw,2005,99.21858
abw,2009,94.25859
afg,1974,44.56145
afg,1993,38.79503
ago,1982,46.92971
ago,1983,44.89727
ago,1998,48.76261
ago,2008,88.4675
ago,2009,87.25829
ago,2010,89.26408
ago,2011,91.84197
alb,1999,97.55622
alb,2000,95.39781
alb,2001,93.3156
alb,2003,91.20947
alb,2004,89.95864
alb,2008,86.27404
alb,2009,84.99766
alb,2010,85.18038
alb,2011,85.88065
alb,2012,88.28107
alb,2013,93.89332
are,1978,79.58904
are,1980,75.70157
are,1981,72.98296
are,1982,78.48933
are,1983,74.74958
are,1984,74.69751
are,1985,74.16793
are,1986,74.54775
are,1987,86.36588
are,1988,90.31656
are,1989,95.15574
are,1990,98.67207
are,1991,98.93055
are,1992,95.9447
are,1993,90.71612
are,1994,88.29795
are,1995,88.9665
are,1996,86.00386
are,1997,82.4154
are,1998,82.57322
are,2007,93.14446
are,2012,92.02999
arg,1970,94.16335
arg,1974,96.91181
arg,1975,96.55819
arg,1991,96.34115
arm,2002,86.56435
arm,2003,85.29692
arm,2005,87.62258
arm,2006,91.20347
arm,2007,95.92771
arm,2011,94.63208
arm,2012,96.00639
arm,2013,96.28129
arm,2014,93.82384
arm,2015,92.51376
arm,2016,92.26444
arm,2017,92.3595
arm,2018,91.01168
atg,2012,94.70564
atg,2014,93.65341
atg,2015,96.84991
atg,2017,96.43519
aus,1971,96.42732
aus,1973,94.71473
aus,1974,94.04269
aus,1975,97.07882
aus,1976,98.2513
aus,1982,99.12512
aus,1983,98.31969
aus,1984,96.42966
aus,1985,96.24445
aus,1986,96.79883
aus,1987,97.24751
aus,1988,97.85649
aus,1989,97.97229
aus,1990,97.68868
aus,1991,97.10927
aus,1992,96.87792
aus,1993,96.48325
aus,1994,96.16521
aus,1995,94.73492
aus,1996,95.02433
aus,1997,94.44082
aus,1998,94.03129
aus,1999,93.3772
aus,2000,93.07313
aus,2003,93.56637
aus,2004,94.02286
aus,2011,97.27709
aus,2012,97.63589
aus,2017,96.13913
aut,1989,93.86396
aut,2000,90.73421
aut,2001,89.79216
aut,2002,87.80023
aut,2003,86.69972
aut,2004,86.60999
aut,2005,86.87889
aut,2006,87.6701
aut,2007,87.72664
aut,2008,87.49592
aut,2009,86.93542
aut,2010,86.87544
aut,2011,86.54043
aut,2012,87.88254
aut,2013,87.89026
aut,2014,88.01345
aut,2015,87.85312
aut,2016,88.07563
aze,1991,97.5025
aze,1992,96.8225
aze,1993,88.97354
aze,1994,85.00676
aze,1995,79.14057
aze,1996,89.79708
aze,1997,91.03595
aze,1998,89.55036
aze,1999,92.10293
aze,2000,88.46296
aze,2001,86.09168
aze,2002,85.8882
aze,2003,85.74446
aze,2004,85.80651
aze,2005,86.30415
aze,2006,86.55861
aze,2007,83.75607
aze,2008,84.29546
aze,2009,86.23921
aze,2010,85.27996
aze,2011,88.40574
aze,2012,90.32526
aze,2013,95.28533
aze,2017,97.2161
aze,2018,92.7713
bdi,1973,23.40446
bdi,1978,20.62199
bdi,1980,22.39389
bdi,1981,24.66131
bdi,1982,29.25203
bdi,1983,36.40668
bdi,1984,41.49905
bdi,1985,45.78622
bdi,1986,47.74203
bdi,1987,52.42783
bdi,1988,53.88861
bdi,1993,52.94264
bdi,2000,45.25815
bdi,2001,55.11832
bdi,2002,54.67046
bdi,2003,57.73128
bdi,2004,57.75072
bdi,2005,60.67673
bdi,2006,75.84013
bdi,2007,82.83274
bdi,2008,92.98263
bdi,2009,90.08708
bdi,2010,94.44081
bdi,2017,93.94217
bdi,2018,92.01824
bel,1977,96.18018
bel,1979,97.33893
bel,1980,97.87624
bel,1981,96.59838
bel,1982,96.87621
bel,1983,93.28764
bel,1984,92.48963
bel,1985,92.00611
bel,1986,93.51711
bel,1987,94.69984
bel,1988,95.79753
bel,1991,95.21674
bel,1992,93.90705
bel,1993,97.37528
bel,1994,96.82198
bel,1995,96.94535
bel,1996,97.42242
bel,2000,99.02991
bel,2002,98.82431
bel,2003,97.90544
bel,2004,96.11564
bel,2005,95.77904
bel,2006,96.19414
bel,2007,97.03662
bel,2008,97.62989
bel,2009,97.60298
bel,2010,97.32975
bel,2011,97.44352
bel,2012,97.85997
bel,2013,97.90429
