geo,time,fm_ast_domo_zg_m3
afg,2007,17.49919
afg,2008,14.29157
afg,2009,7.95757
afg,2010,9.04474
afg,2011,-16.30309
afg,2012,1.23325
afg,2013,0.97782
afg,2014,-0.75657
afg,2015,0.59716
afg,2016,-0.26811
afg,2017,0.40483
afg,2018,-0.58396
afg,2019,0.30354
afg,2020,-0.11113
ago,2002,39.72678
ago,2003,32.58018
ago,2004,21.83259
ago,2005,19.27316
ago,2006,32.71456
ago,2007,32.97837
ago,2008,34.01807
ago,2009,23.21693
ago,2010,13.06359
ago,2011,14.59697
ago,2012,15.6167
ago,2013,7.25914
ago,2014,0.4459
ago,2015,10.22964
ago,2016,-1.25614
ago,2017,-0.04249
ago,2018,4.7272
ago,2019,10.60986
ago,2020,-1.5478
alb,2002,0.86079
alb,2003,3.0578
alb,2004,4.48743
alb,2005,10.48746
alb,2006,12.32505
alb,2007,14.74485
alb,2008,13.52543
alb,2009,5.42601
alb,2010,4.91009
alb,2011,5.99523
alb,2012,1.19796
alb,2013,-0.59729
alb,2014,1.20107
alb,2015,-1.12879
alb,2016,-0.03947
alb,2017,0.25327
alb,2018,-1.38129
alb,2019,2.98229
alb,2020,3.05917
are,2002,11.11958
are,2003,15.18805
are,2004,21.73154
are,2005,43.07422
are,2006,37.91581
are,2007,45.87511
are,2008,55.07775
are,2009,2.65614
are,2010,2.13842
are,2011,6.54005
are,2012,3.97482
are,2013,8.96681
are,2014,6.53771
are,2015,8.5404
are,2016,5.08604
are,2017,-0.25795
are,2018,3.26931
are,2019,1.17813
are,2020,0.69433
arm,2002,0.34913
arm,2003,2.5993
arm,2004,17.36264
arm,2005,16.37692
arm,2006,14.77785
arm,2007,39.28769
arm,2008,38.12488
arm,2009,13.79675
arm,2010,26.43317
arm,2011,39.66751
arm,2012,32.97591
arm,2013,17.19463
arm,2014,27.71591
arm,2015,-3.15042
arm,2016,9.83548
arm,2017,18.67942
arm,2018,18.64051
arm,2019,22.19978
arm,2020,18.75385
atg,2002,5.4358
atg,2003,3.74675
atg,2004,1.62892
atg,2005,7.13294
atg,2006,11.39606
atg,2007,11.09907
atg,2008,4.49737
atg,2009,1.02551
atg,2010,0.1244
atg,2011,-3.4476
atg,2012,-2.29238
atg,2013,-1.75566
atg,2014,-3.83242
atg,2015,-6.93058
atg,2016,0.67294
atg,2017,0.50543
atg,2018,1.7812
atg,2019,0.90477
atg,2020,-1.55991
aus,2002,19.07916
aus,2003,17.69471
aus,2004,16.41079
aus,2005,18.18311
aus,2006,20.14166
aus,2007,48.0964
aus,2008,29.25232
aus,2009,1.01475
aus,2010,7.36671
aus,2011,11.3156
aus,2012,7.18048
aus,2013,9.18027
aus,2014,14.35473
aus,2015,12.24061
aus,2016,8.30575
aus,2017,3.79384
aus,2018,6.28889
aus,2019,52.15446
aus,2020,32.84207
aze,2002,-23.92012
aze,2003,21.22598
aze,2004,35.12353
aze,2005,33.85448
aze,2006,51.92171
aze,2007,67.54949
aze,2008,42.88096
aze,2009,13.20042
aze,2010,12.87947
aze,2011,18.89293
aze,2012,24.04794
aze,2013,16.81237
aze,2014,19.43841
aze,2015,36.14327
aze,2016,19.46443
aze,2017,-34.58153
aze,2018,9.48475
aze,2019,6.82892
aze,2020,-0.05437
bdi,2002,34.64334
bdi,2003,4.74576
bdi,2004,1.80628
bdi,2005,-0.74895
bdi,2006,12.9323
bdi,2007,2.11134
bdi,2008,16.20822
bdi,2009,9.60845
bdi,2010,24.73613
bdi,2011,20.89464
bdi,2012,12.27178
bdi,2013,8.26739
bdi,2014,7.84939
bdi,2015,-4.19409
bdi,2016,3.83974
bdi,2017,2.78784
bdi,2018,9.47569
bdi,2019,9.7962
bdi,2020,11.41589
ben,2002,-0.71486
ben,2003,28.32871
ben,2004,1.33524
ben,2005,10.82431
ben,2006,14.60824
ben,2007,18.73684
ben,2008,9.96759
ben,2009,11.65524
ben,2010,4.60348
ben,2011,8.81429
ben,2012,6.39992
ben,2013,7.82237
ben,2014,6.64502
ben,2015,1.77576
ben,2016,2.64268
ben,2017,1.20649
ben,2018,4.80233
ben,2019,9.85466
ben,2020,0.4965
bfa,2002,-1.63799
bfa,2003,28.72211
bfa,2004,6.44256
bfa,2005,16.64632
bfa,2006,11.95642
bfa,2007,-8.16534
bfa,2008,28.63652
bfa,2009,0.68993
bfa,2010,12.07945
bfa,2011,12.78405
bfa,2012,15.82491
bfa,2013,17.73646
bfa,2014,14.18387
bfa,2015,9.06339
bfa,2016,5.06249
bfa,2017,8.12508
bfa,2018,8.74528
bfa,2019,6.76497
bfa,2020,6.7117
bgd,2002,10.7023
bgd,2003,6.28287
bgd,2004,11.26718
bgd,2005,13.74688
bgd,2006,12.39488
bgd,2007,9.32839
bgd,2008,14.14991
bgd,2009,13.30329
bgd,2010,19.68433
bgd,2011,13.66954
bgd,2012,12.34593
bgd,2013,6.21736
bgd,2014,12.72653
bgd,2015,10.0216
bgd,2016,11.78647
bgd,2017,13.65816
bgd,2018,9.79054
bgd,2019,7.34839
bgd,2020,5.68364
bgr,2002,15.52317
bgr,2003,22.26029
bgr,2004,27.93484
bgr,2005,21.88828
bgr,2006,18.45439
bgr,2007,45.5598
bgr,2008,28.57055
bgr,2009,4.11973
bgr,2010,1.54057
bgr,2011,4.11721
bgr,2012,2.63176
bgr,2013,0.08877
bgr,2014,-6.33282
bgr,2015,-1.16032
bgr,2016,1.24467
bgr,2017,2.92158
bgr,2018,5.6939
bgr,2019,6.17497
bgr,2020,2.91267
bhs,2011,-5.30041
bhs,2012,2.31987
bhs,2013,18.76709
bhs,2014,-3.30105
bhs,2015,-1.77908
bhs,2016,-6.13435
bhs,2017,-3.45648
bhs,2018,-0.97292
bih,2002,19.90096
bih,2003,16.85028
bih,2004,14.72755
bih,2005,23.70627
bih,2006,17.45768
bih,2007,27.26124
bih,2008,20.86204
bih,2009,-3.77421
bih,2010,3.39706
bih,2011,4.56548
bih,2012,3.35767
bih,2013,2.90522
bih,2014,2.09287
bih,2015,2.15034
bih,2016,2.79126
bih,2017,5.93073
bih,2018,4.35251
bih,2019,5.13959
bih,2020,-1.80055
blr,2002,59.85188
blr,2003,64.92004
blr,2004,60.51539
blr,2005,42.32773
blr,2006,64.88951
blr,2007,58.69855
blr,2008,71.82164
blr,2009,64.88176
blr,2010,79.17497
blr,2011,153.02589
blr,2012,56.73196
blr,2013,39.15037
blr,2014,33.55497
blr,2015,29.39601
blr,2016,-0.84254
blr,2017,11.65537
blr,2018,15.10876
blr,2019,11.33846
blr,2020,25.14101
blz,2002,4.09338
blz,2003,12.33455
blz,2004,12.68285
blz,2005,6.06628
blz,2006,9.95933
blz,2007,13.20169
blz,2008,9.26031
blz,2009,3.3218
blz,2010,-2.19842
blz,2011,0.87839
blz,2012,1.99021
blz,2013,2.14454
blz,2014,3.34882
blz,2015,3.56384
blz,2016,-0.36662
blz,2017,0.19261
blz,2018,3.54954
blz,2019,4.59642
blz,2020,1.68963
bol,2002,-1.25072
bol,2003,2.52942
bol,2004,0.05807
bol,2005,2.54113
bol,2006,4.66284
bol,2007,6.50973
bol,2008,5.06754
bol,2009,5.58016
bol,2010,9.09613
bol,2011,15.30234
bol,2012,13.89747
bol,2013,16.36472
bol,2014,10.19766
bol,2015,12.15317
bol,2016,12.29771
bol,2017,10.18657
bol,2018,10.68425
bol,2019,6.27157
bol,2020,6.75048
bra,2002,6.85684
bra,2003,3.98345
bra,2004,10.04914
bra,2005,13.61457
bra,2006,17.50887
bra,2007,21.41438
bra,2008,19.75881
bra,2009,7.79149
bra,2010,21.11813
bra,2011,19.10391
bra,2012,16.168
bra,2013,12.88994
bra,2014,11.94084
bra,2015,6.38424
bra,2016,-2.49085
bra,2017,-3.13789
bra,2018,3.30606
bra,2019,6.83605
bra,2020,9.83554
brb,2002,4.3546
brb,2003,4.65536
brb,2004,12.03019
