geo,time,ne_dab_totl_kn
ago,2000,482243692800
ago,2001,594235832100
ago,2002,606376000000
ago,2003,662494117200
ago,2004,716743372400
ago,2005,776584779700
ago,2006,824758965900
ago,2007,897611545100
ago,2008,1043097178500
ago,2009,1082549451100
ago,2010,1066584297200
ago,2011,1208943167700
ago,2012,1293498916500
ago,2013,1398577915100
ago,2014,1450976906700
ago,2015,1438981284500
ago,2016,1354856268700
ago,2017,1389222403600
ago,2018,1336153855000
ago,2019,1317421000000
ago,2020,1255401000000
alb,1997,667321732700.495
alb,1998,686543898498.03601
alb,1999,740974794811.65796
alb,2000,862218859178.44299
alb,2001,949316998479.63074
alb,2002,1011941713706.95996
alb,2003,1050389758248.09998
alb,2004,1096245723592.39001
alb,2005,1162405976936.21997
alb,2006,1220219690849.23999
alb,2007,1326497509886.04004
alb,2008,1475089455091.5
alb,2009,1491500296416.34009
alb,2010,1482310060000
alb,2011,1523871820000
alb,2012,1493698658993.34009
alb,2013,1509316567848.61011
alb,2014,1526218158903.67993
alb,2015,1547705269472.83008
alb,2016,1577951026890.13989
alb,2017,1624389722607.86011
alb,2018,1663029248764.31006
alb,2019,1710008311593.36011
are,2001,683160581100
are,2002,723535004800
are,2003,747117718800
are,2004,807479386500
are,2005,845411150800
are,2006,957451461000
are,2007,1122102038500
are,2008,1221032989000
are,2009,1043675894800
are,2010,844932419899.40405
are,2011,902726998917.86084
are,2012,843294797504.328
are,2013,898689316275.42786
are,2014,1021274821382.87
are,2015,962825442170.25195
are,2016,982712401746.21472
are,2017,1080279629742.26001
are,2018,1049911010205.44995
are,2019,1059084419188.88
are,2020,1004418844787.10999
arg,1960,177158851933.927
arg,1961,194348131358.46301
arg,1962,186575246377.59201
arg,1963,175005915406.71301
arg,1964,199662123419.785
arg,1965,214780956067.56696
arg,1966,211259249290.95801
arg,1967,218036104250.53
arg,1968,230064575825.39999
arg,1969,252989629941.88101
arg,1970,258334298594.15201
arg,1971,275284493817.789
arg,1972,279030807843.35797
arg,1973,285212276647.76599
arg,1974,301466429089.70398
arg,1975,302635729628.25
arg,1976,291373966251.31097
arg,1977,311773236250.96802
arg,1978,295063407890.33093
arg,1979,332498845177.18701
arg,1980,355151114501.65997
arg,1981,332217041984.78998
arg,1982,305302705524.27094
arg,1983,315897447581.84894
arg,1984,323957874119.92401
arg,1985,294336050679.05701
arg,1986,322499830669.492
arg,1987,334394100725.74701
arg,1988,320972738961.47101
arg,1989,292201569455.33698
arg,1990,280257687492.52197
arg,1991,327715613200
arg,1992,381037663500
arg,1993,405091186700
arg,1994,431819911700
arg,1995,408380320500
arg,1996,435002506900
arg,1997,477517853400
arg,1998,495493252000
arg,1999,472390414600
arg,2000,467230919700
arg,2001,437357157700
arg,2002,362647430500
arg,2003,403488171300
arg,2004,451144553800
arg,2005,492127553800
arg,2006,537764094800
arg,2007,598538620200
arg,2008,639718223000
arg,2009,589164608400
arg,2010,672893242600
arg,2011,741405053900
arg,2012,731660038200
arg,2013,761142579800
arg,2014,731638716400
arg,2015,762612349700
arg,2016,750683234500
arg,2017,795943827700
arg,2018,766368221300
arg,2019,702931686400
arg,2020,619223170000
arm,1994,1907937201700
arm,1995,1973963873200
arm,1996,2026139828600
arm,1997,2192678878900
arm,1998,2251017505900
arm,1999,2253065728300
arm,2000,2347148981300
arm,2001,2476345316400
arm,2002,2782555548600
arm,2003,3216215054800
arm,2004,3479577192500
arm,2005,3959094854600
arm,2006,4557424156100
arm,2007,5343091379900
arm,2008,5914503759000
arm,2009,4921195570500
arm,2010,5017544541500
arm,2011,5018396140500
arm,2012,5182501400000
arm,2013,5201663637700
arm,2014,5245517050693.2002
arm,2015,4957955731574.15039
arm,2016,4791845159632.38965
arm,2017,5336550700115.84961
arm,2018,5829733130777.0498
arm,2019,6181028166463.41992
arm,2020,5594905315111.13965
aus,2020,1903054000000
aut,1970,126147442000
aut,1971,132472692000
aut,1972,141246965000
aut,1973,149637759000
aut,1974,154148847000
aut,1975,152961354000
aut,1976,162674629000
aut,1977,174067945000
aut,1978,168188201000
aut,1979,180557878000
aut,1980,183199185000
aut,1981,182314613000
aut,1982,182357300000
aut,1983,187500896000
aut,1984,187408834000
aut,1985,192582909000
aut,1986,195710946000
aut,1987,199957924000
aut,1988,208170673000
aut,1989,216525355000
aut,1990,225590515000
aut,1991,233384744000
aut,1992,238735575000
aut,1993,238955965000
aut,1994,246547372000
aut,1995,252932760000
aut,1996,258049110000
aut,1997,261168030000
aut,1998,268767850000
aut,1999,276400050000
aut,2000,282980000000
aut,2001,284149010000
aut,2002,282886330000
aut,2003,289435920000
aut,2004,295234710000
aut,2005,301373580000
aut,2006,308483000000
aut,2007,316953380000
aut,2008,320415360000
aut,2009,314972500000
aut,2010,316581300000
aut,2011,325464790000
aut,2012,325870770000
aut,2013,325651410000
aut,2014,327313700000
aut,2015,331359300000
aut,2016,339070860000
aut,2017,347050890000
aut,2018,355389540000
aut,2019,357529050000
aut,2020,336641310000
aze,1993,2965589100
aze,1994,2388953600
aze,1995,2408711600
aze,1996,2923726700
aze,1997,3478281500
aze,1998,3969593700
aze,1999,4622935400
aze,2000,5144268300
aze,2001,5232451100
aze,2002,6837766800
aze,2003,9013381300
aze,2004,10646918900
aze,2005,11780900000
aze,2006,14420471400
aze,2007,15607102700
aze,2008,16913560700
aze,2009,17220102100
aze,2010,15647561200
aze,2011,18458637400
aze,2012,18864727400
bdi,1997,1063789329700
bdi,1998,1149906772400
bdi,1999,1130244943300
bdi,2000,1113797782900
bdi,2001,1140905166000
bdi,2002,1213247580200
bdi,2003,1219556923000
bdi,2004,1330338497900
bdi,2005,1482515388000
bdi,2006,1640468928000
bdi,2007,1662838928300
bdi,2008,1767169998800
bdi,2009,1772870186300
bdi,2010,1856175617300
bdi,2011,1968675751700
bdi,2012,2049663359700
bdi,2013,2243424048600
bdi,2014,2283059233000
bdi,2015,2220765506800
bdi,2016,2130947362800
bdi,2017,2167544581700
bdi,2018,2294700824000
bdi,2019,2419856014300
bdi,2020,2519694335600
bel,1970,158913282000
bel,1971,164457812000
bel,1972,172074616000
bel,1973,186244396000
bel,1974,194663617000
bel,1975,191807353000
bel,1976,202109561000
bel,1977,206493947000
bel,1978,213308447000
bel,1979,220857165000
bel,1980,227243461000
bel,1981,220633209000
bel,1982,220313987000
bel,1983,216416448000
bel,1984,221131857000
bel,1985,225090832000
bel,1986,231392279000
bel,1987,238770291000
bel,1988,250614266000
bel,1989,261297076000
bel,1990,269841973000
bel,1991,274515877000
bel,1992,279456068000
bel,1993,276952271000
bel,1994,283700295000
bel,1995,289581000000
bel,1996,294050000000
bel,1997,302025200000
bel,1998,309513100000
bel,1999,317353500000
bel,2000,328937900000
bel,2001,330250500000
bel,2002,330504200000
bel,2003,333504400000
bel,2004,344614400000
bel,2005,353734000000
bel,2006,360708400000
bel,2007,373692200000
bel,2008,380911400000
bel,2009,375330600000
bel,2010,383503000000
bel,2011,392455800000
bel,2012,394832100000
bel,2013,394925900000
bel,2014,402046000000
bel,2015,410792500000
bel,2016,419682300000
bel,2017,425447400000
bel,2018,435981100000
bel,2019,444131500000
bel,2020,417209800000
ben,1960,1051043777158.76001
ben,1961,1069579437343.75
ben,1962,1065043921874.01001
ben,1963,1144018446581.84009
ben,1964,1195727605776.04004
ben,1965,1262221390763.34009
ben,1966,1359418669678.30005
ben,1967,1435505397917.11011
ben,1968,1486223433979
ben,1969,1498831717269.17993
ben,1970,1534022190536.59009
ben,1971,1543335558628.28003
ben,1972,1656299593808.56006
ben,1973,1720190433921.21997
ben,1974,1777505446437.56006
ben,1975,1741673429659.13989
ben,1976,1721561824187.82007
ben,1977,1828781438092.38965
ben,1978,1856476818271.19995
ben,1979,2030279528067.67993
ben,1980,2250303419874.9502
ben,1981,2472715869775.00977
ben,1982,2384472321804.64941
ben,1983,2178533565778.44971
ben,1984,2216628146005.02979
ben,1985,2372661212817.64014
ben,1986,2426055938436.29004
ben,1987,2362327854473.85986
ben,1988,2520114459643.62939
ben,1989,2306449159489.0498
ben,1990,2443209952464.33008
ben,1991,2622210869000
ben,1992,2723510899400
ben,1993,2849891998700
ben,1994,2754688654200
ben,1995,2984768597700
ben,1996,3026670706800
ben,1997,3220360382400
ben,1998,3341560157800
ben,1999,3558038512000
ben,2000,3752446783900
ben,2001,4020279179200
ben,2002,4094674065300
ben,2003,4263604349800
ben,2004,4458358455700
ben,2005,4415559018100
ben,2006,4655600021800
ben,2007,4967447437900
ben,2008,5145330008800
ben,2009,5381460230000
ben,2010,5530821184700
ben,2011,5745503773100
ben,2012,5896269115700
ben,2013,6451607579700
ben,2014,6710203912300
ben,2015,7225347000000
ben,2016,7297071000000
ben,2017,7878611361100
ben,2018,8393219543600
ben,2019,8839645132400
ben,2020,9191180161700
bfa,1965,948742545322.37402
bfa,1966,953697395338.56702
bfa,1967,1066371864454.29004
bfa,1968,1110241122950.11011
bfa,1969,1146099340568.52002
bfa,1970,1104653266233.96997
bfa,1971,1158495557418.27002
bfa,1972,1163088799868.45996
bfa,1973,1186354310962.80005
bfa,1974,1265929597518.63989
bfa,1975,1371139220277.72998
bfa,1976,1439926419043.27002
bfa,1977,1535401975838.23999
bfa,1978,1534119845773.76001
bfa,1979,1549892494333.33008
bfa,1980,1625710924898.71997
bfa,1981,1695168829108.22998
bfa,1982,1852703904282.6897
bfa,1983,1833219109589.61011
bfa,1984,1753278010699.29004
