geo,time,en_atm_ghgo_kt_ce
abw,1970,19.6679
abw,1971,19.95736
abw,1972,20.00577
abw,1973,19.71669
abw,1974,18.92619
abw,1975,15.42933
abw,1976,30.51327
abw,1977,36.4009
abw,1978,95.20859
abw,1979,121.03057
abw,1980,114.67515
abw,1981,191.58904
abw,1982,204.14552
abw,1983,239.2286
abw,1984,246.72678
abw,1985,219.77269
abw,1986,127.8786
abw,1987,143.94111
afg,1970,-679.9159
afg,1971,-584.26602
afg,1972,-365.03098
afg,1973,-295.75628
afg,1974,-67.27859
afg,1975,-887.23239
afg,1976,-824.0529
afg,1977,-357.95345
afg,1978,-2135.11827
afg,1979,-1357.84007
afg,1980,-328.3212
afg,1981,-321.66741
afg,1982,-450.78223
afg,1983,-419.1037
afg,1984,-454.10726
afg,1985,-170.09899
afg,1986,-18.96353
afg,1987,-119.1234
afg,1988,97.03266
afg,1989,84.75116
afg,1990,935.06441
afg,1991,765.93826
afg,1992,-263.07682
afg,1993,-325.709
afg,1994,-650.3169
afg,1995,-1003.03075
afg,1996,-1066.26075
afg,1997,-1008.48352
afg,1998,-992.53962
afg,1999,-1274.8111
afg,2000,-1556.07284
afg,2001,-1452.08533
afg,2002,-1189.82819
afg,2003,-1123.43364
afg,2004,-1604.83601
afg,2005,-1272.7879
afg,2006,-1163.72898
afg,2007,-381.26607
afg,2008,613.01698
afg,2009,1144.77175
afg,2010,2581.59587
afg,2011,5607.86003
afg,2012,3299.16196
afg,2013,714.05602
afg,2014,-416.53785
afg,2015,-691.20251
afg,2016,-1800.00358
ago,1970,800.69826
ago,1971,1098.79564
ago,1972,410.67091
ago,1973,-331.55193
ago,1974,-536.06594
ago,1975,-159.85106
ago,1976,1990.55783
ago,1977,-1459.18023
ago,1978,-2181.47061
ago,1979,-2191.46496
ago,1980,-2269.06451
ago,1981,-1652.95164
ago,1982,-1604.03788
ago,1983,-1832.51067
ago,1984,-1991.25859
ago,1985,-2078.53427
ago,1986,-2161.55996
ago,1987,-2394.97878
ago,1988,-2326.83532
ago,1989,-2380.31167
ago,1990,-4072.42688
ago,1991,-4359.62323
ago,1992,-4811.07224
ago,1993,-4329.13972
ago,1994,-3969.14098
ago,1995,-1139.91316
ago,1996,-2924.40907
ago,1997,-3252.35211
