global,time,sh_sta_traf_p5
world,2000,19.09935
world,2001,19.15863
world,2002,19.28483
world,2003,19.04296
world,2004,18.84346
world,2005,18.93845
world,2006,18.90254
world,2007,18.8499
world,2008,18.58862
world,2009,18.28372
world,2010,18.18298
world,2011,18.18213
world,2012,17.97152
world,2013,17.53267
world,2014,17.17901
world,2015,16.96813
world,2016,16.84593
world,2017,16.73013
world,2018,16.69968
world,2019,16.71362
