geo,time,ic_imp_tmbc
afg,2014,96
afg,2015,96
afg,2016,96
afg,2017,96
afg,2018,96
afg,2019,96
ago,2014,276
ago,2015,276
ago,2016,276
ago,2017,96
ago,2018,72
ago,2019,72
alb,2014,9
alb,2015,9
alb,2016,10
alb,2017,10
alb,2018,10
alb,2019,10
are,2014,54
are,2015,54
are,2016,54
are,2017,54
are,2018,54
are,2019,54
arg,2014,60
arg,2015,60
arg,2016,60
arg,2017,60
arg,2018,60
arg,2019,60
arm,2014,50.53846
arm,2015,41.03846
arm,2016,41.03846
arm,2017,2.53846
arm,2018,2.53846
arm,2019,2.53846
atg,2014,61.33333
atg,2015,61.33333
atg,2016,61.33333
atg,2017,61.33333
atg,2018,61.33333
atg,2019,61.33333
aus,2014,37
aus,2015,39
aus,2016,39
aus,2017,39
aus,2018,39
aus,2019,39
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aze,2014,32.36508
aze,2015,32.36508
aze,2016,30.14286
aze,2017,30.14286
aze,2018,14.14286
aze,2019,4.14286
bdi,2014,154.3
bdi,2015,154.3
bdi,2016,154.3
bdi,2017,154.3
bdi,2018,154.3
bdi,2019,154.3
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
ben,2014,154
ben,2015,82
ben,2016,82
ben,2017,82
ben,2018,82
ben,2019,82
bfa,2014,102
bfa,2015,102
bfa,2016,102
bfa,2017,102
bfa,2018,102
bfa,2019,102
bgd,2014,216
bgd,2015,216
bgd,2016,216
bgd,2017,216
bgd,2018,216
bgd,2019,216
bgr,2014,0.5
bgr,2015,0.5
bgr,2016,0.5
bgr,2017,0.5
bgr,2018,0.5
bgr,2019,0.5
bhr,2014,54
bhr,2015,54
bhr,2016,54
bhr,2017,54
bhr,2018,42
bhr,2019,42
bhs,2014,99
bhs,2015,51
bhs,2016,51
bhs,2017,51
bhs,2018,51
bhs,2019,51
bih,2014,5.94737
bih,2015,5.94737
bih,2016,5.94737
bih,2017,5.94737
bih,2018,5.94737
bih,2019,5.94737
blr,2014,0
blr,2015,0
blr,2016,0
blr,2017,0
blr,2018,0
blr,2019,0
blz,2014,48
blz,2015,48
blz,2016,48
blz,2017,48
blz,2018,48
blz,2019,30
bol,2014,114
bol,2015,114
bol,2016,114
bol,2017,114
bol,2018,114
bol,2019,114
bra,2014,51.13043
bra,2015,51.13043
bra,2016,51.13043
bra,2017,51.13043
bra,2018,30
bra,2019,30
brb,2014,104
brb,2015,104
brb,2016,104
brb,2017,104
brb,2018,104
brb,2019,81
brn,2014,48
brn,2015,48
brn,2016,48
