geo,time,ny_gnp_atls_cd
abw,1988,632762559.26534
abw,1989,717476292.43707
abw,1990,760302230.59919
abw,1991,852639258.05143
abw,1992,954961327.55144
abw,1993,1059577300.02159
abw,1994,1199748843.59967
abw,1995,1304024085.41682
abw,1996,1362017020.10632
abw,1997,1471535172.30904
abw,1998,1538188489.7086
abw,1999,1591171092.88807
abw,2000,1817009854.38605
abw,2001,1780899093.48812
abw,2002,1699600368.39217
abw,2003,1946670687.45451
abw,2004,2234526097.3358
abw,2005,1920274304.09943
abw,2006,2353360780.89608
abw,2007,2194516023.61343
abw,2008,2585668008.59826
abw,2009,2411358819.85387
abw,2010,2274835957.3057
abw,2011,2290680023.36754
abw,2012,2412460160.44556
abw,2013,2528399466.58636
abw,2014,2630866335.21898
abw,2015,2770959446.08271
abw,2016,2814340575.09256
abw,2017,2857452094.82014
afg,2009,12644827242.7465
afg,2010,14863060834.0379
afg,2011,16066487403.5164
afg,2012,19553331946.5514
afg,2013,21067819328.5006
afg,2014,20969721073.9375
afg,2015,20174388338.5312
afg,2016,19393029361.50109
afg,2017,19070824501.5839
afg,2018,19036072149.5212
afg,2019,19716993006.7607
afg,2020,19322260776.3812
ago,1985,5909142950.14388
ago,1986,6967475842.39664
ago,1987,7106916245.93949
ago,1988,7208189321.56461
ago,1989,9791908191.86864
ago,1990,9208683040.41152
ago,1991,11055239120.8019
ago,1992,4204362170.68529
ago,1993,3769324229.12095
ago,1994,2453448143.24748
ago,1995,5114858307.35252
ago,1996,5181572717.22081
ago,1997,6626516969.21897
ago,1998,6315864350.56952
ago,1999,5275187443.39583
ago,2000,5902888654.93675
ago,2001,6690083579.90498
ago,2002,10317800628.4108
ago,2003,12827032872.0031
ago,2004,19001401454.24929
ago,2005,26682963583.21
ago,2006,36533201173.644
ago,2007,51492997442.42329
ago,2008,65659539400.85
ago,2009,71273450786.3096
ago,2010,75543980237.6407
ago,2011,82606027251.32979
ago,2012,104804657710.709
ago,2013,124418717059.40401
ago,2014,134935090329.98199
ago,2015,125915232844.51601
ago,2016,108710652624.125
ago,2017,102809282435.022
ago,2018,98895545962.2256
ago,2019,94529281168.9386
ago,2020,70371398331.4718
alb,1986,2114290475.94353
alb,1987,2250946648.84473
alb,1988,2308259449.58612
alb,1989,2445669340.53684
alb,1990,2144674610.30695
alb,1991,1340594874.79075
alb,1992,906184212.2941
alb,1993,1024263065.23594
alb,1994,1216680690.37683
alb,1995,2035220171.98039
alb,1996,2823912719.06212
alb,1997,2532885648.0125
alb,1998,2700758094.72594
alb,1999,2956593291.78938
alb,2000,3406993378.81583
alb,2001,3906029740.89813
alb,2002,4175916869.94767
alb,2003,5006223194.83697
alb,2004,6361564926.41791
alb,2005,7887615548.1105
alb,2006,9130488517.10068
alb,2007,10274251164.8671
alb,2008,11892989039.3178
alb,2009,12529414230.6828
alb,2010,12709389691.6126
alb,2011,12803938382.98
alb,2012,12658292221.0524
alb,2013,13156889860.0145
alb,2014,13115546274.5287
alb,2015,12635758375.7245
alb,2016,12420734604.9197
alb,2017,12329779648.4626
alb,2018,13932803940.5263
alb,2019,14935189205.5749
alb,2020,14784065163.6571
are,2000,98424973047.7352
are,2001,105599045558.086
are,2002,107622937088.94901
are,2003,121688462672.802
are,2004,147125913781.565
are,2005,172049311180.61899
are,2006,208706760117.35501
are,2007,244207313026.039
are,2008,282949571000.64398
are,2009,277083140714.06299
are,2010,285540887890.41803
are,2011,313380563498.927
are,2012,358574251557.203
are,2013,394071950795.20398
are,2014,408824773148.672
are,2015,397094983828.91296
are,2016,379546119291.41693
are,2017,372656056162.84894
are,2018,399411731386.84894
are,2019,428223387099.67499
are,2020,389787248130.34497
arg,1964,24436915654.103
arg,1965,27307536017.23009
arg,1966,30359663534.41389
arg,1967,28316034885.8704
arg,1968,28110535227.8209
arg,1969,30585419212.241
arg,1970,31582382532.011
arg,1971,35775760791.007
arg,1972,36156762383.0369
arg,1973,45649404115.3341
arg,1974,62985567014.57449
arg,1975,70261202934.7402
arg,1976,61903678901.7335
arg,1977,59112910817.3592
arg,1978,59256732622.5587
arg,1979,72112302460.3745
arg,1980,81313009206.64499
arg,1981,79780400776.3327
arg,1982,76943271518.44991
arg,1983,83947790179.62398
arg,1984,84067984525.55949
arg,1985,81711398394.0999
arg,1986,92716101175.12468
arg,1987,111879826532.584
arg,1988,125261891812.97099
arg,1989,94313119785.3069
arg,1990,103923582583.802
arg,1991,127810746338.002
arg,1992,203570469410.01401
arg,1993,241814720362.14301
arg,1994,262188226196.828
arg,1995,256347178436.284
arg,1996,272663359670.34
arg,1997,290495337988.43597
arg,1998,289536836748.23401
arg,1999,276294736658.03302
arg,2000,275544288842.81403
arg,2001,260811643580.08096
arg,2002,152402040124.724
arg,2003,139193101197.15302
arg,2004,129809211585.293
arg,2005,165719405446.53201
arg,2006,215384912406.67599
arg,2007,258375452843.13599
arg,2008,307283970854.91602
arg,2009,315501635047.992
arg,2010,378137209478.51501
arg,2011,442106779404.79199
arg,2012,495259909345.50098
arg,2013,541952763581.47296
arg,2014,525940080584.24597
arg,2015,543177384733.80707
arg,2016,532580733314.78003
arg,2017,578844320451.32898
arg,2018,553257227152.82898
arg,2019,505637132886.69598
arg,2020,411594713703.45099
arm,1992,1063711739.66529
arm,1993,1200546515.15212
arm,1994,1311101987.65844
arm,1995,1507765895.46233
arm,1996,1641719919.4229
arm,1997,1746181542.57671
arm,1998,1824147622.20799
arm,1999,1893129003.13691
arm,2000,2031449553.05025
arm,2001,2172115724.46926
arm,2002,2436136799.15933
arm,2003,2892531561.71732
arm,2004,3546208611.80142
arm,2005,4583264569.13309
arm,2006,5964254777.393
arm,2007,8093596870.18913
arm,2008,10461446892.268
arm,2009,9633680656.73135
arm,2010,9988481797.01453
arm,2011,10160338267.6272
arm,2012,11192555390.6362
arm,2013,11911914318.3941
arm,2014,12047457836.3324
arm,2015,11738591730.3917
arm,2016,11045765150.2086
arm,2017,11621188075.3432
arm,2018,12521420264.1586
arm,2019,13768767581.1114
arm,2020,12517905808.4427
atg,1979,107885010.37403
atg,1980,134644016.91046
atg,1981,150097123.78816
atg,1982,152571916.5636
atg,1983,166488706.0506
atg,1984,195964410.71705
atg,1985,223213604.12042
atg,1986,245131890.97681
atg,1987,300929073.17666
atg,1988,373136823.52107
atg,1989,399819783.37435
atg,1990,426253642.77124
atg,1991,458051851.8111
atg,1992,481299062.17433
atg,1993,523299391.31532
atg,1994,568173424.77526
atg,1995,558753571.21918
atg,1996,610539735.53789
atg,1997,650806651.33168
atg,1998,678919704.27268
atg,1999,717457990.84342
atg,2000,767360091.50828
atg,2001,760663010.71885
atg,2002,756667665.75428
atg,2003,835399284.41367
atg,2004,919598865.67275
atg,2005,1011832399.54972
atg,2006,1142183838.67231
atg,2007,1267919219.76039
