global,time,gc_tax_othr_rv_zs
world,1998,1.14507
world,2002,0.98403
world,2003,0.86814
world,2004,1.23366
world,2005,1.31838
world,2006,1.3527
world,2007,0.9199
world,2008,0.93588
world,2009,0.99963
world,2010,1.11128
world,2011,0.89051
world,2012,0.80745
world,2013,0.76555
world,2014,0.70576
world,2015,0.97876
world,2016,0.94039
world,2017,0.98938
world,2018,0.68404
world,2019,0.61809
