global,time,se_ter_tchr_fe_zs
world,1974,31.64094
world,1975,31.47922
world,1976,31.67141
world,1977,31.822
world,1978,31.9776
world,1979,32.22148
world,1980,32.17736
world,1981,32.25722
world,1982,32.60099
world,1983,32.74854
world,1984,33.03604
world,1985,33.14534
world,1986,33.04302
world,1987,33.06509
world,1988,33.12296
world,1989,33.31913
world,1990,33.60682
world,1991,33.63419
world,1992,33.72639
world,1993,33.83863
world,1994,34.40424
world,1995,35.31384
world,1996,36.01387
world,1997,36.6943
world,1998,37.55964
world,1999,38.32227
world,2000,38.81325
world,2001,39.24065
world,2002,39.54722
world,2003,39.37529
world,2004,39.69989
world,2005,40.25902
world,2006,40.64411
world,2007,41.0334
world,2008,41.4201
world,2009,41.83517
world,2010,41.87074
world,2011,41.85512
world,2012,41.79033
world,2013,41.94524
world,2014,42.07018
world,2015,42.1856
world,2016,42.2606
world,2017,42.63257
world,2018,42.94019
world,2019,43.09452
