global,time,iq_cpa_debt_xq
world,2005,3.44737
world,2006,3.44231
world,2007,3.48667
world,2008,3.51333
world,2009,3.47403
world,2010,3.44156
world,2011,3.4359
world,2012,3.3875
world,2013,3.38272
world,2014,3.36842
world,2015,3.34211
world,2016,3.25342
world,2017,3.18243
world,2018,3.17123
world,2019,3.14667
world,2020,3.15753
