global,time,se_sec_enrr_ma
world,1970,46.51784
world,1971,48.3289
world,1972,50.42001
world,1973,51.74703
world,1974,51.63941
world,1975,51.82571
world,1976,53.47189
world,1977,54.42377
world,1978,53.88265
world,1979,54.75448
world,1980,54.14613
world,1981,53.36862
world,1982,52.52665
world,1983,52.17997
world,1984,52.76093
world,1985,51.65627
world,1986,54.26971
world,1987,54.92826
world,1988,55.25219
world,1989,55.14927
world,1990,55.51191
world,1991,56.56297
world,1992,57.84853
world,1993,59.27458
world,1994,59.94471
world,1995,60.71314
world,1996,61.62561
world,1997,62.2043
world,1998,62.04221
world,1999,62.31529
world,2000,62.3731
world,2001,62.72036
world,2002,63.51182
world,2003,64.085
world,2004,65.05143
world,2005,65.77551
world,2006,66.89198
world,2007,68.39732
world,2008,69.83125
world,2009,70.3258
world,2010,72.21235
world,2011,73.29006
world,2012,74.01099
world,2013,75.03351
world,2014,75.69702
world,2015,75.83295
world,2016,76.03426
world,2017,75.78654
world,2018,76.29865
world,2019,76.45061
