global,time,sl_tlf_acti_ma_zs
world,1990,84.27512
world,1991,84.23418
world,1992,84.18752
world,1993,84.02679
world,1994,83.9591
world,1995,83.78669
world,1996,83.6142
world,1997,83.47764
world,1998,83.28861
world,1999,83.21466
world,2000,83.01962
world,2001,82.72843
world,2002,82.48518
world,2003,82.20507
world,2004,82.10538
world,2005,81.92337
world,2006,81.71461
world,2007,81.58291
world,2008,81.43383
world,2009,81.17144
world,2010,80.9548
world,2011,80.83664
world,2012,80.74882
world,2013,80.55452
world,2014,80.37245
world,2015,80.24094
world,2016,80.11185
world,2017,80.08282
world,2018,80.05624
world,2019,80.02882
