geo,time,ne_gdi_totl_kn
ago,2000,88193414400
ago,2001,189643438900
ago,2002,202897000000
ago,2003,231233595000
ago,2004,270867033200
ago,2005,303901976600
ago,2006,316787420400
ago,2007,355213734500
ago,2008,449114807400
ago,2009,465580378200
ago,2010,423427460300
ago,2011,468146383000
ago,2012,501694680900
ago,2013,509954704000
ago,2014,527556729700
ago,2015,517497151500
ago,2016,416394125300
ago,2017,428885949100
ago,2018,405117585100
ago,2019,401276000000
ago,2020,395532000000
alb,1997,49819675966.39831
alb,1998,104514097510.71201
alb,1999,143756117282.45901
alb,2000,238929064013.20001
alb,2001,297419948105.94702
alb,2002,314726227706.83002
alb,2003,290322615278.15698
alb,2004,307567316034.27002
alb,2005,331147623039.96802
alb,2006,341145771439.98798
alb,2007,345294614255.05298
alb,2008,400917187873.42999
alb,2009,406053173836.75098
alb,2010,375719910000
alb,2011,399230090000
alb,2012,367642421470.65997
alb,2013,361107515289.57098
alb,2014,340720951326.61902
alb,2015,351552538673.88098
alb,2016,352637874882.44202
alb,2017,368061500039.41693
alb,2018,370270374693.53497
alb,2019,376851235504.58801
are,2001,132642579000
are,2002,140020949000
are,2003,149687423400
are,2004,154012124800
are,2005,182079130100
are,2006,209133971200
are,2007,291608787200
are,2008,291679945400
are,2009,317749613500
are,2010,288634831871.27399
are,2011,283875168132.68103
are,2012,280982880448.005
are,2013,277092483654.16693
are,2014,341252212107.54901
are,2015,387729778895.03802
are,2016,402360886060.54401
are,2017,442029163194.73102
are,2018,391003950506.22498
are,2019,334543219188.87701
are,2020,347597944787.112
arg,1960,41941086373.715
arg,1961,45999881149.8351
arg,1962,41941086373.715
arg,1963,34499894917.6177
arg,1964,44308689780.23289
arg,1965,45999881149.8352
arg,1966,44308739357.1055
arg,1967,46000054538.1943
arg,1968,50058937663.9608
arg,1969,61558998217.9222
arg,1970,62932232367.0023
arg,1971,69811877827.5446
arg,1972,70521994034.716
arg,1973,67207429843.25649
arg,1974,67951586193.3031
arg,1975,69169318342.98289
arg,1976,73972011129.2075
arg,1977,89429531331.80969
arg,1978,75189743278.8873
arg,1979,82867789942.5939
arg,1980,89585889643.1666
arg,1981,76169562290.5775
arg,1982,60979154696.9458
arg,1983,61222771963.4326
arg,1984,58691584655.9914
arg,1985,50413305742.8679
arg,1986,55979326229.6128
arg,1987,63220767064.182
arg,1988,60995566210.0947
arg,1989,47819572287.8776
arg,1990,39761931717.2518
arg,1991,51667321500
arg,1992,68533326300
arg,1993,78377408200
arg,1994,88280807100
arg,1995,77126135400
arg,1996,87232163300
arg,1997,101706392800
arg,1998,106689372600
arg,1999,88635750100
arg,2000,85260580400
arg,2001,75085968000
arg,2002,46857782400
arg,2003,65690641300
arg,2004,85143879400
arg,2005,97742050100
arg,2006,104453514900
arg,2007,125688977400
arg,2008,134089331600
arg,2009,103152852700
arg,2010,136720979100
arg,2011,158723130700
arg,2012,140969841900
arg,2013,147551759800
arg,2014,138368830900
arg,2015,144673895900
arg,2016,137318686000
arg,2017,158537653500
arg,2018,142926295300
arg,2019,119049933000
arg,2020,105705913400
arm,1994,431570789800
arm,1995,384262967200
arm,1996,395430049800
arm,1997,454973746400
arm,1998,445796434900
arm,1999,432933580000
arm,2000,386652316800
arm,2001,382731249500
arm,2002,524445182500
arm,2003,782736960700
arm,2004,824629357400
arm,2005,1033607298800
arm,2006,1369980942900
arm,2007,1767038544200
arm,2008,2175914573600
arm,2009,1334371349800
arm,2010,1293870980700
arm,2011,1190194973700
arm,2012,1053003100000
arm,2013,977186876800
arm,2014,970346568662.40002
arm,2015,939295478465.203
arm,2016,857576771838.73083
arm,2017,945907179338.12012
arm,2018,1272245156209.77002
arm,2019,1090314098871.77002
arm,2020,1018353368346.23999
aus,2020,441118000000
aut,1970,33114036000
aut,1971,34119620000
aut,1972,37462615000
aut,1973,40972864000
aut,1974,41420937000
aut,1975,36341401000
aut,1976,40848973000
aut,1977,45184431000
aut,1978,40741913000
aut,1979,47399223000
aut,1980,46853417000
aut,1981,44027479000
aut,1982,40967253000
aut,1983,39679370000
aut,1984,41747318000
aut,1985,44427303000
aut,1986,44491879000
aut,1987,45980347000
aut,1988,50744674000
aut,1989,54219633000
aut,1990,57273297000
aut,1991,60022489000
aut,1992,59531068000
aut,1993,57871210000
aut,1994,61330831000
aut,1995,65271150000
aut,1996,65769560000
aut,1997,66931100000
aut,1998,68831440000
aut,1999,71184230000
aut,2000,72967530000
aut,2001,72345280000
aut,2002,69574850000
aut,2003,72808820000
aut,2004,74020680000
aut,2005,75178770000
aut,2006,76851920000
aut,2007,82584640000
aut,2008,82138350000
aut,2009,73631510000
aut,2010,73500310000
aut,2011,79972490000
aut,2012,79410810000
aut,2013,78827380000
aut,2014,79381870000
