geo,time,dt_tds_dppg_cd
afg,2006,9259252.2
afg,2007,4514050.9
afg,2008,7292000
afg,2009,9670000
afg,2010,8675000
afg,2011,9747904.9
afg,2012,9911879.8
afg,2013,11683362.4
afg,2014,21248292.7
afg,2015,27416416.2
afg,2016,30269882.9
afg,2017,30597878.7
afg,2018,32675060.7
afg,2019,32780041.6
afg,2020,28700402.1
ago,1989,241320178.7
ago,1990,282814344.9
ago,1991,335520412.6
ago,1992,191267718.4
ago,1993,88548945.3
ago,1994,204132717.8
ago,1995,414832491.6
ago,1996,947223887.7
ago,1997,964534498.9
ago,1998,1487007553.4
ago,1999,1383536131.2
ago,2000,1679565380.7
ago,2001,2208991179.1
ago,2002,1424848885.4
ago,2003,1476277082.3
ago,2004,1867698095.1
ago,2005,2545708455.8
ago,2006,4329212396.3
ago,2007,4362663227.6
ago,2008,1576610560.3
ago,2009,3531791660.9
ago,2010,2289701493.7
ago,2011,2836775447.3
ago,2012,4192394831.8
ago,2013,4843249420.6
ago,2014,6783216194
ago,2015,6382829772.4
ago,2016,9385209253
ago,2017,8149596326
ago,2018,9312681448.3
ago,2019,10837950834.8
ago,2020,6886069353.1
alb,1991,3568063.5
alb,1992,1917988.2
alb,1993,7130952.4
alb,1994,17198938.5
alb,1995,4950294.4
alb,1996,10728376.8
alb,1997,13658225.6
alb,1998,16696943.2
alb,1999,13849748.1
alb,2000,16514240.6
alb,2001,18006135.1
alb,2002,37376310.9
alb,2003,41247994.9
alb,2004,57478154
alb,2005,63286184.4
alb,2006,81924640.6
alb,2007,86467957.1
alb,2008,101465558.3
alb,2009,151300057
alb,2010,240439315.8
alb,2011,295849488.5
alb,2012,290272156.1
alb,2013,196787971.1
alb,2014,255135298.7
alb,2015,589275619.5
alb,2016,274930666.7
alb,2017,305196417.4
alb,2018,673540925
alb,2019,368381822.9
alb,2020,640833467.2
arg,1970,472423169.7
arg,1971,442763471.6
arg,1972,487413787.2
arg,1973,678452864.9
arg,1974,810832252.6
arg,1975,806543586.5
arg,1976,889630565.4
arg,1977,1062465123
arg,1978,2138295836.9
arg,1979,1489840750.2
arg,1980,2065779181.2
arg,1981,2173698889.5
arg,1982,2341053608.3
arg,1983,2466844770.9
arg,1984,2601223907
arg,1985,4287866477.8
arg,1986,4726480553.4
arg,1987,4645376194
arg,1988,3778673673.5
arg,1989,2792957639.1
arg,1990,4835574393.2
arg,1991,3776348514.6
arg,1992,3230342128
arg,1993,4447111158.5
arg,1994,3613640783.9
arg,1995,5253002651.8
arg,1996,6995043002.2
arg,1997,9335375521.9
arg,1998,9608478923.6
arg,1999,11740160459.7
arg,2000,14081205317.3
arg,2001,9994574595.3
arg,2002,3577304413.7
arg,2003,6833401361.2
arg,2004,2583475133.6
arg,2005,3178284455.9
arg,2006,4004566750.8
arg,2007,5011131954
arg,2008,5873587091.3
arg,2009,7623385200.5
arg,2010,8734949204.2
arg,2011,7820481977.8
arg,2012,6097798413.8
arg,2013,7424352267
arg,2014,10108412452.8
arg,2015,11510933755.5
arg,2016,17667247820.3
arg,2017,30254108650.6
arg,2018,26782797134.6
arg,2019,28179530229.3
arg,2020,9370071245.3
arm,1993,1950956.5
arm,1994,4440172.1
arm,1995,9551548.9
arm,1996,39460528.8
arm,1997,20044424.2
arm,1998,55570525.9
arm,1999,39991503.9
arm,2000,22253593.5
arm,2001,40583655.9
arm,2002,48354507.9
arm,2003,71445022.8
arm,2004,60361619.4
arm,2005,24942903.4
arm,2006,26153280.3
arm,2007,26717318
arm,2008,26096855.5
arm,2009,44110810
arm,2010,58987181.4
arm,2011,66398103.7
arm,2012,73375100.6
arm,2013,578588097
arm,2014,113233978
arm,2015,359817804.2
arm,2016,195848137.2
arm,2017,230440788.2
arm,2018,299971188.1
arm,2019,756192156
arm,2020,480352186.8
aze,1995,8692412
aze,1996,4323000
aze,1997,69255483.1
aze,1998,11477492.7
aze,1999,24758488.6
aze,2000,46407004.2
aze,2001,66737269.6
aze,2002,64170398.2
aze,2003,80354133
aze,2004,69446917.8
aze,2005,74199345.6
aze,2006,95925797.1
aze,2007,136325980.7
aze,2008,228186733.2
aze,2009,267912045.8
aze,2010,298423678.7
aze,2011,337512805.6
aze,2012,375218477.7
aze,2013,842284862.6
aze,2014,692384530
aze,2015,791077264.9
aze,2016,994175642.7
aze,2017,1587786136.6
aze,2018,2085879155.8
aze,2019,1630009674.4
aze,2020,1339223807.4
bdi,1970,635280.6
bdi,1971,555789.4
bdi,1972,1906928.3
bdi,1973,857296.5
bdi,1974,934315.1
bdi,1975,2017139.3
bdi,1976,2778841.7
bdi,1977,3029558.2
bdi,1978,2859292.5
bdi,1979,4199390.5
bdi,1980,6170308.2
bdi,1981,5278400.1
bdi,1982,5558152.9
bdi,1983,6854209.7
bdi,1984,15806523.4
bdi,1985,21166641.7
bdi,1986,28712881.1
bdi,1987,39701962.7
bdi,1988,40285899.7
bdi,1989,38641612.9
bdi,1990,39711078
bdi,1991,37522340.8
bdi,1992,35646319.5
bdi,1993,30883404.6
