geo,time,se_sec_enrl_vo_fe_zs
abw,1999,33.42222
abw,2000,33.12034
abw,2001,36.71004
abw,2002,37.39566
abw,2003,38.30431
abw,2004,39.72485
abw,2005,38.29787
abw,2006,37.5
abw,2007,38.83752
abw,2008,36.54559
abw,2009,35.70275
abw,2010,36.86515
abw,2011,39.28897
abw,2012,36.02941
afg,1970,6.03619
afg,1971,7.28247
afg,1972,8.61331
afg,1973,10.82965
afg,1974,11.98148
afg,1975,10.92282
afg,1976,7.63484
afg,1977,11.3271
afg,1978,11.12211
afg,1979,7.97784
afg,1981,14.12056
afg,2003,3.64501
afg,2004,4.12297
afg,2005,10.06548
afg,2007,11.09459
afg,2008,7.99712
afg,2011,6.36439
afg,2012,11.81092
afg,2013,7.31707
afg,2014,7.68216
afg,2015,9.73838
afg,2016,12.77069
afg,2017,12.77034
afg,2018,13.15405
ago,1971,36.06002
ago,1972,38.53634
ago,1982,26.08529
ago,1983,21.81303
ago,1998,30.48676
ago,1999,27.35927
ago,2000,39.26701
ago,2001,38.95088
ago,2002,41.66001
ago,2008,36.35917
ago,2009,36.92764
ago,2010,33.43173
ago,2011,32.71508
ago,2016,42.35188
alb,1976,43.45046
alb,1978,43.64768
alb,1979,43.50462
alb,1980,41.81097
alb,1981,41.49046
alb,1982,41.27351
alb,1983,41.72267
alb,1984,41.69522
alb,1985,41.7603
alb,1986,41.40661
alb,1987,41.50518
alb,1988,40.76238
alb,1989,40.22203
alb,1990,39.38722
alb,1991,39.54554
alb,1994,37.11375
alb,1995,30.86737
alb,1998,28.3419
alb,1999,29.66365
alb,2000,30.9289
alb,2001,30.31671
alb,2002,31.38145
alb,2003,30.80183
alb,2004,33.59274
alb,2006,36.92776
alb,2007,36.20775
alb,2008,35.45461
alb,2009,35.09558
alb,2010,30.95071
alb,2011,25.66187
alb,2012,22.20542
alb,2013,21.80912
alb,2014,22.18433
alb,2015,16.25806
alb,2016,15.95874
alb,2017,15.42824
alb,2018,15.60301
and,2002,45.11628
and,2003,46.11872
and,2004,48.1982
and,2005,49.35065
and,2006,49.5935
and,2007,50.20408
and,2008,51.52672
and,2009,54.16667
and,2010,49.86376
and,2011,47.83784
and,2012,41.53846
and,2013,44.65409
and,2014,47.38292
and,2015,43.98977
and,2016,45.1074
and,2017,38.49658
and,2018,39.7541
are,1971,2.443
are,1972,2.1097
are,1973,10.78067
are,1974,27.80374
are,1975,28.80952
are,1976,22.22222
are,1977,23.02839
are,1978,8.81356
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0
are,1984,0
are,1985,0
are,1986,0
are,1987,0
are,1988,0
are,1989,0
are,1990,0
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1997,0
are,2016,35.30959
are,2017,37.92347
arg,1970,46.52643
arg,1971,46.44541
arg,1972,46.82247
arg,1973,47.31212
arg,1974,47.19174
arg,1975,47.55167
arg,1976,47.59813
arg,1977,47.62928
arg,1978,47.79201
arg,1979,47.30468
arg,1980,46.53441
arg,1981,46.51857
arg,1982,44.70842
arg,1983,43.4129
arg,1984,45.34849
arg,1985,46.16383
arg,1986,44.06731
arg,1987,43.50934
arg,1988,43.39944
arg,1998,43.03964
arm,2000,16.52261
arm,2007,37.13888
arm,2008,38.15571
arm,2009,37.66544
arm,2010,36.65118
arm,2011,40.26963
arm,2013,41.35397
arm,2014,42.78199
arm,2015,42.23725
arm,2018,41.73613
asm,1987,4.83871
asm,1988,5.09554
asm,1989,8.80503
asm,1990,7.91367
asm,1991,7.85714
asm,1992,4.375
asm,1993,5.88235
asm,1994,6.11111
asm,1995,6.11111
asm,1996,6.11111
asm,1997,6.11111
atg,1972,17.99163
atg,1974,55.31915
atg,1975,58.51528
atg,1977,50
atg,1978,46.77419
atg,2000,33.28571
atg,2008,35.99222
atg,2009,34.68697
atg,2010,48.06723
atg,2011,44.11765
atg,2012,43.69748
atg,2014,38.15385
atg,2015,45.81673
atg,2017,45.80153
atg,2018,36.87943
aus,1993,47.74876
aus,1994,46.95245
aus,1995,47.09845
aus,1996,47.35354
aus,1997,49.36869
aus,2015,38.57922
aus,2016,37.94547
aus,2017,39.32896
aut,1971,40.96149
aut,1976,39.79906
aut,1981,42.14125
aut,1982,43.18244
aut,1983,42.97033
aut,1984,43.06389
aut,1985,44.76341
aut,1986,44.21213
aut,1987,43.79679
aut,1988,44.16393
aut,1989,44.95342
aut,1990,44.43837
aut,1991,44.60697
aut,1992,44.35142
aut,1993,44.49307
aut,1994,44.54496
aut,1995,44.35319
aut,1996,44.60599
aut,1997,44.83343
aut,1998,42.861
aut,1999,43.08438
aut,2000,43.47476
aut,2001,43.84391
aut,2002,43.34205
aut,2003,43.14392
aut,2004,43.32953
aut,2005,43.73133
aut,2006,44.20797
aut,2007,44.09333
aut,2008,43.84884
aut,2009,43.69552
aut,2010,43.94006
aut,2011,43.92012
aut,2012,43.93113
aut,2013,44.25783
aut,2014,44.11883
aut,2015,44.03472
aut,2016,43.84681
aut,2017,43.50362
aze,1981,30.59965
aze,1986,30.60026
aze,1990,33.4103
aze,1991,31.59926
aze,1992,31.50047
aze,1993,34.99955
aze,1994,34.50127
aze,1995,31.40187
aze,1996,25.0917
aze,1997,32.70087
aze,2018,50.12666
bdi,1971,25.38095
bdi,1972,25.08741
bdi,1973,31.20757
bdi,1974,34.40562
bdi,1975,32.57248
bdi,1976,35.03086
bdi,1977,38.4561
bdi,1978,39.55692
bdi,1979,38.58248
bdi,1980,40.55431
bdi,1981,37.7101
bdi,1982,41.60178
bdi,1983,38.4524
bdi,1984,38.22832
bdi,1985,39.76497
bdi,1986,37.76934
bdi,1987,38.08979
bdi,1988,38.98895
bdi,1989,41.90469
