geo,time,en_co2_tran_zs
ago,1971,63.58025
ago,1972,71.25
ago,1973,65.90909
ago,1974,57.77778
ago,1975,56.12245
ago,1976,57.21649
ago,1977,43.04636
ago,1978,51.55039
ago,1979,41.33858
ago,1980,37.59398
ago,1981,34.52381
ago,1982,39.09091
ago,1983,33.62069
ago,1984,31.39013
ago,1985,36.87943
ago,1986,37.18412
ago,1987,36.49123
ago,1988,38.62928
ago,1989,39.39394
ago,1990,26.02041
ago,1991,31.42145
ago,1992,30.59126
ago,1993,28.67299
ago,1994,36.84211
ago,1995,27.36573
ago,1996,23.62768
ago,1997,24.24942
ago,1998,22.25201
ago,1999,24.47257
ago,2000,23.11015
ago,2001,23.85686
ago,2002,26.90909
ago,2003,38.95184
ago,2004,42.43243
ago,2005,39.8374
ago,2006,39.51515
ago,2007,40.04149
ago,2008,43.69179
ago,2009,41.09589
ago,2010,42.36616
ago,2011,44.09204
ago,2012,44.52098
ago,2013,45.13274
ago,2014,43.98964
alb,1971,18.91192
alb,1972,17.52809
alb,1973,20.15306
alb,1974,20.19465
alb,1975,19.81567
alb,1976,21.36752
alb,1977,20.76613
alb,1978,19.92883
alb,1979,18.80597
alb,1980,21.73275
alb,1981,14.01709
alb,1982,13.91162
alb,1983,13.96396
alb,1984,18.28255
alb,1985,15.56196
alb,1986,14.51149
alb,1987,14.50276
alb,1988,16.03905
alb,1989,14.03509
alb,1990,12.52205
alb,1991,13.91076
alb,1992,19.15888
alb,1993,25.75758
alb,1994,31.03448
alb,1995,34.05405
alb,1996,33.33333
alb,1997,34.26573
alb,1998,42.04545
alb,1999,47.94521
alb,2000,47.72727
alb,2001,47.82609
alb,2002,47.2
alb,2003,50
alb,2004,57.35661
alb,2005,62.04188
alb,2006,50.65963
alb,2007,55.55556
alb,2008,61.45553
alb,2009,61.00796
alb,2010,56.743
alb,2011,56.52174
alb,2012,64.65517
alb,2013,67.30769
alb,2014,59.95146
are,1971,16.66667
are,1972,20.93023
are,1973,23.83901
are,1974,29.97033
are,1975,33.53659
are,1976,34.22292
are,1977,21.60377
are,1978,20.81633
are,1979,22.77433
are,1980,36.21228
are,1981,35.10502
are,1982,35.52426
are,1983,37.58607
are,1984,30.80301
are,1985,26.41774
are,1986,23.43828
are,1987,22.90819
are,1988,23.0363
are,1989,20.80046
are,1990,21.76595
are,1991,19.62806
are,1992,20.86649
are,1993,21.14449
are,1994,19.03309
are,1995,18.81103
are,1996,18.23683
are,1997,17.22114
are,1998,16.87285
are,1999,16.83414
are,2000,18.60203
are,2001,17.5962
are,2002,19.84345
are,2003,21.11977
are,2004,20.05905
are,2005,20.4662
are,2006,20.79638
are,2007,19.79863
are,2008,17.85909
are,2009,17.89116
are,2010,17.85173
are,2011,17.41863
are,2012,18.22837
are,2013,18.93123
are,2014,21.03973
arg,1971,29.23991
arg,1972,30.87144
arg,1973,30.08475
arg,1974,30.43976
arg,1975,29.71831
arg,1976,28.28837
arg,1977,29.29032
arg,1978,30.25019
arg,1979,31.06208
arg,1980,32.81496
arg,1981,33.32979
arg,1982,34.01817
arg,1983,33.34037
arg,1984,32.2314
arg,1985,29.94872
arg,1986,29.73561
arg,1987,29.00227
arg,1988,25.96416
arg,1989,26.44952
arg,1990,28.61743
arg,1991,28.5987
arg,1992,30.13981
arg,1993,33.29296
arg,1994,32.32376
arg,1995,32.65411
arg,1996,31.60551
arg,1997,31.03211
arg,1998,31.38298
arg,1999,29.50467
arg,2000,28.89032
arg,2001,28.38069
arg,2002,28.00757
arg,2003,26.73343
arg,2004,25.85819
arg,2005,26.51409
arg,2006,26.33104
arg,2007,25.64474
arg,2008,25.53637
arg,2009,24.01848
arg,2010,24.98273
arg,2011,27.18291
arg,2012,26.28374
arg,2013,25.28348
arg,2014,24.16714
arm,1990,14.91935
arm,1991,14.02321
arm,1992,17.1831
arm,1993,24.18699
arm,1994,5.97015
arm,1995,3.26409
arm,1996,2.5
arm,1997,1.89873
arm,1998,2.13415
arm,1999,2.38908
arm,2000,16.66667
arm,2001,16.47399
arm,2002,18.5567
arm,2003,18.04281
arm,2004,17.63006
arm,2005,16.22276
arm,2006,15.90361
arm,2007,22.08333
arm,2008,23.90892
arm,2009,26.69789
arm,2010,31.11111
arm,2011,27.62313
arm,2012,23.89706
arm,2013,24.42748
arm,2014,27.77778
aus,1960,24.61278
aus,1961,23.65041
aus,1962,23.97642
aus,1963,24.51312
aus,1964,24.4197
aus,1965,24.2408
aus,1966,23.82096
aus,1967,23.85358
aus,1968,24.08204
aus,1969,24.67199
aus,1970,22.93299
aus,1971,23.27706
aus,1972,23.1386
aus,1973,24.13771
aus,1974,22.6975
aus,1975,22.68598
aus,1976,23.10314
aus,1977,22.83702
aus,1978,24.70564
aus,1979,24.48576
aus,1980,23.97698
aus,1981,24.31403
aus,1982,24.13309
aus,1983,25.28496
aus,1984,25.57916
aus,1985,24.87849
aus,1986,25.38371
aus,1987,24.66356
aus,1988,24.6564
aus,1989,24.06905
aus,1990,23.87864
aus,1991,23.2045
aus,1992,23.41469
aus,1993,23.48699
aus,1994,23.57605
aus,1995,23.66567
aus,1996,23.66482
aus,1997,23.54358
aus,1998,22.04447
aus,1999,22.12492
aus,2000,22.40813
aus,2001,21.81626
aus,2002,21.81026
aus,2003,21.65165
aus,2004,21.5928
aus,2005,21.32717
aus,2006,21.52643
aus,2007,21.56665
aus,2008,21.86434
aus,2009,21.46104
aus,2010,22.4855
aus,2011,23.29375
