geo,time,sh_alc_pcap_li
afg,2010,0.21
afg,2015,0.21
afg,2018,0.21
ago,2000,2.76
ago,2005,4.89
ago,2010,8.16
ago,2015,7.96
ago,2018,6.94
alb,2000,6.57
alb,2005,7.65
alb,2010,7.69
alb,2015,6.74
alb,2018,7.17
and,2000,13.28
and,2005,12.55
and,2010,11.11
and,2015,11.01
and,2018,11.02
are,2000,2.58
are,2005,3.64
are,2010,3.15
are,2015,3.79
are,2018,3.9
arg,2000,8.75
arg,2005,8.66
arg,2010,9.09
arg,2015,9.55
arg,2018,9.65
arm,2000,4.23
arm,2005,5.79
arm,2010,5.69
arm,2015,5.84
arm,2018,5.55
atg,2000,5.13
atg,2005,5.37
atg,2010,5.6
atg,2015,5.89
atg,2018,6.38
aus,2000,11.72
aus,2005,12.08
aus,2010,12.39
aus,2015,10.83
aus,2018,10.51
aut,2000,13.12
aut,2005,12.79
aut,2010,12.2
aut,2015,12.07
aut,2018,11.96
aze,2000,3.45
aze,2005,1.81
aze,2010,2.97
aze,2015,4.58
aze,2018,4.41
bdi,2000,9.82
bdi,2005,8.44
bdi,2010,7.66
bdi,2015,7.03
bdi,2018,7.19
bel,2000,12.49
bel,2005,13.13
bel,2010,11.4
bel,2015,11.82
bel,2018,11.08
ben,2000,2.46
ben,2005,2.23
ben,2010,2.47
ben,2015,2.97
ben,2018,2.81
bfa,2000,8.4
bfa,2005,9.19
bfa,2010,8.58
bfa,2015,11.83
bfa,2018,12.03
bgd,2000,0.23
bgd,2005,0.16
bgd,2010,0.16
bgd,2015,0.021
bgd,2018,0.019
bgr,2000,11.8
bgr,2005,11.42
bgr,2010,11.32
bgr,2015,12.34
bgr,2018,12.65
bhr,2000,1.74
bhr,2005,1.76
bhr,2010,1.69
bhr,2015,1.3
bhr,2018,1.09
bhs,2000,5.58
bhs,2005,4.28
bhs,2010,4.12
bhs,2015,4.55
bhs,2018,4.78
bih,2000,6.37
bih,2005,7.2
bih,2010,7.32
bih,2015,6.92
bih,2018,7.15
blr,2000,15.17
blr,2005,15.3
blr,2010,17.43
blr,2015,12
blr,2018,11.45
blz,2000,5.55
blz,2005,7.16
blz,2010,7.08
blz,2015,6.74
blz,2018,6.22
bol,2000,3.44
bol,2005,4.37
bol,2010,5.56
bol,2015,4.64
bol,2018,4.43
bra,2000,8.78
bra,2005,8.32
bra,2010,8.49
bra,2015,7.86
bra,2018,7.42
brb,2000,7.11
brb,2005,7.4
brb,2010,7.95
brb,2015,9.33
brb,2018,9.69
brn,2000,0.23
brn,2005,0.21
brn,2010,0.51
brn,2015,0.46
brn,2018,0.48
btn,2000,2.77
btn,2005,1.6
btn,2010,0.92
btn,2015,0.42
btn,2018,0.43
bwa,2000,9.05
bwa,2005,9.61
bwa,2010,8.62
bwa,2015,6.86
bwa,2018,6.59
caf,2000,3.68
caf,2005,3.62
caf,2010,3.98
caf,2015,2.43
caf,2018,2.38
can,2010,10.1
can,2015,8.88
can,2018,8.94
che,2000,12.49
che,2005,11.64
che,2010,11.41
che,2015,11.58
che,2018,11.53
chl,2000,7.74
chl,2005,8.93
chl,2010,9.31
chl,2015,9.26
chl,2018,9.07
chn,2000,3.81
chn,2005,4.02
chn,2010,7.07
chn,2015,7.15
chn,2018,7.05
civ,2000,7.25
civ,2005,3.3
civ,2010,2.53
civ,2015,2.61
civ,2018,2.71
cmr,2000,6.69
cmr,2005,7.62
cmr,2010,8.43
cmr,2015,6.17
cmr,2018,5.65
cod,2000,0.95
cod,2005,0.86
cod,2010,1.75
cod,2015,2.05
cod,2018,2
cog,2000,3.45
cog,2005,3.75
cog,2010,6.17
cog,2015,7.9
cog,2018,9.27
col,2000,5.58
col,2005,5.41
col,2010,5.04
col,2015,5.78
col,2018,5.74
com,2000,0.19
com,2005,0.44
com,2010,0.25
com,2015,0.88
com,2018,0.69
cpv,2000,6.03
cpv,2005,6.95
cpv,2010,7.51
cpv,2015,5.95
cpv,2018,5.6
cri,2000,5.55
cri,2005,5.42
cri,2010,4.8
cri,2015,4.76
cri,2018,4.87
cub,2000,4.98
cub,2005,5.36
cub,2010,5.02
cub,2015,5.67
cub,2018,5.83
cyp,2000,10.86
cyp,2005,12.43
cyp,2010,11.35
cyp,2015,10.76
cyp,2018,10.81
cze,2000,15
cze,2005,14.76
cze,2010,14.06
cze,2015,14.25
cze,2018,14.45
deu,2000,14.16
deu,2005,13.28
deu,2010,12.64
deu,2015,13.06
deu,2018,12.91
dji,2000,1.62
dji,2005,1.28
dji,2010,0.67
dji,2015,0.49
dji,2018,0.43
dma,2000,8.38
dma,2005,8.72
dma,2010,9.65
dma,2015,11.32
dma,2018,11.18
dnk,2000,12.67
dnk,2005,12.29
dnk,2010,11
dnk,2015,10.36
dnk,2018,10.26
dom,2000,7.19
dom,2005,6.15
dom,2010,6.11
dom,2015,6.61
dom,2018,6.68
dza,2000,0.58
dza,2005,0.81
dza,2010,0.65
dza,2015,0.93
dza,2018,0.95
ecu,2000,5.96
ecu,2005,5.81
ecu,2010,6.16
ecu,2015,4.98
ecu,2018,4.2
egy,2000,0.25
egy,2005,0.29
egy,2010,0.36
egy,2015,0.4
egy,2018,0.36
eri,2000,1.57
eri,2005,2.08
eri,2010,1.38
eri,2015,1.42
eri,2018,1.44
esp,2000,12.43
esp,2005,12.83
esp,2010,10.03
esp,2015,11.32
esp,2018,12.72
est,2000,9.57
est,2005,15.65
est,2010,12.39
est,2015,12.39
est,2018,9.23
eth,2000,1.76
eth,2005,2.05
eth,2010,2.5
eth,2015,2.19
eth,2018,2.36
fin,2000,11.69
fin,2005,13.11
fin,2010,12.59
fin,2015,11.18
fin,2018,10.78
fji,2000,3.24
fji,2005,2.78
fji,2010,3
fji,2015,3.33
fji,2018,3.32
fra,2000,14.08
fra,2005,13.09
fra,2010,12.4
fra,2015,12.64
fra,2018,12.33
fsm,2000,3.86
fsm,2005,2.78
fsm,2010,2.85
fsm,2015,2.44
fsm,2018,2.48
gab,2000,10.59
gab,2005,9.36
gab,2010,9.89
gab,2015,9.57
gab,2018,8.74
gbr,2000,13.73
gbr,2005,13.89
gbr,2010,12.06
gbr,2015,11.21
gbr,2018,11.45
geo,2000,4.41
geo,2005,6.39
geo,2010,9.67
geo,2015,9.61
geo,2018,8.25
gha,2000,5.3
gha,2005,3.77
gha,2010,4.26
gha,2015,3.12
gha,2018,2.75
gin,2000,0.67
gin,2005,0.77
gin,2010,0.7
gin,2015,1.07
gin,2018,1.11
gmb,2000,4.14
gmb,2005,4.27
gmb,2010,3.81
gmb,2015,3.67
gmb,2018,3.55
gnb,2000,4.15
gnb,2005,5.31
gnb,2010,4.47
gnb,2015,5.05
gnb,2018,5.38
gnq,2000,7.45
gnq,2005,8.91
gnq,2010,9.2
gnq,2015,9.08
gnq,2018,7.23
