geo,time,se_sec_enrr_fe
abw,1999,101.65423
abw,2000,98.11321
abw,2001,100.21374
abw,2002,103.1426
abw,2003,101.4024
abw,2004,97.24138
abw,2005,96.11392
abw,2006,96.79752
abw,2007,104.0625
abw,2008,97.9276
abw,2009,99.12791
abw,2010,98.29424
abw,2011,99.73133
abw,2012,112.14575
afg,1970,2.22176
afg,1971,2.34345
afg,1972,2.37588
afg,1973,2.64944
afg,1974,2.62517
afg,1975,2.77597
afg,1976,3.19226
afg,1977,3.81069
afg,1978,4.14919
afg,1981,7.84074
afg,1982,6.47227
afg,1984,7.70784
afg,1985,8.09358
afg,1986,7.95657
afg,1988,8.59936
afg,1991,10.4254
afg,1993,8.34158
afg,1994,9.16951
afg,1995,11.11523
afg,2001,0
afg,2003,6.39336
afg,2004,5.94273
afg,2005,9.00686
afg,2006,14.8405
afg,2007,15.32682
afg,2008,22.53381
afg,2009,28.58368
afg,2010,33.30268
afg,2011,36.63596
afg,2012,38.10794
afg,2013,37.84849
afg,2014,37.33299
afg,2015,36.75185
afg,2016,37.30253
afg,2017,38.60254
afg,2018,39.9984
ago,1971,5.10292
ago,1972,5.70466
ago,1982,6.32713
ago,1983,5.76631
ago,1998,9.50013
ago,1999,9.26871
ago,2000,11.05441
ago,2001,12.16297
ago,2002,13.60296
ago,2008,18.48255
ago,2009,19.60906
ago,2010,21.26446
ago,2011,20.7207
ago,2016,39.74183
alb,1976,80.78878
alb,1978,82.1064
alb,1979,84.16842
alb,1980,84.9184
alb,1981,85.68459
alb,1982,82.4208
alb,1983,79.05763
alb,1984,79.16184
alb,1985,81.0395
alb,1986,83.87702
alb,1987,84.04469
alb,1988,85.02211
alb,1989,85.2603
alb,1990,85.93292
alb,1991,86.9542
alb,1992,78.1897
alb,1993,72.2035
alb,1994,69.49531
alb,1995,68.46657
alb,1996,67.78799
alb,1997,68.46287
alb,1999,70.16624
alb,2000,69.84893
alb,2001,71.55499
alb,2004,73.40501
alb,2005,76.50584
alb,2006,78.145
alb,2007,81.87089
alb,2008,84.0772
alb,2009,87.10308
alb,2010,88.35548
alb,2011,89.39914
alb,2012,91.11264
alb,2013,94.19866
alb,2014,94.78689
alb,2015,95.12266
alb,2016,94.23857
alb,2017,94.7129
alb,2018,95.70465
alb,2019,95.65993
alb,2020,95.33237
and,1971,15.48608
and,1972,16.39421
and,1973,13.56009
and,1974,21.4539
and,1975,27.82875
and,1976,47.39583
and,1983,52.09016
are,1973,13.60218
are,1974,16.03692
are,1975,19.25025
are,1976,26.00569
are,1977,29.37462
are,1978,33.0083
are,1979,37.08485
are,1980,43.66811
are,1981,49.69395
are,1982,54.64643
are,1983,57.40605
are,1984,60.99065
are,1985,63.97404
are,1986,65.80483
are,1987,62.43147
are,1988,62.25894
are,1989,63.8891
are,1990,66.68196
are,1991,71.00559
are,1992,73.49364
are,1993,76.61994
are,1994,81.09395
are,1995,83.96356
are,1997,83.25564
are,1998,84.14952
are,2016,93.32652
are,2017,100.39622
are,2019,101.47922
are,2020,104.00101
arg,1970,47.74958
arg,1971,48.38709
arg,1972,49.56138
arg,1973,52.10108
arg,1974,54.84593
arg,1975,56.71143
arg,1976,58.36965
arg,1977,58.71789
arg,1978,58.89727
arg,1979,58.60336
arg,1980,59.81151
arg,1981,61.3053
arg,1982,61.98775
arg,1983,61.53592
arg,1984,68.00782
arg,1985,73.53793
arg,1986,72.83252
arg,1987,71.81034
arg,1988,72.50762
arg,1996,82.54391
arg,1997,78.34238
arg,1998,83.12272
arg,1999,95.34541
arg,2000,98.28871
arg,2001,99.32843
arg,2002,98.35929
arg,2003,97.8013
arg,2004,98.04832
arg,2005,96.80099
arg,2006,96.38415
arg,2007,96.93862
arg,2008,98.72424
arg,2009,101.94808
arg,2010,104.15448
arg,2011,106.61547
arg,2012,107.97714
arg,2013,108.98023
arg,2014,109.59811
arg,2015,110.15841
arg,2016,110.91987
arg,2017,111.03346
arg,2018,109.94922
arg,2019,110.40685
arm,2000,96.50849
arm,2007,96.64854
arm,2008,94.5757
arm,2009,98.96402
arm,2010,103.744
arm,2011,93.29619
arm,2013,87.66993
arm,2014,88.42138
arm,2015,88.33324
arm,2018,84.80038
arm,2019,88.88324
arm,2020,89.28144
asm,1989,85.51427
asm,1990,88.32976
asm,1991,90.87533
asm,1992,88.88889
atg,1972,75.98877
atg,1974,87.70715
atg,1975,88.17859
atg,1977,92.94057
atg,1978,63.68225
atg,1992,98.75588
atg,2000,76.64065
atg,2007,108.97227
atg,2008,117.50339
atg,2009,118.57761
atg,2010,115.67104
atg,2011,111.6469
atg,2012,117.6208
atg,2014,107.29947
atg,2015,109.34783
atg,2017,107.72048
atg,2018,109.0701
aus,1993,134.67603
aus,1994,132.41869
aus,1995,142.95186
aus,1996,148.32234
aus,1997,155.38863
aus,2015,145.88805
aus,2016,141.89635
aus,2017,141.16537
aus,2018,128.636
aus,2019,135.71432
aut,1971,83.99744
aut,1976,85.34451
aut,1981,87.29942
aut,1982,86.89619
aut,1983,87.42394
aut,1984,87.32444
aut,1985,90.19337
aut,1986,92.55174
aut,1987,92.76907
aut,1988,93.76501
aut,1989,95.01232
aut,1990,96.56433
aut,1991,98.57583
aut,1992,100.54772
aut,1993,102.37788
aut,1994,103.26278
aut,1995,103.16292
aut,1996,102.60584
aut,1997,102.55519
aut,1998,94.96649
aut,1999,96.10926
aut,2000,96.59949
aut,2001,96.84578
aut,2002,96.49898
aut,2003,96.78659
aut,2004,96.63852
aut,2005,97.80609
aut,2006,98.23651
aut,2007,97.65258
aut,2008,97.23182
aut,2009,97.30874
aut,2010,96.7808
aut,2011,96.06344
aut,2012,95.92413
aut,2013,97.41803
aut,2014,97.71083
aut,2015,98.45524
aut,2016,98.91741
aut,2017,98.3281
aut,2018,98.07799
aut,2019,98.88358
aze,1981,91.69447
aze,1986,94.65881
aze,1991,91.20855
aze,1992,90.86578
aze,1993,89.00319
aze,1994,84.51747
aze,1995,86.24819
aze,1996,77.0516
aze,1997,76.68787
aze,2018,94.53944
aze,2019,94.66228
aze,2020,93.08336
bdi,1971,0.70675
bdi,1972,0.77478
bdi,1973,0.70273
bdi,1974,0.98044
bdi,1975,1.25543
bdi,1976,1.38135
bdi,1977,1.46562
bdi,1978,1.52229
bdi,1979,1.6081
bdi,1980,1.6522
bdi,1981,1.85915
bdi,1982,2.25877
bdi,1983,1.94999
bdi,1984,2.0937
bdi,1985,2.41558
bdi,1986,2.54419
bdi,1987,2.97315
bdi,1988,3.18952
bdi,1989,3.60979
bdi,1990,3.95423
bdi,1991,4.2755
bdi,1992,4.67995
bdi,1993,5.3211
bdi,2003,9.17625
bdi,2004,10.27938
bdi,2005,11.02346
bdi,2006,12.007
bdi,2007,12.61281
