global,time,ic_wrh_proc
world,2005,16.10494
world,2006,16.10241
world,2007,16.10059
world,2008,15.73529
world,2009,15.5614
world,2010,15.53216
world,2011,15.37791
world,2012,15.36571
world,2013,15.40476
world,2014,15.47462
world,2015,15.39422
world,2016,15.40016
world,2017,15.31546
world,2018,15.05887
world,2019,14.82296
