geo,time,sl_tlf_cact_fm_zs
afg,1990,19.6048
afg,1991,19.71338
afg,1992,19.80331
afg,1993,19.84461
afg,1994,19.88471
afg,1995,20.00079
afg,1996,19.80299
afg,1997,19.60872
afg,1998,19.46346
afg,1999,19.36929
afg,2000,19.30303
afg,2001,19.5015
afg,2002,19.75788
afg,2003,20.0254
afg,2004,20.27328
afg,2005,20.49844
afg,2006,20.22323
afg,2007,19.94985
afg,2008,19.73225
afg,2009,19.62689
afg,2010,19.66503
afg,2011,20.15941
afg,2012,20.77859
afg,2013,22.21781
afg,2014,23.74861
afg,2015,25.3753
afg,2016,27.10384
afg,2017,28.93618
afg,2018,29.47392
afg,2019,30.00988
afg,2020,24.68588
afg,2021,22.32278
ago,1990,95.10165
ago,1991,94.97776
ago,1992,94.9172
ago,1993,94.91494
ago,1994,94.96857
ago,1995,95.07697
ago,1996,95.05767
ago,1997,95.10529
ago,1998,95.21022
ago,1999,95.36044
ago,2000,95.54158
ago,2001,95.56131
ago,2002,95.63006
ago,2003,95.7308
ago,2004,95.83782
ago,2005,95.93025
ago,2006,95.85282
ago,2007,95.79881
ago,2008,95.75961
ago,2009,95.73635
ago,2010,95.73647
ago,2011,93.69578
ago,2012,93.6338
ago,2013,93.62317
ago,2014,93.65677
ago,2015,93.73818
ago,2016,93.80535
ago,2017,93.92648
ago,2018,94.10192
ago,2019,94.33092
ago,2020,93.42623
ago,2021,93.54631
alb,1990,70.83712
alb,1991,72.83047
alb,1992,73.30539
alb,1993,72.63567
alb,1994,72.07418
alb,1995,71.2721
alb,1996,70.74483
alb,1997,71.3656
alb,1998,70.84493
alb,1999,70.17556
alb,2000,69.82244
alb,2001,69.42802
alb,2002,69.2335
alb,2003,69.87529
alb,2004,70.59216
alb,2005,71.38935
alb,2006,72.2703
alb,2007,73.23984
alb,2008,74.30376
alb,2009,71.29814
alb,2010,73.25359
alb,2011,77.71735
alb,2012,74.81633
alb,2013,71.26185
alb,2014,69.4351
alb,2015,73.32739
alb,2016,76.66049
alb,2017,74.51836
alb,2018,76.12086
alb,2019,77.82912
alb,2020,75.85745
alb,2021,76.68924
are,1990,31.71054
are,1991,32.40582
are,1992,32.90828
are,1993,33.56328
are,1994,33.76552
are,1995,33.94836
are,1996,34.60165
are,1997,35.26066
are,1998,35.92713
are,1999,36.5982
are,2000,37.27644
are,2001,37.95994
are,2002,38.64808
are,2003,39.34212
are,2004,40.04054
are,2005,40.74395
are,2006,41.99219
are,2007,43.25324
are,2008,44.52499
are,2009,45.80825
are,2010,47.0979
are,2011,48.39614
are,2012,49.69992
are,2013,51.00655
are,2014,52.31619
are,2015,53.62532
are,2016,54.93419
are,2017,56.73609
are,2018,54.01728
are,2019,53.94769
are,2020,52.41711
are,2021,52.88683
arg,1990,60.54793
arg,1991,61.92991
arg,1992,63.22446
arg,1993,64.62855
arg,1994,65.64445
arg,1995,65.11696
arg,1996,66.03413
arg,1997,67.37113
arg,1998,67.98247
arg,1999,67.30425
arg,2000,67.09485
arg,2001,66.24163
arg,2002,64.11163
arg,2003,65.51261
arg,2004,66.96318
arg,2005,65.79879
arg,2006,66.73798
arg,2007,66.08677
arg,2008,65.43287
arg,2009,66.47298
arg,2010,65.04667
arg,2011,64.81297
arg,2012,65.59058
arg,2013,65.39413
arg,2014,65.85228
arg,2015,66.45249
arg,2016,67.06641
arg,2017,67.69675
arg,2018,69.73712
arg,2019,70.43792
arg,2020,70.51904
arg,2021,69.84344
arm,1990,71.45498
arm,1991,71.45542
arm,1992,71.4554
arm,1993,71.45559
arm,1994,71.45602
arm,1995,71.45486
arm,1996,71.45439
arm,1997,71.45437
arm,1998,71.4539
arm,1999,71.45479
arm,2000,71.45524
arm,2001,71.45434
arm,2002,71.45502
arm,2003,71.45412
arm,2004,71.45549
arm,2005,71.45458
arm,2006,71.45526
arm,2007,71.45457
arm,2008,71.2873
arm,2009,71.66457
arm,2010,69.41359
arm,2011,73.18705
arm,2012,73.57753
arm,2013,73.96544
arm,2014,73.76486
arm,2015,73.26444
arm,2016,71.07518
arm,2017,71.39203
arm,2018,66.07912
arm,2019,68.53743
arm,2020,67.21826
arm,2021,67.71474
aus,1990,69.12263
aus,1991,69.6418
aus,1992,70.06587
aus,1993,70.29152
aus,1994,71.45809
aus,1995,72.61982
aus,1996,73.10417
aus,1997,73.39721
aus,1998,73.78311
aus,1999,74.23932
aus,2000,75.61467
aus,2001,76.60659
