geo,time,tm_tax_mrch_sm_ar_zs
abw,2011,10.2
abw,2012,10.13
abw,2013,10.16
abw,2015,9.77
abw,2016,10.27
abw,2017,9.99
abw,2018,10.01
abw,2019,10.92
afg,2004,3.86
afg,2006,6.16
afg,2007,6.18
afg,2008,6.47
afg,2012,6.95
afg,2013,6.95
afg,2018,8.38
ago,2002,8.21
ago,2004,8.19
ago,2005,7.98
ago,2006,7.98
ago,2008,7.81
ago,2009,7.77
ago,2010,7.91
ago,2011,7.84
ago,2012,7.73
ago,2013,7.7
ago,2014,11.19
ago,2015,10.91
ago,2016,10.9
ago,2018,8.54
ago,2019,8.65
ago,2020,10.51
alb,1997,16.85
alb,2000,11.74
alb,2001,11.7
alb,2002,8.39
alb,2003,8.19
alb,2004,7.3
alb,2005,6.34
alb,2006,6.35
alb,2007,5.67
alb,2008,2.44
alb,2009,5.71
alb,2010,5.78
alb,2011,2.15
alb,2012,1.65
alb,2013,1.67
alb,2014,1.25
alb,2015,1.24
alb,2016,1.44
alb,2017,1.22
alb,2018,1.47
alb,2019,1.47
alb,2020,1.45
are,2005,4.44
are,2007,4.21
are,2008,4.29
are,2009,4.28
are,2011,4.76
are,2012,4.35
are,2013,4.35
are,2014,4.06
are,2015,4.03
are,2016,3.99
are,2017,4.56
are,2018,4.24
are,2019,4.24
are,2020,4.19
arg,1992,14.18
arg,1993,13.15
arg,1995,12.7
arg,1996,14.45
arg,1997,14.44
arg,1998,16.73
arg,1999,15.17
arg,2000,15.22
arg,2001,13.23
arg,2002,14.78
arg,2003,14.73
arg,2004,11.85
arg,2005,10.6
arg,2006,10.62
arg,2007,11.49
arg,2008,11.16
arg,2009,11.65
arg,2010,11.47
arg,2011,11.35
arg,2012,11.17
arg,2013,12.17
arg,2014,12.58
arg,2015,12.48
arg,2016,12.58
arg,2017,12.73
arg,2018,12.47
arg,2019,12.18
arg,2020,12.19
arm,2001,3.26
arm,2003,3.65
arm,2004,3.85
arm,2005,3.85
arm,2006,3.59
arm,2007,3.92
arm,2008,3.69
arm,2009,4.17
arm,2010,4.21
arm,2011,4.27
arm,2012,4.69
arm,2013,4.63
arm,2014,4.6
arm,2015,6.36
arm,2016,4.92
arm,2017,4.6
arm,2019,6.3
arm,2020,4.81
atg,1996,22.82
atg,1999,19.58
atg,2000,16.35
atg,2001,13.55
atg,2002,13.55
atg,2003,13.97
atg,2004,13.93
atg,2005,13.93
atg,2006,11.43
atg,2007,11.61
atg,2008,11.93
atg,2009,13.92
atg,2010,14.47
atg,2011,14.47
atg,2012,12.71
atg,2013,12.51
atg,2014,12.32
atg,2015,12.38
atg,2016,12.3
atg,2017,11.64
atg,2018,12.23
atg,2019,12.39
atg,2020,12.39
aus,1991,20.1
aus,1993,9.67
aus,1996,7.75
aus,1997,7.63
aus,1998,6.99
aus,1999,6.74
aus,2000,6.55
aus,2001,5.37
aus,2002,5.1
aus,2003,5.12
aus,2004,5.19
aus,2005,4.27
aus,2006,3.83
aus,2007,3.91
aus,2008,4.06
aus,2009,4.05
aus,2010,2.85
aus,2011,2.8
aus,2012,2.76
aus,2013,2.77
aus,2014,2.84
aus,2015,2.5
aus,2016,2.3
aus,2017,2.23
aus,2018,2.22
aus,2019,2.03
aus,2020,1.97
aut,1988,3.14
aut,1989,3.49
aut,1990,6.01
aut,1991,4.71
aut,1992,3.88
aut,1993,3.54
aut,1994,4.21
aut,1995,5.73
aut,1996,4.22
aut,1997,3.47
aut,1998,3.9
aut,1999,4.31
aut,2000,3.3
aut,2001,4.26
aut,2002,2.57
aut,2003,2.54
aut,2004,2.64
aut,2005,2.68
aut,2006,2.75
aut,2007,2.53
aut,2008,2.37
aut,2009,2.44
aut,2010,2.78
aut,2011,2.3
aut,2012,2.28
aut,2013,2.21
aut,2014,2.76
aut,2015,2.73
aut,2016,2.48
aut,2017,2.48
aut,2018,2.46
aut,2019,2.55
aut,2020,1.71
aze,2002,11.47
aze,2005,11.83
aze,2007,9.37
aze,2008,8.26
aze,2009,9.31
aze,2011,8.78
aze,2012,9.21
aze,2013,9.05
aze,2014,9.46
aze,2015,8.52
aze,2019,15.32
aze,2020,9.11
bdi,2002,21.9
bdi,2003,22.02
bdi,2005,20.78
bdi,2006,15.83
bdi,2007,13.54
bdi,2008,12.79
bdi,2009,10.86
bdi,2010,10.41
bdi,2011,10.26
bdi,2012,11.2
bdi,2013,9.99
bdi,2014,10.1
bdi,2015,10.42
bdi,2016,10.43
bdi,2018,11.24
bdi,2019,11.78
bdi,2020,11.78
bel,1988,3.14
bel,1989,3.49
bel,1990,6.01
bel,1991,4.71
bel,1992,3.88
bel,1993,3.54
bel,1994,4.21
bel,1995,5.73
bel,1996,4.22
bel,1997,3.47
bel,1998,3.9
bel,1999,4.31
bel,2000,3.3
bel,2001,4.26
bel,2002,2.57
bel,2003,2.54
bel,2004,2.64
bel,2005,2.68
bel,2006,2.75
bel,2007,2.53
bel,2008,2.37
bel,2009,2.44
bel,2010,2.78
bel,2011,2.3
bel,2012,2.28
bel,2013,2.21
bel,2014,2.76
bel,2015,2.73
bel,2016,2.48
bel,2017,2.48
bel,2018,2.46
bel,2019,2.55
bel,2020,1.71
ben,2001,14.27
ben,2002,14.25
ben,2003,14.49
ben,2004,14.5
ben,2005,14.49
ben,2006,13.52
ben,2007,12.83
ben,2008,12.83
ben,2009,12.83
ben,2010,12.83
ben,2011,13.09
ben,2012,13.09
ben,2013,13.1
ben,2014,12.96
ben,2015,10.91
ben,2016,10.58
ben,2017,13.63
ben,2018,13.42
ben,2019,11.67
ben,2020,11.67
bfa,1993,5
bfa,2001,13.39
bfa,2002,13.35
bfa,2003,13.56
bfa,2004,13.56
bfa,2005,13.45
bfa,2006,12.52
bfa,2007,12.38
bfa,2008,12.38
bfa,2009,12.38
bfa,2010,12.29
bfa,2011,12.32
bfa,2012,12.33
bfa,2013,12.33
bfa,2014,12.25
bfa,2015,10.43
bfa,2016,10.88
bfa,2017,12.41
bfa,2018,12.17
bfa,2019,11.41
bfa,2020,11
bgd,1989,105.36
bgd,1994,84.9
bgd,1998,27.52
bgd,1999,22.31
bgd,2000,22.23
bgd,2001,20.87
bgd,2002,21.01
bgd,2003,19.56
bgd,2004,18.26
bgd,2005,15.37
bgd,2006,15.21
bgd,2007,14.27
bgd,2008,13.75
bgd,2009,14.05
bgd,2010,13.88
bgd,2011,13.8
bgd,2012,13.53
bgd,2013,12.86
bgd,2015,11.97
bgd,2016,12.96
bgd,2019,12.19
bgd,2020,12.53
bgr,1988,3.14
bgr,1989,3.49
bgr,1990,6.01
bgr,1991,4.71
bgr,1992,3.88
bgr,1993,3.54
bgr,1994,4.21
bgr,1995,5.73
bgr,1996,4.22
bgr,1997,3.47
bgr,1998,3.9
bgr,1999,4.31
bgr,2000,3.3
bgr,2001,4.26
bgr,2002,2.57
bgr,2003,2.54
bgr,2004,2.64
bgr,2005,2.68
bgr,2006,2.75
bgr,2007,2.53
bgr,2008,2.37
bgr,2009,2.44
bgr,2010,2.78
bgr,2011,2.3
bgr,2012,2.28
bgr,2013,2.21
bgr,2014,2.76
bgr,2015,2.73
bgr,2016,2.48
bgr,2017,2.48
bgr,2018,2.46
bgr,2019,2.55
bgr,2020,1.71
bhr,1999,8.47
bhr,2000,8.45
bhr,2001,8.42
bhr,2002,5.48
bhr,2003,5.41
bhr,2004,5.41
bhr,2005,4.53
bhr,2006,4.49
bhr,2007,4.17
bhr,2008,4.12
bhr,2009,4.34
bhr,2010,5.22
bhr,2011,4.27
bhr,2012,4.27
bhr,2013,4.06
bhr,2014,3.75
bhr,2015,3.59
bhr,2016,3.6
bhr,2017,4.08
bhr,2018,3.36
bhr,2019,3.68
bhr,2020,3.59
bhs,1999,29.91
bhs,2002,28.99
bhs,2006,28.51
bhs,2010,33.36
bhs,2011,33.17
bhs,2013,30.43
bhs,2014,30.36
bhs,2015,28.08
bhs,2016,26.78
bhs,2018,23.66
bih,2001,5.26
bih,2006,8.37
bih,2007,7.35
bih,2008,7.04
bih,2009,4.19
bih,2010,3.76
bih,2011,3.37
bih,2012,3.15
bih,2013,2.99
bih,2014,3.1
bih,2015,2.49
bih,2016,2.6
bih,2017,2.88
bih,2018,2.95
bih,2019,5.32
bih,2020,2.95
blr,1996,11.99
blr,1997,12.81
blr,2000,10.63
blr,2001,10.52
blr,2002,11.49
blr,2008,9.26
blr,2009,9.25
blr,2010,7.52
blr,2011,7.55
blr,2012,7.5
blr,2013,7.45
blr,2014,6.73
blr,2015,6.02
blr,2016,5.04
blr,2017,4.92
blr,2018,5.14
blr,2019,7.93
blr,2020,5.15
blz,1996,20.72
blz,1999,19.37
blz,2001,12.75
blz,2002,12.99
blz,2003,12.85
blz,2006,11.78
blz,2007,11.6
blz,2008,11.73
blz,2009,12.54
blz,2010,12.57
blz,2011,11.64
blz,2012,11.23
blz,2013,11.49
blz,2014,11.49
blz,2015,11.4
blz,2016,10.97
blz,2017,11.09
blz,2018,10.87
blz,2019,10.88
blz,2020,11.76
bmu,2007,19.34
bmu,2008,19.16
bmu,2009,19.15
bmu,2010,18.92
bmu,2011,18.92
bmu,2012,18.4
bmu,2013,18.32
bmu,2014,18.15
bmu,2015,18.7
bmu,2016,18.45
bmu,2017,19.9
bmu,2018,24.13
bmu,2019,39.96
bmu,2020,22.26
bol,1993,9.73
bol,1994,9.96
bol,1995,9.67
bol,1996,9.61
bol,1997,9.61
bol,1998,9.6
bol,1999,9.51
bol,2000,9.23
bol,2001,9.27
bol,2002,9.87
bol,2003,9.08
bol,2004,7.76
bol,2005,7.19
bol,2006,6.48
bol,2007,6.21
bol,2008,6.22
bol,2009,7.5
bol,2010,9.76
bol,2011,9.09
bol,2012,9.29
bol,2013,9.93
bol,2014,10.04
bol,2015,10.05
bol,2016,10.05
bol,2017,10.33
bol,2018,9.95
bol,2019,9.95
bol,2020,9.95
bra,1989,42.92
bra,1990,33.5
bra,1991,27.53
bra,1992,23.45
bra,1993,15.73
bra,1994,14.46
bra,1995,13.23
bra,1996,14.8
bra,1997,14.42
bra,1998,17.15
bra,1999,15.89
bra,2000,16.7
bra,2001,15
bra,2002,14.73
bra,2003,14.39
bra,2004,13.18
bra,2005,12.29
bra,2006,12.1
bra,2007,12.15
bra,2008,13.08
bra,2009,13.32
bra,2010,13.34
bra,2011,13.47
bra,2012,13.75
bra,2013,14.81
bra,2014,13.74
bra,2015,13.66
bra,2016,13.56
bra,2017,13.41
bra,2018,13.46
bra,2019,13.43
bra,2020,13.55
brb,1996,24.21
brb,1999,21.21
brb,2000,21.23
brb,2001,16.3
brb,2002,16.22
brb,2003,16.43
brb,2004,15.93
brb,2006,15
brb,2007,15.13
brb,2010,13.81
brb,2011,13.78
brb,2012,12.04
brb,2013,12.55
brb,2020,10.18
brn,1992,2.94
brn,1996,4.04
brn,1997,4.03
brn,1998,4.01
brn,1999,3.79
brn,2000,3.66
brn,2001,3.6
brn,2002,3.24
brn,2003,3.14
brn,2004,3.15
brn,2005,3.26
brn,2006,3.31
brn,2007,3.33
brn,2008,3.05
brn,2009,2.69
brn,2010,3.81
brn,2011,2.22
brn,2014,1.2
brn,2016,1.21
brn,2017,0.15
brn,2018,0.16
brn,2019,0.15
brn,2020,0.15
btn,1996,17.49
btn,2002,17.71
btn,2004,22.16
btn,2005,22.15
btn,2007,11.1
btn,2015,12.18
btn,2019,8.13
btn,2020,7.63
bwa,2001,7.15
bwa,2002,7.94
bwa,2004,7.2
bwa,2005,7.34
bwa,2006,7.32
bwa,2007,7.27
bwa,2008,7.24
bwa,2009,7.04
bwa,2010,7.77
bwa,2011,7.31
bwa,2012,7.01
bwa,2013,4.59
bwa,2014,7.03
bwa,2015,7.61
bwa,2016,8.34
bwa,2017,4.07
bwa,2018,3.21
bwa,2019,8.19
bwa,2020,7.69
caf,1995,17.24
caf,1997,17.47
caf,2001,18.93
caf,2002,18.94
caf,2003,24.52
caf,2004,24.52
caf,2005,22.16
caf,2006,24.53
caf,2007,17.43
caf,2008,17.39
caf,2009,17.39
caf,2010,17.39
caf,2011,16.96
caf,2012,18.52
caf,2013,15.97
caf,2015,15.99
caf,2016,15.99
caf,2017,15.99
can,1989,9.66
can,1993,8.92
can,1995,9.28
can,1996,7.82
can,1997,6.74
can,1998,5.16
can,1999,5.05
can,2000,4.72
can,2001,5.17
can,2002,4.82
can,2003,6.38
can,2004,4.28
can,2005,4.29
can,2006,4.16
can,2007,4.14
can,2008,4.14
can,2009,4.08
can,2010,3.43
can,2011,3.37
can,2012,3.23
can,2013,3.07
can,2014,3.06
can,2015,3.14
can,2016,2.95
can,2017,1.99
can,2018,1.99
can,2019,2.1
can,2020,1.87
che,1990,6.06
che,1993,6.72
che,1995,11.92
che,1996,5.94
che,1997,4.93
che,1998,4.53
che,1999,4.33
che,2000,4.43
che,2001,5.02
che,2002,4.52
che,2003,5.1
che,2004,4.15
che,2005,4.72
che,2006,5.88
che,2007,3.83
che,2008,3.5
che,2009,3.48
che,2010,3.07
che,2011,3.8
che,2012,4.53
che,2013,3.68
che,2014,3.71
che,2015,3.67
che,2016,3.93
che,2017,4.8
che,2018,4.67
che,2019,5.41
che,2020,3.96
chl,1992,10.99
chl,1993,10.99
chl,1994,10.99
chl,1995,10.67
chl,1996,10.99
chl,1997,10.99
chl,1998,10.99
chl,1999,9.99
chl,2000,9
chl,2001,8
chl,2002,6.99
chl,2003,5.9
chl,2004,4.88
chl,2005,4.86
chl,2006,2.27
chl,2007,2.99
chl,2008,2.8
chl,2009,2.77
chl,2010,2.75
chl,2011,2.71
chl,2012,2.71
chl,2013,5.99
chl,2015,1.17
chl,2016,5.99
chl,2017,1.04
chl,2018,1.05
chl,2019,1.04
chl,2020,1.03
chn,1992,39.71
chn,1993,37.1
chn,1994,33.32
chn,1996,22.02
chn,1997,16.66
chn,1998,17.08
chn,1999,16.34
chn,2000,16.4
chn,2001,15.39
chn,2002,12.15
chn,2003,10.69
chn,2004,9.81
chn,2005,9.24
chn,2006,8.89
chn,2007,8.93
chn,2008,8.7
chn,2009,8.09
chn,2010,8.09
