global,time,ip_ids_rsct
world,2004,462400
world,2005,529900
world,2006,576700
world,2007,651200
world,2008,698200
world,2009,737100
world,2010,826900
world,2011,932800
world,2012,1086200
world,2013,1108000
world,2014,1009200
world,2015,1013600
world,2016,1095800
world,2017,1072600
world,2018,1142900
world,2019,1137300
world,2020,1170800
