geo,time,fi_res_totl_mo
abw,1986,4.92519
abw,1987,4.57066
abw,1988,3.3845
abw,1989,2.92182
abw,1990,2.2174
abw,1991,1.17955
abw,1992,1.29288
abw,1993,1.5192
abw,1994,1.3943
abw,1995,1.50018
abw,1996,1.04027
abw,1997,0.87865
abw,1998,1.42641
abw,1999,1.7875
abw,2000,1.78503
abw,2001,2.27534
abw,2002,2.55812
abw,2003,2.15484
abw,2004,0.93702
abw,2005,0.70499
abw,2006,0.85287
abw,2007,0.85574
abw,2008,1.18599
abw,2009,2.50265
abw,2010,3.76355
abw,2011,1.17472
abw,2012,3.05345
abw,2013,3.17121
abw,2014,3.38789
abw,2015,4.24471
abw,2016,5.03632
abw,2017,4.80148
abw,2018,4.62424
abw,2019,4.73765
abw,2020,8.03308
afg,1979,14.0674
afg,1980,12.20166
afg,1981,7.3064
afg,1982,8.47204
afg,1983,6.57421
afg,1984,4.44879
afg,1985,6.75933
afg,1986,5.63144
afg,1987,8.35929
afg,1988,9.13261
afg,1989,10.29929
afg,2008,9.42514
afg,2009,12.20561
afg,2010,10.45739
afg,2011,10.34397
afg,2012,8.67721
afg,2013,8.58814
afg,2014,10.70269
afg,2015,9.77019
afg,2016,11.82806
afg,2017,12.13428
afg,2018,12.17859
afg,2019,13.74891
afg,2020,16.63163
ago,1995,0.63688
ago,1996,1.11502
ago,1997,0.75537
ago,1998,0.42487
ago,1999,0.83056
ago,2000,1.92892
ago,2001,1.06051
ago,2002,0.51595
ago,2003,0.72205
ago,2004,1.25836
ago,2005,1.99794
ago,2006,4.3247
ago,2007,3.89157
ago,2008,3.74481
ago,2009,3.36114
ago,2010,5.41092
ago,2011,6.03056
ago,2012,6.61495
ago,2013,6.28849
ago,2014,5.14629
ago,2015,6.48205
ago,2016,9.08387
ago,2017,5.81819
ago,2018,5.41264
ago,2019,6.42509
ago,2020,8.02615
alb,1993,2.51525
alb,1994,3.46301
alb,1995,3.68214
alb,1996,3.45457
alb,1997,5.89025
alb,1998,6.3307
alb,1999,6.56352
alb,2000,5.70437
alb,2001,5.7481
alb,2002,5.62621
alb,2003,5.44014
alb,2004,5.70166
alb,2005,4.86217
alb,2006,5.25169
alb,2007,4.77842
alb,2008,3.96904
alb,2009,4.30819
alb,2010,4.85546
alb,2011,4.23201
alb,2012,5.04393
alb,2013,5.40303
alb,2014,4.8732
alb,2015,7.03758
alb,2016,6.5435
alb,2017,6.5749
alb,2018,6.37056
alb,2019,5.94459
alb,2020,9.16482
arg,1976,5.86491
arg,1977,8.17425
arg,1978,11.77247
arg,1979,13.30518
arg,1980,6.973
arg,1981,3.642
arg,1982,4.45129
arg,1983,2.79005
arg,1984,2.50573
arg,1985,5.00237
arg,1986,4.54015
arg,1987,3.54687
arg,1988,4.78578
arg,1989,2.89049
arg,1990,5.69958
arg,1991,5.09621
arg,1992,5.70506
arg,1993,6.74386
arg,1994,5.59678
arg,1995,5.47248
arg,1996,5.8979
arg,1997,5.47566
arg,1998,5.69915
arg,1999,6.80464
arg,2000,6.28322
arg,2001,4.29371
arg,2002,5.27543
arg,2003,5.70014
arg,2004,5.77838
arg,2005,7.2603
arg,2006,7.02897
arg,2007,8.17153
arg,2008,6.71426
arg,2009,9.0675
arg,2010,7.27697
arg,2011,5.20195
arg,2012,5.21829
arg,2013,3.46015
arg,2014,3.963
arg,2015,3.36214
arg,2016,5.0972
arg,2017,6.05039
arg,2018,7.11111
arg,2019,5.9328
arg,2020,7.14365
arm,1993,0.53574
arm,1994,0.96873
arm,1995,1.74664
arm,1996,2.14742
arm,1997,2.81896
arm,1998,3.36647
arm,1999,3.8665
arm,2000,3.65824
arm,2001,3.52115
arm,2002,4.1005
arm,2003,3.75838
arm,2004,3.27254
arm,2005,3.18763
arm,2006,4.23697
arm,2007,4.59334
arm,2008,3.0621
arm,2009,5.41203
arm,2010,4.36623
arm,2011,4.12385
arm,2012,3.70778
arm,2013,4.46332
arm,2014,2.89308
arm,2015,4.36841
arm,2016,5.21539
arm,2017,4.43558
arm,2018,3.68808
arm,2019,4.13341
arm,2020,5.53074
atg,1977,1.39192
atg,1978,1.44516
atg,1979,1.6724
atg,1980,0.69072
atg,1981,0.58612
atg,1982,0.64464
atg,1983,0.96097
atg,1984,0.99452
atg,1985,0.91141
atg,1986,1.02451
atg,1987,0.89168
atg,1988,1.06154
atg,1989,0.87356
atg,1990,0.8497
atg,1991,0.96475
atg,1992,1.44404
atg,1993,1.06862
atg,1994,1.21416
atg,1995,1.51439
atg,1996,1.14716
atg,1997,1.20674
atg,1998,1.35997
atg,1999,1.48241
atg,2000,1.36563
atg,2001,1.80481
atg,2002,2.00731
atg,2003,2.34549
atg,2004,2.2215
atg,2005,2.0571
atg,2006,1.91912
atg,2007,1.70769
atg,2008,1.60897
atg,2009,1.99159
atg,2010,2.27176
atg,2011,2.56664
atg,2012,2.5954
atg,2013,3.13807
atg,2014,3.56599
atg,2015,4.45864
atg,2016,3.81358
atg,2017,3.54169
atg,2018,3.19234
atg,2019,2.5747
atg,2020,3.34053
aus,1989,2.93868
aus,1990,3.29113
aus,1991,3.38936
aus,1992,2.41005
aus,1993,2.46474
aus,1994,2.06753
aus,1995,1.88654
aus,1996,2.04646
aus,1997,2.01593
aus,1998,1.88091
aus,1999,2.50413
aus,2000,2.0638
aus,2001,2.26211
aus,2002,2.33786
aus,2003,2.93864
aus,2004,2.56446
aus,2005,2.59299
aus,2006,2.88777
aus,2007,1.13314
aus,2008,1.20038
aus,2009,1.82653
aus,2010,1.477
aus,2011,1.35295
aus,2012,1.39781
aus,2013,1.56216
aus,2014,1.66184
aus,2015,1.60898
aus,2016,1.90352
aus,2017,2.10409
aus,2018,1.595
aus,2019,1.81242
aus,2020,1.65659
aut,2005,0.80266
aut,2006,0.791
aut,2007,0.91096
aut,2008,0.77358
aut,2009,1.02865
aut,2010,1.2013
aut,2011,1.10999
aut,2012,1.30138
aut,2013,1.15063
aut,2014,1.19224
aut,2015,1.2719
aut,2016,1.24824
aut,2017,1.05962
aut,2018,1.01914
aut,2019,1.06593
aut,2020,1.56962
aze,1995,1.1107
aze,1996,1.41995
aze,1997,2.62861
aze,1998,2.17365
aze,1999,4.08762
aze,2000,3.37709
aze,2001,3.42701
aze,2002,2.4485
aze,2003,1.83649
aze,2004,1.85192
aze,2005,1.63238
aze,2006,2.76461
aze,2007,3.4956
aze,2008,4.54323
aze,2009,4.64486
aze,2010,5.34868
aze,2011,5.71145
aze,2012,5.93246
aze,2013,7.38781
aze,2014,7.91669
aze,2015,4.04153
aze,2016,3.96017
aze,2017,3.97856
aze,2018,3.67009
aze,2019,3.95619
aze,2020,5.13204
bdi,1985,1.62711
bdi,1986,3.12727
bdi,1987,2.56964
bdi,1988,2.99063
bdi,1989,4.72559
bdi,1990,3.92655
bdi,1991,4.94414
bdi,1992,6.2277
bdi,1993,6.57244
bdi,1994,8.86643
bdi,1995,9.20233
bdi,1996,11.03416
bdi,1997,9.59412
bdi,1998,4.78645
bdi,1999,4.76251
bdi,2000,2.73897
bdi,2001,1.33025
bdi,2002,4.43378
bdi,2003,4.17061
bdi,2004,3.14442
bdi,2005,3.50915
bdi,2006,3.41827
bdi,2007,4.71502
bdi,2008,5.24828
bdi,2009,7.20623
bdi,2010,6.44055
bdi,2011,4.48626
bdi,2012,3.92798
bdi,2013,4.26782
bdi,2014,4.02636
bdi,2015,1.92275
bdi,2016,1.51502
bdi,2017,1.30054
bdi,2018,0.89254
bel,2002,0.81564
bel,2003,0.7177
bel,2004,0.57398
bel,2005,0.43607
bel,2006,0.43844
bel,2007,0.4412
bel,2008,0.36363
bel,2009,0.69363
bel,2010,0.71561
bel,2011,0.68051
bel,2012,0.76749
bel,2013,0.65396
bel,2014,0.60196
bel,2015,0.69906
bel,2016,0.64531
bel,2017,0.66347
bel,2018,0.61542
bel,2019,0.68657
bel,2020,0.84803
bgd,1976,3.50909
bgd,1977,2.29515
bgd,1978,2.33048
bgd,1979,2.29387
bgd,1980,1.36865
bgd,1981,0.63967
bgd,1982,0.88894
bgd,1983,2.6698
bgd,1984,1.65789
bgd,1985,1.46481
bgd,1986,1.75645
bgd,1987,3.3785
bgd,1988,3.66131
bgd,1989,1.51184
bgd,1990,1.91198
bgd,1991,3.98698
bgd,1992,5.16227
bgd,1993,6.16106
bgd,1994,6.84679
bgd,1995,3.66018
bgd,1996,2.93493
bgd,1997,2.40642
bgd,1998,2.84709
bgd,1999,2.13395
bgd,2000,1.81569
bgd,2001,1.56412
bgd,2002,2.18822
bgd,2003,2.75521
bgd,2004,2.87524
bgd,2005,2.17086
bgd,2006,2.61353
bgd,2007,3.04979
bgd,2008,2.63271
bgd,2009,5.06373
bgd,2010,4.32088
bgd,2011,2.78355
bgd,2012,3.85125
bgd,2013,4.90975
bgd,2014,5.58169
bgd,2015,6.83091
bgd,2016,7.60388
bgd,2017,6.76886
bgd,2018,5.67627
bgd,2019,5.85933
bgd,2020,8.65814
bgd,2021,6.29143
bgr,1991,1.85375
bgr,1992,2.68126
bgr,1993,2.06157
bgr,1994,3.0617
bgr,1995,2.77002
bgr,1996,1.58928
bgr,1997,6.16205
bgr,1998,5.57542
bgr,1999,5.587
bgr,2000,5.06209
bgr,2001,4.72685
bgr,2002,6.23124
bgr,2003,6.2814
bgr,2004,6.19918
bgr,2005,4.73649
bgr,2006,4.91885
bgr,2007,5.27542
bgr,2008,4.77128
bgr,2009,7.41732
bgr,2010,7.1004
bgr,2011,5.58944
bgr,2012,6.68144
bgr,2013,6.02231
bgr,2014,6.10212
bgr,2015,7.50738
bgr,2016,8.42193
bgr,2017,8.22735
bgr,2018,7.42036
bgr,2019,7.2423
bgr,2020,10.93503
bhr,1975,2.43308
bhr,1976,2.65645
bhr,1977,2.53482
bhr,1978,2.33511
bhr,1979,2.62937
bhr,1980,3.13838
bhr,1981,4.08243
bhr,1982,4.37376
bhr,1983,4.63664
bhr,1984,3.91488
bhr,1985,5.15543
bhr,1986,5.86602
bhr,1987,4.01936
bhr,1988,4.42979
bhr,1989,3.23775
bhr,1990,1.67258
bhr,1991,2.43009
bhr,1992,2.45176
bhr,1993,2.44604
bhr,1994,1.97023
bhr,1995,1.94182
bhr,1996,1.9418
bhr,1997,1.79432
bhr,1998,1.51731
bhr,1999,1.77355
bhr,2000,1.64878
bhr,2001,2.32364
bhr,2002,2.72442
bhr,2003,2.77373
bhr,2004,2.13246
bhr,2005,1.56684
bhr,2006,1.77487
bhr,2007,2.23645
bhr,2008,2.00144
bhr,2009,3.11648
bhr,2010,3.75492
bhr,2011,2.3412
bhr,2012,2.27248
bhr,2013,2.09918
bhr,2014,2.46566
bhr,2015,1.61971
bhr,2016,1.2464
bhr,2017,1.21083
bhr,2018,0.88416
bhs,1976,0.9376
bhs,1977,1.19776
bhs,1978,0.91574
bhs,1979,1.06783
bhs,1980,0.91356
bhs,1981,0.94222
bhs,1982,1.08429
bhs,1983,1.08445
bhs,1984,1.37375
bhs,1985,1.44249
bhs,1986,1.77882
