global,time,ne_con_prvt_pc_kd_zg
world,1971,2.38095
world,1972,3.81118
world,1973,3.42037
world,1974,-0.65589
world,1975,0.55534
world,1976,3.10463
world,1977,1.91793
world,1978,2.2318
world,1979,1.91916
world,1980,-0.0013
world,1981,-0.09051
world,1982,-0.26734
world,1983,1.40666
world,1984,1.81885
world,1985,1.81647
world,1986,1.88288
world,1987,1.54272
world,1988,2.35721
world,1989,1.60265
world,1990,1.48042
world,1991,-0.15212
world,1992,1.21103
world,1993,0.46685
world,1994,1.61679
world,1995,1.32155
world,1996,2.24926
world,1997,1.89214
world,1998,1.74478
world,1999,2.52959
world,2000,2.91831
world,2001,1.58715
world,2002,1.36146
world,2003,1.56278
world,2004,2.52531
world,2005,2.66135
world,2006,2.27226
world,2007,2.92347
world,2008,0.42808
world,2009,-1.27012
world,2010,1.95027
world,2011,1.92647
world,2012,1.26789
world,2013,1.61166
world,2014,1.69354
world,2015,1.72885
world,2016,1.76018
world,2017,2.25999
world,2018,2.19554
world,2019,1.45982
world,2020,-6.31133
