geo,time,ny_adj_dpem_cd
afg,2002,326446833.48253
afg,2003,332059244.03346
afg,2004,365019510.66571
afg,2005,372449579.93854
afg,2006,375234028.26288
afg,2007,436300821.37074
afg,2008,422488601.95424
afg,2009,441665719.79359
afg,2010,535346670.8035
afg,2011,643492586.58846
afg,2012,681231947.56846
afg,2013,714607884.9886
afg,2014,702925546.04735
afg,2015,663023905.41176
afg,2016,577403184.25865
afg,2017,575149709.44107
afg,2018,557892202.21663
afg,2019,521580871.76213
ago,1990,233130896.92137
ago,1991,220691572.26523
ago,1992,178597605.34153
ago,1993,150394964.85335
ago,1994,112389180.89403
ago,1995,115292294.8926
ago,1996,130426577.71722
ago,1997,120784066.01732
ago,1998,101513867.00086
ago,1999,100159231.64618
ago,2000,148291353.51714
ago,2001,139155676.8847
ago,2002,211948181.89562
ago,2003,243182441.23176
ago,2004,300534817.71313
ago,2005,407437166.89507
ago,2006,525457329.18711
ago,2007,586163138.90136
ago,2008,737409179.15783
ago,2009,639298960.28503
ago,2010,785752945.74702
ago,2011,1039256793.5307
ago,2012,1109194946.56473
ago,2013,1113758170.23355
ago,2014,1051406546.72066
ago,2015,823508444.52991
ago,2016,716801058.83829
ago,2017,839354040.88328
ago,2018,682431328.89206
ago,2019,584822522.96826
alb,1990,24747028.29363
alb,1991,16892148.068
alb,1992,9422134.67209
alb,1993,14122234.25389
alb,1994,18772551.31146
alb,1995,18287005.5975
alb,1996,21639218.17712
alb,1997,17221957.54214
alb,1998,17439618.83583
alb,1999,17787762.44951
alb,2000,16348854.54734
alb,2001,15527230.01042
alb,2002,16414045.04461
alb,2003,20524669.06337
alb,2004,24528790.74015
alb,2005,25404664.49277
alb,2006,24929650.1066
alb,2007,26815123.10408
alb,2008,30981296.82408
alb,2009,28984472.17046
alb,2010,28033360.77125
alb,2011,34980888.78058
alb,2012,34730383.26282
alb,2013,33282893.63573
alb,2014,34051027.10157
alb,2015,29298208.81142
alb,2016,31389422.55325
alb,2017,34690935.75493
alb,2018,40208267.80835
alb,2019,39765608.23101
are,1990,101085551.54585
are,1991,103740767.9755
are,1992,114047601.48083
are,1993,115629778.21893
are,1994,115820639.50094
are,1995,119538893.14746
are,1996,125443073.02854
are,1997,120167294.66228
are,1998,121448271.90625
are,1999,137808006.34782
are,2000,154974654.11975
are,2001,155784856.43774
are,2002,165652618.90604
are,2003,170837515.17333
are,2004,182179961.50373
are,2005,210831372.49546
are,2006,235417196.36508
are,2007,278921914.54151
are,2008,333981210.05123
are,2009,288226667.04957
are,2010,327192562.6103
are,2011,381441841.7046
are,2012,410757396.77684
are,2013,458369625.78093
are,2014,518138702.7461
