global,time,se_prm_nenr
world,1970,71.67935
world,1971,71.57806
world,1972,72.43951
world,1973,74.63163
world,1974,75.33089
world,1975,76.42605
world,1976,77.05546
world,1977,77.09193
world,1978,76.06698
world,1979,76.38643
world,1980,77.49952
world,1981,78.33426
world,1982,78.77231
world,1983,79.02271
world,1984,79.26589
world,1985,79.89322
world,1986,80.66337
world,1987,80.97392
world,1988,81.63435
world,1989,82.31129
world,1990,81.97659
world,1991,82.27477
world,1992,82.04808
world,1993,82.09867
world,1994,82.0904
world,1995,81.72236
world,1996,81.44546
world,1997,81.48041
world,1998,82.04955
world,1999,82.74345
world,2000,83.36606
world,2001,83.60714
world,2002,83.82844
world,2003,85.13168
world,2004,86.16491
world,2005,86.78988
world,2006,87.21038
world,2007,88.44145
world,2008,88.65773
world,2009,88.62895
world,2010,88.63339
world,2011,88.65391
world,2012,89.00668
world,2013,88.99782
world,2014,89.22588
world,2015,89.16969
world,2016,89.41678
world,2017,89.26194
world,2018,89.4124
