global,time,ny_adj_svnx_gn_zs
world,1975,11.24048
world,1976,11.87545
world,1977,11.61697
world,1978,12.0481
world,1979,10.65467
world,1980,9.26469
world,1981,10.94074
world,1982,10.01395
world,1983,8.64538
world,1984,10.06069
world,1985,9.30559
world,1986,8.41986
world,1987,9.37544
world,1988,9.41352
world,1989,9.23769
world,1990,7.76985
world,1991,7.34512
world,1992,7.21996
world,1993,6.80155
world,1994,8.08168
world,1995,8.76324
world,1996,10.77119
world,1997,11.28336
world,1998,10.95415
world,1999,10.4002
world,2000,10.34647
world,2001,9.50283
world,2002,9.07582
world,2003,9.16533
world,2004,9.87764
world,2005,10.11718
world,2006,11.1852
world,2007,11.40216
world,2008,10.08172
world,2009,8.37064
world,2010,10.19533
world,2011,10.54306
world,2012,11.05448
world,2013,11.05735
world,2014,11.64104
world,2015,11.86828
world,2016,11.47452
world,2017,12.09049
world,2018,12.01397
world,2019,11.71496
