global,time,dc_dac_deul_cd
world,1960,229899993.89648
world,1961,317389984.13086
world,1962,349000000
world,1963,397130004.88281
world,1964,428019989.01367
world,1965,451670013.42773
world,1966,370739990.23438
world,1967,433160003.66211
world,1968,444089996.33789
world,1969,434760009.76562
world,1970,449799987.79297
world,1971,517160034.17969
world,1972,587070007.32422
world,1973,776830017.08984
world,1974,1001710021.97266
world,1975,1149449951.17188
world,1976,1032089965.82031
world,1977,1013770019.53125
world,1978,1545939941.40625
world,1979,2183179931.64063
world,1980,2295870117.1875
world,1981,2221219970.70313
world,1982,2239260009.76563
world,1983,2075800048.82813
world,1984,1854510009.76563
world,1985,1961699951.17188
world,1986,2608919921.875
world,1987,3066830078.125
world,1988,3143340087.89063
world,1989,3147600097.65625
world,1990,5130040039.0625
world,1991,6386160156.25
world,1992,6703140136.71875
world,1993,5148660156.25
world,1994,4646370117.1875
world,1995,7913770019.53125
world,1996,4897169921.875
world,1997,3812530029.29688
world,1998,3640119873.04688
world,1999,3426830078.125
world,2000,2836790039.0625
world,2001,3018619873.04688
world,2002,3521229980.46875
world,2003,4390640136.71875
world,2004,4225459960.9375
world,2005,7432000000
world,2006,7018140136.71875
world,2007,7933120117.1875
world,2008,9034360351.5625
world,2009,7067489746.09375
world,2010,8007669921.875
world,2011,8707889648.4375
world,2012,8561160156.25
world,2013,9411889648.4375
world,2014,11562959960.9375
world,2015,14061820312.5
world,2016,19627539062.5
world,2017,19801330078.125
world,2018,19440529296.875
world,2019,18357529296.875
