geo,time,sp_pop_1564_to
abw,1960,29093
abw,1961,29966
abw,1962,30582
abw,1963,31020
abw,1964,31434
abw,1965,31908
abw,1966,32357
abw,1967,32913
abw,1968,33517
abw,1969,34117
abw,1970,34662
abw,1971,35399
abw,1972,36058
abw,1973,36678
abw,1974,37308
abw,1975,37948
abw,1976,38217
abw,1977,38544
abw,1978,38961
abw,1979,39468
abw,1980,40046
abw,1981,40688
abw,1982,41453
abw,1983,42183
abw,1984,42687
abw,1985,42954
abw,1986,42446
abw,1987,41782
abw,1988,41293
abw,1989,41350
abw,1990,42137
abw,1991,44282
abw,1992,47100
abw,1993,50238
abw,1994,53288
abw,1995,55960
abw,1996,57791
abw,1997,59239
abw,1998,60467
abw,1999,61649
abw,2000,62916
abw,2001,64396
abw,2002,65945
abw,2003,67479
abw,2004,68859
abw,2005,69955
abw,2006,70437
abw,2007,70545
abw,2008,70392
abw,2009,70164
abw,2010,69984
abw,2011,70298
abw,2012,70756
abw,2013,71296
abw,2014,71793
abw,2015,72161
abw,2016,72501
abw,2017,72643
abw,2018,72660
abw,2019,72632
abw,2020,72614
afg,1960,4953806
afg,1961,5019143
afg,1962,5102010
afg,1963,5197706
afg,1964,5300282
afg,1965,5407207
afg,1966,5489895
afg,1967,5579736
afg,1968,5679517
afg,1969,5794426
afg,1970,5926857
afg,1971,6046790
afg,1972,6182763
afg,1973,6327227
afg,1974,6471722
afg,1975,6610807
afg,1976,6706653
afg,1977,6794286
afg,1978,6858858
afg,1979,6883965
afg,1980,6863304
afg,1981,6728404
afg,1982,6548530
afg,1983,6347729
afg,1984,6154936
afg,1985,5991144
afg,1986,5866974
afg,1987,5793045
afg,1988,5796832
afg,1989,5909248
afg,1990,6139034
afg,1991,6588374
afg,1992,7186256
afg,1993,7849519
afg,1994,8480128
afg,1995,9021453
afg,1996,9343589
afg,1997,9543910
afg,1998,9691968
afg,1999,9874319
afg,2000,10143670
afg,2001,10567001
afg,2002,11096697
afg,2003,11684838
afg,2004,12267512
afg,2005,12804785
afg,2006,13152676
afg,2007,13442717
afg,2008,13718559
afg,2009,14039528
afg,2010,14444996
afg,2011,15041824
afg,2012,15743958
afg,2013,16519812
afg,2014,17322062
afg,2015,18116800
afg,2016,18826589
afg,2017,19513959
afg,2018,20193609
afg,2019,20889465
afg,2020,21616257
ago,1960,2992633
ago,1961,2996062
ago,1962,2997123
ago,1963,3000912
ago,1964,3011454
ago,1965,3028010
ago,1966,3030854
ago,1967,3036901
ago,1968,3042703
ago,1969,3050303
ago,1970,3067732
ago,1971,3138831
ago,1972,3226905
ago,1973,3332177
ago,1974,3455326
ago,1975,3593055
ago,1976,3702598
ago,1977,3837690
ago,1978,3988026
ago,1979,4138139
ago,1980,4281384
ago,1981,4420075
ago,1982,4549912
ago,1983,4679004
ago,1984,4821895
ago,1985,4985784
ago,1986,5142059
ago,1987,5319832
ago,1988,5513996
ago,1989,5715718
ago,1990,5920693
ago,1991,6106271
ago,1992,6301417
ago,1993,6506714
ago,1994,6724226
ago,1995,6955652
ago,1996,7177769
ago,1997,7416871
ago,1998,7673080
ago,1999,7946204
ago,2000,8235987
ago,2001,8513768
ago,2002,8811564
ago,2003,9130222
ago,2004,9470294
ago,2005,9831387
ago,2006,10185668
ago,2007,10565378
ago,2008,10966210
ago,2009,11384253
ago,2010,11817708
ago,2011,12233379
ago,2012,12671462
ago,2013,13130634
ago,2014,13610929
ago,2015,14113725
ago,2016,14618993
ago,2017,15149241
ago,2018,15705197
ago,2019,16287753
ago,2020,16897592
alb,1960,875725
alb,1961,897410
alb,1962,918872
alb,1963,940393
alb,1964,963492
alb,1965,988506
alb,1966,1013829
alb,1967,1042984
alb,1968,1077706
alb,1969,1115391
alb,1970,1150911
alb,1971,1187450
alb,1972,1225626
alb,1973,1263741
alb,1974,1303733
alb,1975,1346900
alb,1976,1388397
alb,1977,1433559
alb,1978,1479130
alb,1979,1523882
alb,1980,1568997
alb,1981,1613098
alb,1982,1658556
alb,1983,1704089
alb,1984,1749868
alb,1985,1795407
alb,1986,1838303
alb,1987,1882344
alb,1988,1924566
alb,1989,1983932
alb,1990,2028794
alb,1991,2007671
alb,1992,1988243
alb,1993,1970947
alb,1994,1954894
alb,1995,1938980
alb,1996,1939394
alb,1997,1938304
alb,1998,1936185
alb,1999,1934366
alb,2000,1933983
alb,2001,1928440
alb,2002,1936622
alb,2003,1944524
alb,2004,1951941
alb,2005,1957418
alb,2006,1960789
alb,2007,1959058
alb,2008,1955065
alb,2009,1951106
alb,2010,1948797
alb,2011,1961405
alb,2012,1972618
alb,2013,1979460
alb,2014,1981897
alb,2015,1979179
alb,2016,1974734
alb,2017,1972416
alb,2018,1965829
alb,2019,1952204
alb,2020,1931428
are,1960,48059
are,1961,53849
are,1962,61625
are,1963,70708
are,1964,80049
are,1965,88983
are,1966,97122
are,1967,104980
are,1968,114554
are,1969,128725
are,1970,149535
are,1971,184088
are,1972,226171
are,1973,274812
are,1974,328522
are,1975,385776
are,1976,453577
are,1977,525440
are,1978,595989
are,1979,660796
are,1980,718142
are,1981,764853
are,1982,804293
are,1983,838974
are,1984,873597
are,1985,912242
are,1986,963851
are,1987,1023014
are,1988,1088945
are,1989,1160867
are,1990,1238495
are,1991,1327263
are,1992,1422718
are,1993,1523130
are,1994,1625989
are,1995,1729507
are,1996,1827877
are,1997,1933589
are,1998,2043181
are,1999,2157551
are,2000,2283611
are,2001,2479175
are,2002,2678745
are,2003,2917521
are,2004,3248490
are,2005,3705959
are,2006,4380865
are,2007,5185748
are,2008,6026774
are,2009,6781156
are,2010,7366517
are,2011,7679368
are,2012,7826617
are,2013,7855947
are,2014,7847461
are,2015,7864453
are,2016,7921959
are,2017,8012980
are,2018,8120011
are,2019,8220025
are,2020,8300173
