geo,time,hd_hci_ovrl_ub_ma
afg,2017,0.412
afg,2018,0.4204
afg,2020,0.42713
ago,2017,0.394
ago,2018,0.39511
ago,2020,0.39713
alb,2010,0.53822
alb,2017,0.622
alb,2018,0.61389
alb,2020,0.61963
are,2010,0.61029
are,2018,0.68419
are,2020,0.67339
arg,2010,0.57689
arg,2017,0.602
arg,2018,0.61952
arg,2020,0.60421
arm,2017,0.565
arm,2018,0.56926
arm,2020,0.5669
atg,2018,0.57145
atg,2020,0.58121
aus,2010,0.74636
aus,2017,0.789
aus,2018,0.77892
aus,2020,0.7681
aut,2010,0.73318
aut,2017,0.798
aut,2018,0.77027
aut,2020,0.74595
aze,2010,0.49934
aze,2018,0.63372
aze,2020,0.58446
bdi,2010,0.35603
bdi,2017,0.396
bdi,2018,0.39547
bdi,2020,0.39199
bel,2010,0.74894
bel,2017,0.763
bel,2018,0.76614
bel,2020,0.75973
ben,2010,0.39199
ben,2017,0.434
ben,2018,0.42304
ben,2020,0.42654
bfa,2010,0.33255
bfa,2017,0.37
bfa,2018,0.39472
bfa,2020,0.39937
bgd,2017,0.475
bgd,2018,0.45545
bgd,2020,0.4611
bgr,2010,0.6287
bgr,2017,0.674
bgr,2018,0.66979
bgr,2020,0.6121
bhr,2010,0.58842
bhr,2017,0.656
bhr,2018,0.64887
bhr,2020,0.63494
bih,2017,0.623
bih,2018,0.62144
bih,2020,0.57838
blr,2020,0.6794
brn,2020,0.61919
btn,2020,0.49045
bwa,2010,0.36938
bwa,2017,0.421
bwa,2018,0.41044
bwa,2020,0.41171
can,2010,0.7679
can,2017,0.799
can,2018,0.80019
can,2020,0.79498
che,2010,0.76853
che,2017,0.779
che,2018,0.77195
che,2020,0.75893
chl,2010,0.61796
chl,2017,0.669
chl,2018,0.66801
chl,2020,0.65215
chn,2017,0.666
chn,2018,0.65282
chn,2020,0.65969
civ,2010,0.31888
civ,2017,0.345
civ,2018,0.39294
civ,2020,0.40307
cmr,2010,0.40253
cmr,2017,0.421
cmr,2018,0.41646
cmr,2020,0.42163
cod,2017,0.386
cod,2018,0.38497
cod,2020,0.38724
cog,2010,0.42698
cog,2017,0.421
cog,2018,0.4323
cog,2020,0.43405
col,2010,0.58543
col,2017,0.573
col,2018,0.5996
col,2020,0.61019
com,2017,0.444
com,2018,0.43115
com,2020,0.4323
cri,2010,0.59212
cri,2017,0.608
cri,2018,0.59913
cri,2020,0.62516
cyp,2010,0.67144
cyp,2017,0.754
cyp,2018,0.75916
cyp,2020,0.76033
cze,2010,0.71112
cze,2017,0.777
cze,2018,0.75993
cze,2020,0.74357
deu,2010,0.75416
deu,2017,0.797
deu,2018,0.76589
deu,2020,0.75067
dma,2018,0.54304
