geo,time,eg_use_comm_cl_zs
ago,1971,1.35117
ago,1972,1.41065
ago,1973,1.69473
ago,1974,1.74859
ago,1975,1.98257
ago,1976,0.90381
ago,1977,0.91674
ago,1978,1.02804
ago,1979,1.06582
ago,1980,1.1214
ago,1981,1.11405
ago,1982,1.19773
ago,1983,1.06745
ago,1984,1.09859
ago,1985,1.20808
ago,1986,1.19433
ago,1987,1.16617
ago,1988,1.12066
ago,1989,1.11031
ago,1990,0.74224
ago,1991,0.73868
ago,1992,0.80217
ago,1993,0.82062
ago,1994,0.81364
ago,1995,0.81839
ago,1996,0.81659
ago,1997,0.95038
ago,1998,1.09598
ago,1999,0.88033
ago,2000,0.87341
ago,2001,0.93396
ago,2002,1.00205
ago,2003,1.02835
ago,2004,1.17859
ago,2005,1.60963
ago,2006,2.06297
ago,2007,1.77696
ago,2008,2.14597
ago,2009,1.94943
ago,2010,2.25076
ago,2011,2.3523
ago,2012,2.0178
ago,2013,2.54661
ago,2014,2.54884
alb,1971,3.50445
alb,1972,3.98634
alb,1973,5.53274
alb,1974,6.12303
alb,1975,6.91916
alb,1976,7.45972
alb,1977,8.14873
alb,1978,7.95673
alb,1979,10.26376
alb,1980,8.25965
alb,1981,9.72701
alb,1982,9.98508
alb,1983,9.67547
alb,1984,7.96471
alb,1985,6.74108
alb,1986,11.98675
alb,1987,10.13454
alb,1988,8.66996
alb,1989,9.14789
alb,1990,4.67639
alb,1991,5.39956
alb,1992,8.46805
alb,1993,10.01265
alb,1994,10.68657
alb,1995,12.31193
alb,1996,16.02529
alb,1997,14.37232
alb,1998,13.8753
alb,1999,20.23648
alb,2000,19.6777
alb,2001,18.29507
alb,2002,17.93678
alb,2003,18.78115
alb,2004,20.68211
alb,2005,20.33206
alb,2006,14.00645
alb,2007,15.54963
alb,2008,19.26882
alb,2009,21.87502
alb,2010,23.28219
alb,2011,22.10934
alb,2012,25.41917
alb,2013,26.06879
alb,2014,24.54805
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,0
are,1978,0
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0
are,1984,0
are,1985,0
are,1986,0
are,1987,0
are,1988,0
are,1989,0
are,1990,0
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0
are,2010,0
are,2011,0
are,2012,0
are,2013,0.02576
are,2014,0.09691
arg,1971,0.39463
arg,1972,0.37824
arg,1973,0.7235
arg,1974,1.93474
arg,1975,3.07011
arg,1976,2.96125
arg,1977,2.41598
arg,1978,3.65178
arg,1979,3.93755
arg,1980,4.57346
arg,1981,4.89052
arg,1982,4.8704
arg,1983,5.90909
arg,1984,6.73857
arg,1985,7.92816
arg,1986,7.5119
arg,1987,7.70067
arg,1988,5.86006
arg,1989,5.22108
arg,1990,6.77369
arg,1991,6.57284
arg,1992,6.38619
arg,1993,7.25755
arg,1994,7.61063
arg,1995,6.93659
arg,1996,6.43294
arg,1997,7.23891
arg,1998,6.76079
arg,1999,5.71231
arg,2000,6.0314
arg,2001,7.74526
arg,2002,7.41158
arg,2003,7.4255
arg,2004,6.43984
arg,2005,6.42424
arg,2006,6.77059
arg,2007,5.77487
arg,2008,5.42888
arg,2009,6.18534
arg,2010,5.68327
arg,2011,5.85904
arg,2012,5.57056
arg,2013,5.67143
arg,2014,5.5015
arm,1990,1.51041
arm,1991,1.4849
arm,1992,4.39076
arm,1993,10.22637
arm,1994,12.53782
arm,1995,10.31906
arm,1996,38.17419
arm,1997,27.03983
arm,1998,25.90327
arm,1999,33.11921
arm,2000,29.18085
arm,2001,28.33117
arm,2002,36.39769
arm,2003,32.02427
arm,2004,32.78697
arm,2005,32.1723
arm,2006,31.56509
arm,2007,27.84265
arm,2008,25.69628
arm,2009,30.17802
arm,2010,32.51402
arm,2011,29.92377
arm,2012,24.56447
arm,2013,25.72974
arm,2014,25.71826
aus,1960,1.09212
aus,1961,1.21669
aus,1962,1.24064
aus,1963,1.57817
aus,1964,1.57271
aus,1965,1.80835
aus,1966,1.47022
aus,1967,1.50441
aus,1968,1.44746
aus,1969,1.54795
aus,1970,1.50404
aus,1971,1.92965
aus,1972,1.87181
aus,1973,1.71997
aus,1974,1.93077
aus,1975,2.09709
aus,1976,2.10287
aus,1977,1.7152
aus,1978,1.81007
aus,1979,1.96421
aus,1980,1.62705
aus,1981,1.76252
aus,1982,1.64054
aus,1983,1.54331
aus,1984,1.49724
aus,1985,1.68938
aus,1986,1.79641
aus,1987,1.61131
aus,1988,1.68613
aus,1989,1.57502
aus,1990,1.27387
aus,1991,1.43896
aus,1992,1.36365
aus,1993,1.4003
aus,1994,1.3907
aus,1995,1.32756
aus,1996,1.22903
aus,1997,1.28387
aus,1998,1.17023
aus,1999,1.19751
aus,2000,1.18308
aus,2001,1.22916
aus,2002,1.21303
aus,2003,1.2248
aus,2004,1.17975
aus,2005,1.12979
aus,2006,1.17438
aus,2007,1.16903
aus,2008,1.04822
aus,2009,1.12028
aus,2010,1.34025
aus,2011,1.67382
aus,2012,1.72074
aus,2013,2.13883
aus,2014,2.37342
aus,2015,2.15439
aut,1960,8.96434
aut,1961,8.7481
aut,1962,8.33747
aut,1963,7.46812
aut,1964,8.15798
aut,1965,10.02398
aut,1966,10.51905
aut,1967,10.55648
aut,1968,10.11095
aut,1969,8.6378
aut,1970,9.87784
aut,1971,7.41245
aut,1972,7.27837
aut,1973,7.50842
aut,1974,9.19615
aut,1975,10.03277
aut,1976,7.93739
aut,1977,9.95787
aut,1978,9.63072
aut,1979,10.01609
aut,1980,10.66912
aut,1981,12.09873
aut,1982,12.39501
aut,1983,12.2415
aut,1984,11.11633
aut,1985,11.52576
aut,1986,11.5469
aut,1987,12.88567
aut,1988,12.66811
aut,1989,12.68802
aut,1990,9.58582
aut,1991,9.27566
aut,1992,10.6514
aut,1993,10.96003
aut,1994,10.7205
aut,1995,10.33784
aut,1996,9.60067
aut,1997,9.96567
aut,1998,10.22406
aut,1999,10.75206
aut,2000,11.25575
aut,2001,10.53854
aut,2002,10.51006
aut,2003,9.01178
aut,2004,9.57511
aut,2005,9.35971
aut,2006,9.91004
aut,2007,10.5604
aut,2008,10.51852
aut,2009,10.97416
aut,2010,10.05564
aut,2011,10.207
aut,2012,11.95726
aut,2013,12.29866
aut,2014,13.20724
aut,2015,12.21288
aze,1990,0.42964
aze,1991,0.46499
aze,1992,0.59355
aze,1993,0.9001
aze,1994,0.75479
aze,1995,0.72507
aze,1996,0.80915
aze,1997,0.94195
aze,1998,1.05798
aze,1999,0.92509
aze,2000,0.90222
aze,2001,0.77664
aze,2002,1.16428
aze,2003,1.35062
aze,2004,1.44386
aze,2005,1.51939
aze,2006,1.30945
aze,2007,1.21722
aze,2008,1.03621
aze,2009,1.08129
aze,2010,1.67323
aze,2011,1.19773
aze,2012,0.76595
aze,2013,0.66079
aze,2014,0.57205
bel,1960,0.06414
bel,1961,0.06884
bel,1962,0.05812
bel,1963,0.08713
bel,1964,0.0818
bel,1965,0.07932
bel,1966,0.09383
bel,1967,0.14745
bel,1968,0.1068
bel,1969,0.06822
bel,1970,0.09019
bel,1971,0.02906
bel,1972,0.04223
bel,1973,0.07504
bel,1974,0.13122
bel,1975,4.21489
bel,1976,5.78381
bel,1977,6.93899
bel,1978,6.90685
bel,1979,6.10623
bel,1980,7.04404
bel,1981,7.77355
bel,1982,9.91076
bel,1983,15.40709
bel,1984,16.99398
bel,1985,20.50009
bel,1986,22.52967
bel,1987,23.51794
bel,1988,23.84447
bel,1989,22.58342
bel,1990,23.30092
bel,1991,22.38353
bel,1992,22.46052
bel,1993,22.18888
bel,1994,20.28592
bel,1995,20.28564
bel,1996,20.17246
bel,1997,22.0674
bel,1998,21.15638
bel,1999,22.36128
bel,2000,21.73908
bel,2001,21.01879
bel,2002,22.3336
bel,2003,21.45301
bel,2004,21.34304
bel,2005,21.54986
bel,2006,21.31212
bel,2007,22.39315
bel,2008,20.62356
bel,2009,22.38243
bel,2010,21.24232
bel,2011,23.24318
bel,2012,20.74741
bel,2013,21.4255
bel,2014,18.58963
bel,2015,15.11033
ben,1971,0
ben,1972,0
ben,1973,0
ben,1974,0
ben,1975,0
ben,1976,0
ben,1977,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1981,0
ben,1982,0
ben,1983,0
ben,1984,0
ben,1985,0
ben,1986,0
ben,1987,0
ben,1988,0
ben,1989,0
ben,1990,0
ben,1991,0
ben,1992,0
ben,1993,0
ben,1994,0
ben,1995,0
ben,1996,0
ben,1997,0.03906
ben,1998,0.02868
ben,1999,0.036
ben,2000,0.04121
ben,2001,0.05376
ben,2002,0.06011
ben,2003,0.0438
ben,2004,0.02323
ben,2005,0.01894
ben,2006,0
ben,2007,0
ben,2008,0
ben,2009,0
ben,2010,0
ben,2011,0
ben,2012,0
ben,2013,0
ben,2014,0
bgd,1971,0.26469
bgd,1972,0.25627
bgd,1973,0.44808
bgd,1974,0.31848
bgd,1975,0.55739
bgd,1976,0.59375
bgd,1977,0.51308
bgd,1978,0.57438
bgd,1979,0.64097
bgd,1980,0.59671
