geo,time,st_int_arvl
abw,1995,912000
abw,1996,957000
abw,1997,947000
abw,1998,906000
abw,1999,972000
abw,2000,1211000
abw,2001,1178000
abw,2002,1225000
abw,2003,1184000
abw,2004,1304000
abw,2005,1286000
abw,2006,1285000
abw,2007,1254000
abw,2008,1383000
abw,2009,1420000
abw,2010,1394000
abw,2011,1469000
abw,2012,1481000
abw,2013,1667000
abw,2014,1739000
abw,2015,1832000
abw,2016,1758000
abw,2017,1863000
abw,2018,1897000
abw,2019,1951000
ago,1995,9000
ago,1996,21000
ago,1997,45000
ago,1998,52000
ago,1999,45000
ago,2000,51000
ago,2001,67000
ago,2002,91000
ago,2003,107000
ago,2004,194000
ago,2005,210000
ago,2006,121000
ago,2007,195000
ago,2008,294000
ago,2009,366000
ago,2010,425000
ago,2011,481000
ago,2012,528000
ago,2013,650000
ago,2014,595000
ago,2015,592000
ago,2016,397000
ago,2017,261000
ago,2018,218000
ago,2019,218000
alb,1995,304000
alb,1996,287000
alb,1997,119000
alb,1998,184000
alb,1999,371000
alb,2000,317000
alb,2001,354000
alb,2002,470000
alb,2003,557000
alb,2004,645000
alb,2005,748000
alb,2006,937000
alb,2007,1127000
alb,2008,1420000
alb,2009,1856000
alb,2010,2417000
alb,2011,2932000
alb,2012,3514000
alb,2013,3256000
alb,2014,3673000
alb,2015,4131000
alb,2016,4736000
alb,2017,5118000
alb,2018,5927000
alb,2019,6406000
alb,2020,2658000
and,1999,9422000
and,2000,10991000
and,2001,11351000
and,2002,11507000
and,2003,11601000
and,2004,11668000
and,2005,11049000
and,2006,10737000
and,2007,10743000
and,2008,10194000
and,2009,9112000
and,2010,8551000
and,2011,7983000
and,2012,7900000
and,2013,7676000
and,2014,7797000
and,2015,7850000
and,2016,8025000
and,2017,8152000
and,2018,8328000
and,2019,8235000
and,2020,5207000
are,2015,19313000
are,2016,20894000
are,2017,21805000
are,2018,23092000
are,2019,25282000
are,2020,8084000
arg,1995,2289000
arg,1996,2614000
arg,1997,2764000
arg,1998,3012000
arg,1999,2898000
arg,2000,2909000
arg,2001,2620000
arg,2002,2820000
arg,2003,2995000
arg,2004,3457000
arg,2005,3823000
arg,2006,4173000
arg,2007,4562000
arg,2008,4700000
arg,2009,4308000
arg,2010,6800000
arg,2011,6703000
arg,2012,6497000
arg,2013,6510000
arg,2014,7165000
arg,2015,6816000
arg,2016,6668000
arg,2017,6711000
arg,2018,6942000
arg,2019,7399000
arm,1995,12000
arm,1996,13000
arm,1997,23000
arm,1998,32000
arm,1999,41000
arm,2000,45000
arm,2001,123000
arm,2002,162000
arm,2003,206000
arm,2004,263000
