global,time,bg_gsr_nfsv_gd_zs
world,1975,5.97697
world,1976,6.28274
world,1977,6.60462
world,1978,6.83513
world,1979,7.08216
world,1980,7.49203
world,1981,7.50784
world,1982,7.30385
world,1983,7.01226
world,1984,6.90699
world,1985,6.72617
world,1986,6.78438
world,1987,7.02845
world,1988,7.09125
world,1989,7.29567
world,1990,7.71454
world,1991,7.88685
world,1992,8.19455
world,1993,8.25236
world,1994,8.18764
world,1995,8.49401
world,1996,7.85543
world,1997,8.28204
world,1998,8.5734
world,1999,8.87721
world,2000,9.20822
world,2001,9.34531
world,2002,9.73691
world,2003,9.73683
world,2004,10.45667
world,2005,11.00455
world,2006,11.40954
world,2007,12.03994
world,2008,12.3856
world,2009,11.70157
world,2010,11.69252
world,2011,11.84229
world,2012,11.95938
world,2013,12.31099
world,2014,12.83619
world,2015,12.99358
world,2016,12.93918
world,2017,13.18631
world,2018,13.525
world,2019,13.62922
world,2020,11.59182
