geo,time,cm_mkt_lcap_cd
are,2007,126205030000
are,2008,107354250000
are,2009,138243960000
are,2010,131490760000
are,2011,93726650000
are,2012,101327920000
are,2013,180324800000
are,2014,201598930000
are,2015,195874110000
are,2016,213212763813.62201
are,2017,232103890000
are,2018,231377494894.48599
are,2019,246818780000
are,2020,294831940000
arg,1977,832500000
arg,1978,1795400000
arg,1979,4319860000
arg,1980,3954900000
arg,1981,1396230000
arg,1982,972900000
arg,1983,1386290000
arg,1984,1170700000
arg,1985,2035830000
arg,1986,1590930000
arg,1987,1418130000
arg,1988,2552540000
arg,1989,3197870000
arg,1990,3615300000
arg,1991,18639700000
arg,1992,18623100000
arg,1993,44055310000
arg,1994,36867200000
arg,1995,37783780000
arg,1996,44692350000
arg,1997,59251850000
arg,1998,45332800000
arg,1999,55847580000
arg,2000,45839340000
arg,2001,33384000000
arg,2002,16571000000
arg,2003,34994620000
arg,2004,40593870000
arg,2005,47590300000
arg,2006,51240130000
arg,2007,57070160000
arg,2008,39850360000
arg,2009,45744930000
arg,2010,63909790000
arg,2011,43579790000
arg,2012,34254750000
arg,2013,53104790000
arg,2014,60142040000
arg,2015,56134630000
arg,2016,63601116144.457
arg,2017,108740050000
arg,2018,45986050000
arg,2019,39393540000
aus,1979,38945170000
aus,1980,59668510000
aus,1981,54379650000
aus,1982,41525790000
aus,1983,54036060000
aus,1984,49939570000
aus,1985,59400110000
aus,1986,119299960000
aus,1987,154351160000
aus,1988,137643940000
aus,1989,140353550000
aus,1990,107935970000
aus,1991,144822600000
aus,1992,135153200000
aus,1993,204462770000
aus,1994,218865190000
aus,1995,245218330000
aus,1996,312477330000
aus,1997,295765570000
aus,1998,328928480000
aus,1999,427835360000
aus,2000,372794350000
aus,2001,375130790000
aus,2002,380087000000
aus,2003,585529690000
aus,2004,776402760000
aus,2005,804014820000
aus,2006,1095857960000
aus,2007,1298315040000
aus,2008,683871560000
aus,2009,1261909340000
aus,2010,1454490570000
aus,2011,1198187410000
aus,2012,1386873960000
aus,2013,1365958130000
aus,2014,1288708340000
aus,2015,1187083450000
aus,2016,1268493506774.29004
aus,2017,1508462800000
aus,2018,1262800270000
aus,2019,1487598500000
aus,2020,1720556180000
aut,1975,1300010000
aut,1976,1500040000
aut,1977,1489940000
aut,1978,17449440000
aut,1979,2080280000
aut,1980,1956010000
aut,1981,1583630000
aut,1982,1509680000
aut,1983,1528150000
aut,1984,1485690000
aut,1985,4601560000
aut,1986,6656370000
aut,1987,7938680000
aut,1988,10030320000
aut,1989,24262550000
aut,1990,26319750000
aut,1991,24231900000
