geo,time,hd_hci_ovrl_ub
lbn,2018,0.53374
lbn,2020,0.52394
lbr,2017,0.331
lbr,2018,0.3298
lbr,2020,0.33166
lca,2018,0.6004
lca,2020,0.61544
lka,2017,0.593
lka,2018,0.59915
lka,2020,0.6042
lso,2010,0.35503
lso,2017,0.395
lso,2018,0.42136
lso,2020,0.42324
ltu,2010,0.69611
ltu,2017,0.726
ltu,2018,0.73804
ltu,2020,0.71515
lux,2010,0.70411
lux,2017,0.699
lux,2018,0.69806
lux,2020,0.69141
lva,2010,0.68477
lva,2017,0.74
lva,2018,0.75147
lva,2020,0.71914
mac,2010,0.6518
mac,2017,0.765
mac,2018,0.7677
mac,2020,0.80146
mar,2010,0.48169
mar,2017,0.509
mar,2018,0.50239
mar,2020,0.51388
mda,2010,0.56409
mda,2017,0.593
mda,2018,0.58997
mda,2020,0.5929
mdg,2010,0.4027
mdg,2017,0.393
mdg,2018,0.40213
mdg,2020,0.4086
mex,2010,0.59411
mex,2017,0.615
mex,2018,0.61895
mex,2020,0.62105
mhl,2018,0.42
mhl,2020,0.4408
mkd,2010,0.54762
mkd,2017,0.54
mkd,2018,0.5401
mkd,2020,0.56294
mli,2017,0.339
mli,2018,0.33199
mli,2020,0.32876
mlt,2010,0.6849
mlt,2017,0.712
mlt,2018,0.71456
mlt,2020,0.71568
mmr,2017,0.488
mmr,2018,0.48792
mmr,2020,0.49424
mne,2010,0.59218
mne,2017,0.623
mne,2018,0.63058
mne,2020,0.6407
mng,2017,0.646
mng,2018,0.63359
mng,2020,0.63041
moz,2017,0.377
moz,2018,0.37007
moz,2020,0.37738
mrt,2017,0.377
mrt,2018,0.39436
mrt,2020,0.40589
mus,2010,0.61125
mus,2017,0.651
mus,2018,0.64087
mus,2020,0.63958
mwi,2010,0.37398
mwi,2017,0.423
mwi,2018,0.42646
mwi,2020,0.42923
mys,2010,0.5915
mys,2017,0.633
mys,2018,0.64468
mys,2020,0.62073
nam,2010,0.40688
nam,2017,0.455
nam,2018,0.4641
nam,2020,0.46539
ner,2017,0.33
ner,2018,0.33504
ner,2020,0.33262
nga,2017,0.361
nga,2018,0.37471
nga,2020,0.38146
nic,2017,0.545
nic,2018,0.51469
nic,2020,0.51553
nld,2010,0.81255
nld,2017,0.809
nld,2018,0.81071
nld,2020,0.79955
nor,2010,0.77765
nor,2017,0.781
nor,2018,0.77523
nor,2020,0.77822
npl,2017,0.502
npl,2018,0.51176
npl,2020,0.51861
nru,2020,0.52658
nzl,2010,0.78587
nzl,2017,0.779
nzl,2018,0.77979
nzl,2020,0.78341
omn,2010,0.55858
omn,2017,0.633
omn,2018,0.62395
omn,2020,0.6207
pak,2017,0.404
pak,2018,0.41181
pak,2020,0.41945
pan,2010,0.52541
pan,2017,0.545
pan,2018,0.52334
pan,2020,0.51097
per,2010,0.55585
per,2017,0.601
per,2018,0.60571
per,2020,0.61617
phl,2017,0.564
phl,2018,0.56229
phl,2020,0.53067
plw,2018,0.58321
plw,2020,0.60515
png,2017,0.402
png,2018,0.43903
png,2020,0.44426
pol,2010,0.70797
pol,2017,0.76
pol,2018,0.76917
pol,2020,0.76286
prt,2010,0.75119
prt,2017,0.787
prt,2018,0.79238
prt,2020,0.7778
pry,2010,0.52362
pry,2017,0.546
pry,2018,0.54115
pry,2020,0.54179
pse,2017,0.565
pse,2018,0.58246
pse,2020,0.59109
qat,2010,0.5956
qat,2017,0.627
qat,2018,0.64168
qat,2020,0.64304
rou,2010,0.6077
rou,2017,0.615
rou,2018,0.60406
rou,2020,0.59623
rus,2010,0.60721
rus,2017,0.771
rus,2018,0.73775
rus,2020,0.6898
rwa,2017,0.386
rwa,2018,0.3888
rwa,2020,0.39156
sau,2010,0.5595
sau,2017,0.597
sau,2018,0.59381
sau,2020,0.58694
sdn,2017,0.39
sdn,2018,0.38918
sdn,2020,0.39091
sen,2010,0.40045
sen,2017,0.433
sen,2018,0.43573
sen,2020,0.43497
sgp,2010,0.85193
sgp,2017,0.9
sgp,2018,0.89662
sgp,2020,0.88627
slb,2017,0.455
slb,2018,0.44134
slb,2020,0.43003
sle,2017,0.366
sle,2018,0.36834
sle,2020,0.37923
slv,2017,0.513
slv,2018,0.55773
slv,2020,0.55971
srb,2010,0.65845
srb,2017,0.77
srb,2018,0.77273
srb,2020,0.68713
ssd,2017,0.328
ssd,2018,0.3328
ssd,2020,0.33447
svk,2010,0.68557
svk,2017,0.707
svk,2018,0.68875
svk,2020,0.67251
svn,2010,0.75607
svn,2017,0.799
svn,2018,0.79596
svn,2020,0.78095
swe,2010,0.7702
swe,2017,0.813
swe,2018,0.8124
swe,2020,0.80502
swz,2010,0.32334
swz,2017,0.434
swz,2018,0.38668
swz,2020,0.38962
syc,2010,0.5858
syc,2017,0.71
syc,2018,0.65435
syc,2020,0.65689
tcd,2010,0.29859
tcd,2017,0.309
tcd,2018,0.31565
tcd,2020,0.31716
tgo,2010,0.3808
tgo,2017,0.431
tgo,2018,0.44019
tgo,2020,0.45246
tha,2010,0.59414
tha,2017,0.617
tha,2018,0.62884
tha,2020,0.62044
tjk,2017,0.548
tjk,2018,0.55626
tjk,2020,0.52536
tls,2010,0.42253
tls,2017,0.454
tls,2018,0.47068
tls,2020,0.47217
ton,2017,0.526
ton,2018,0.53175
ton,2020,0.54508
tto,2010,0.56095
tto,2017,0.63
tto,2018,0.62301
tto,2020,0.62405
tun,2010,0.53396
tun,2017,0.518
tun,2018,0.51754
tun,2020,0.52486
tur,2010,0.63845
tur,2017,0.64
tur,2018,0.63665
tur,2020,0.65794
tuv,2017,0.571
tuv,2018,0.45464
tuv,2020,0.46371
tza,2017,0.411
tza,2018,0.3964
tza,2020,0.40076
uga,2010,0.35253
uga,2017,0.394
uga,2018,0.39398
uga,2020,0.39629
ukr,2010,0.64101
ukr,2017,0.68
ukr,2018,0.65427
ukr,2020,0.64256
ury,2010,0.59643
ury,2017,0.608
ury,2018,0.61135
ury,2020,0.60807
usa,2010,0.6996
usa,2017,0.773
usa,2018,0.72218
usa,2020,0.71088
uzb,2020,0.64096
vct,2018,0.54603
vct,2020,0.54467
vnm,2010,0.67195
vnm,2017,0.684
vnm,2018,0.70516
vnm,2020,0.70824
vut,2017,0.484
vut,2018,0.45966
vut,2020,0.47041
wsm,2018,0.53265
wsm,2020,0.5601
yem,2017,0.381
yem,2018,0.38739
yem,2020,0.38825
zaf,2010,0.43691
