global,time,ny_gns_ictr_gn_zs
world,1975,22.23165
world,1976,23.07799
world,1977,22.99784
world,1978,23.21992
world,1979,23.48589
world,1980,22.87815
world,1981,23.8087
world,1982,22.38661
world,1983,21.43795
world,1984,22.40674
world,1985,21.74492
world,1986,20.94712
world,1987,21.43877
world,1988,22.16444
world,1989,22.43243
world,1990,21.69544
world,1991,21.00589
world,1992,20.52001
world,1993,20.46299
world,1994,21.48201
world,1995,22.24619
world,1996,24.17502
world,1997,24.33981
world,1998,24.04477
world,1999,23.81604
world,2000,24.20986
world,2001,23.28269
world,2002,22.8029
world,2003,22.83431
world,2004,23.76586
world,2005,24.32763
world,2006,25.39795
world,2007,25.49729
world,2008,25.12217
world,2009,23.10751
world,2010,24.79633
world,2011,25.73428
world,2012,26.14558
world,2013,26.04776
world,2014,26.43726
world,2015,26.43679
world,2016,26.05396
world,2017,26.80827
world,2018,27.1567
world,2019,27.0112
world,2020,26.97068
