geo,time,sh_dyn_aids_fe_zs
afg,1990,24.2
afg,1991,24.4
afg,1992,24.6
afg,1993,25
afg,1994,25.5
afg,1995,26
afg,1996,26.4
afg,1997,26.9
afg,1998,27.2
afg,1999,27.5
afg,2000,27.7
afg,2001,27.8
afg,2002,27.8
afg,2003,27.9
afg,2004,28
afg,2005,28.2
afg,2006,28.4
afg,2007,28.6
afg,2008,28.8
afg,2009,28.9
afg,2010,29
afg,2011,28.9
afg,2012,28.8
afg,2013,28.7
afg,2014,28.6
afg,2015,28.7
afg,2016,28.7
afg,2017,28.9
afg,2018,28.9
afg,2019,28.9
afg,2020,29
ago,1990,56.7
ago,1991,57.4
ago,1992,58
ago,1993,58.5
ago,1994,58.9
ago,1995,59.3
ago,1996,59.6
ago,1997,59.8
ago,1998,60
ago,1999,60.2
ago,2000,60.4
ago,2001,60.5
ago,2002,60.6
ago,2003,60.7
ago,2004,60.8
ago,2005,60.9
ago,2006,61
ago,2007,61.1
ago,2008,61.3
ago,2009,61.3
ago,2010,61.4
ago,2011,61.6
ago,2012,61.8
ago,2013,62
ago,2014,62.5
ago,2015,63
ago,2016,63.5
ago,2017,63.9
ago,2018,64.3
ago,2019,64.6
ago,2020,65.1
alb,1990,12.5
alb,1991,18.2
alb,1992,14.3
alb,1993,17.6
alb,1994,18.2
alb,1995,21.4
alb,1996,20
alb,1997,21.7
alb,1998,21.7
alb,1999,22.4
alb,2000,21.9
alb,2001,22.5
alb,2002,23.5
alb,2003,23.6
alb,2004,24.3
alb,2005,24.7
alb,2006,25.2
alb,2007,25.7
alb,2008,25.8
alb,2009,25.9
alb,2010,26
alb,2011,26.1
alb,2012,26.4
alb,2013,26.5
alb,2014,26.8
alb,2015,27
alb,2016,27.2
alb,2017,27.2
alb,2018,27.2
alb,2019,27.3
alb,2020,27.5
are,1990,18.8
are,1991,18.2
are,1992,19.4
are,1993,20
are,1994,20
are,1995,19.1
are,1996,19.6
are,1997,20
are,1998,20.9
are,1999,21.4
are,2000,22
are,2001,22
are,2002,22.2
are,2003,22.4
are,2004,22.2
are,2005,21.7
are,2006,21.7
are,2007,21.5
are,2008,21.7
are,2009,21.5
are,2010,21
are,2011,20.7
are,2012,20.5
are,2013,20.5
are,2014,20.2
are,2015,19.9
are,2016,19.7
are,2017,19.6
are,2018,19.5
are,2019,19.4
are,2020,19.3
arg,1990,28.8
arg,1991,28.9
arg,1992,29
arg,1993,29
arg,1994,29.1
arg,1995,29.2
arg,1996,29.3
arg,1997,29.4
arg,1998,29.4
arg,1999,29.5
arg,2000,29.5
arg,2001,29.6
arg,2002,29.6
arg,2003,29.7
arg,2004,29.7
arg,2005,29.8
arg,2006,29.9
arg,2007,30
arg,2008,30.1
arg,2009,30.1
arg,2010,30.2
arg,2011,30.3
arg,2012,30.3
arg,2013,30.4
arg,2014,30.5
arg,2015,30.5
arg,2016,30.6
arg,2017,30.6
arg,2018,30.7
arg,2019,30.8
arg,2020,30.8
arm,1990,22.2
arm,1991,23.1
arm,1992,26.3
arm,1993,25.8
arm,1994,28.1
arm,1995,28.4
arm,1996,29.8
arm,1997,30.8
arm,1998,31.4
arm,1999,32.1
arm,2000,32.7
arm,2001,33.2
arm,2002,33.5
arm,2003,33.9
arm,2004,34.2
arm,2005,34.5
arm,2006,34.8
arm,2007,35
arm,2008,35.2
arm,2009,35.4
arm,2010,35.3
arm,2011,35.2
arm,2012,35.1
arm,2013,35.3
arm,2014,35.4
arm,2015,35.5
arm,2016,35.6
arm,2017,35.6
arm,2018,35.7
arm,2019,35.8
arm,2020,35.7
aus,1990,9.8
aus,1991,9.8
aus,1992,9.9
aus,1993,10.1
aus,1994,10.2
