geo,time,st_int_rcpt_cd
abw,1995,554000000
abw,1996,666000000
abw,1997,726000000
abw,1998,786000000
abw,1999,782000000
abw,2000,850000000
abw,2001,825000000
abw,2002,835000000
abw,2003,858099975.58594
abw,2004,1057000000
abw,2005,1097000000
abw,2006,1064099975.58594
abw,2007,1213400024.41406
abw,2008,1352000000
abw,2009,1223000000
abw,2010,1254000000
abw,2011,1358000000
abw,2012,1412000000
abw,2013,1506000000
abw,2014,1625000000
abw,2015,1659000000
abw,2016,1757000000
abw,2017,1855000000
abw,2018,2035000000
abw,2019,2109000000
abw,2020,1077000000
afg,2008,57000000
afg,2009,89000000
afg,2010,147000000
afg,2011,165000000
afg,2012,167000000
afg,2013,179000000
afg,2014,121000000
afg,2015,86000000
afg,2016,62000000
afg,2017,16000000
afg,2018,50000000
afg,2019,85000000
afg,2020,75000000
ago,1995,27000000
ago,1996,38000000
ago,1997,24000000
ago,1998,39000000
ago,1999,31000000
ago,2000,34000000
ago,2001,35000000
ago,2002,51000000
ago,2003,63000000
ago,2004,82000000
ago,2005,103000000
ago,2006,91000000
ago,2007,236000000
ago,2008,293000000
ago,2009,554000000
ago,2010,726000000
ago,2011,653000000
ago,2012,711000000
ago,2013,1241000000
ago,2014,1597000000
ago,2015,1171000000
ago,2016,628000000
ago,2017,884000000
ago,2018,557000000
ago,2019,395000000
ago,2020,19000000
alb,1995,70000000
alb,1996,94000000
alb,1997,34000000
alb,1998,60000000
alb,1999,218000000
alb,2000,398000000
alb,2001,451000000
alb,2002,492000000
alb,2003,537000000
alb,2004,756000000
alb,2005,880000000
alb,2006,1057000000
alb,2007,1479000000
alb,2008,1850000000
alb,2009,2013000000
alb,2010,1778000000
alb,2011,1833000000
alb,2012,1623000000
alb,2013,1670000000
alb,2014,1849000000
alb,2015,1613000000
alb,2016,1821000000
alb,2017,2050000000
alb,2018,2306000000
alb,2019,2458000000
alb,2020,1243000000
and,2019,1910000000
are,1995,632000000
are,1996,743000000
are,1997,814000000
are,1998,859000000
are,1999,893000000
are,2000,1063000000
are,2001,1200000000
are,2002,1332000000
are,2003,1438000000
are,2004,1593000000
are,2005,3218000000
are,2006,4972000000
are,2007,6072000000
are,2008,7162000000
are,2009,7352000000
are,2010,8577000000
are,2011,9204000000
are,2012,10924000000
are,2013,12389000000
