global,time,tm_tax_mrch_wm_ar_zs
world,1988,4.79
world,1989,6.23
world,1990,6.82
world,1991,6.14
world,1992,7.17
world,1993,7.42
world,1994,8.57
world,1995,6.44
world,1996,6.15
world,1997,5.42
world,1998,5.22
world,1999,5.21
world,2000,4.96
world,2001,5.38
world,2002,4.56
world,2003,4.57
world,2004,3.72
world,2005,3.5
world,2006,3.16
world,2007,3.38
world,2008,3.31
world,2009,3.2
world,2010,3.3
world,2011,3.53
world,2012,2.89
world,2013,3.04
world,2014,2.87
world,2015,3.06
world,2016,2.98
world,2017,2.59
