geo,time,sl_emp_mpyr_fe_zs
bdi,2009,0.71
bdi,2010,0.68
bdi,2011,0.67
bdi,2012,0.67
bdi,2013,0.66
bdi,2014,0.65
bdi,2015,0.69
bdi,2016,0.68
bdi,2017,0.66
bdi,2018,0.65
bdi,2019,0.64
bel,1991,2.13
bel,1992,2.19
bel,1993,2.19
bel,1994,2.14
bel,1995,2.31
bel,1996,2.2
bel,1997,2.15
bel,1998,2.27
bel,1999,2.32
bel,2000,2.28
bel,2001,2.01
bel,2002,2.09
bel,2003,2.09
bel,2004,2.24
bel,2005,2.3
bel,2006,2.4
bel,2007,2.27
bel,2008,2.08
bel,2009,2.28
bel,2010,2.4
bel,2011,1.88
bel,2012,2.07
bel,2013,2.27
bel,2014,2.36
bel,2015,2.38
bel,2016,2.34
bel,2017,2.49
bel,2018,2.23
bel,2019,2.07
ben,1991,0.5
ben,1992,0.5
ben,1993,0.51
ben,1994,0.52
ben,1995,0.53
ben,1996,0.54
ben,1997,0.55
ben,1998,0.55
ben,1999,0.6
ben,2000,0.61
ben,2001,0.62
ben,2002,0.63
ben,2003,0.62
ben,2004,0.63
ben,2005,0.63
ben,2006,0.63
ben,2007,0.65
ben,2008,0.65
ben,2009,0.64
ben,2010,0.65
ben,2011,0.65
ben,2012,0.66
ben,2013,0.68
ben,2014,0.7
ben,2015,0.68
ben,2016,0.7
ben,2017,0.71
ben,2018,0.72
ben,2019,0.73
bfa,1991,0.33
bfa,1992,0.33
bfa,1993,0.33
bfa,1994,0.31
bfa,1995,0.31
bfa,1996,0.32
bfa,1997,0.32
bfa,1998,0.32
bfa,1999,0.39
bfa,2000,0.37
bfa,2001,0.36
bfa,2002,0.36
bfa,2003,0.38
bfa,2004,0.38
bfa,2005,0.37
bfa,2006,0.36
bfa,2007,0.35
bfa,2008,0.34
bfa,2009,0.34
bfa,2010,0.34
bfa,2011,0.34
bfa,2012,0.33
bfa,2013,0.31
bfa,2014,0.3
bfa,2015,0.29
bfa,2016,0.29
bfa,2017,0.29
bfa,2018,0.31
bfa,2019,0.31
bgd,1991,0.2
bgd,1992,0.19
bgd,1993,0.18
bgd,1994,0.17
bgd,1995,0.17
bgd,1996,0.17
bgd,1997,0.16
bgd,1998,0.15
bgd,1999,0.16
bgd,2000,0.15
bgd,2001,0.14
bgd,2002,0.13
bgd,2003,0.13
bgd,2004,0.12
bgd,2005,0.11
bgd,2006,0.11
bgd,2007,0.13
bgd,2008,0.14
bgd,2009,0.15
bgd,2010,0.17
bgd,2011,0.2
bgd,2012,0.23
bgd,2013,0.26
bgd,2014,0.3
bgd,2015,0.33
bgd,2016,0.37
bgd,2017,0.63
bgd,2018,0.64
bgd,2019,0.63
bgr,1991,1.48
bgr,1992,1.44
bgr,1993,1.4
bgr,1994,1.35
bgr,1995,1.31
bgr,1996,1.27
bgr,1997,1.22
bgr,1998,1.26
bgr,1999,1.26
bgr,2000,1.28
bgr,2001,1.84
bgr,2002,1.86
bgr,2003,1.92
bgr,2004,2.23
bgr,2005,2.28
bgr,2006,2.2
bgr,2007,2.33
bgr,2008,2.26
bgr,2009,2.06
bgr,2010,2.24
bgr,2011,2.28
bgr,2012,2.2
bgr,2013,2.27
bgr,2014,2.21
bgr,2015,1.96
bgr,2016,2.11
bgr,2017,2.2
bgr,2018,2.14
bgr,2019,2.12
bhr,1991,0.62
bhr,1992,0.67
bhr,1993,0.74
bhr,1994,0.8
bhr,1995,0.88
bhr,1996,0.96
bhr,1997,1.04
bhr,1998,1.1
bhr,1999,1.21
bhr,2000,1.34
bhr,2001,1.44
bhr,2002,0.66
bhr,2003,0.64
bhr,2004,0.7
bhr,2005,0.62
bhr,2006,0.63
bhr,2007,0.6
bhr,2008,0.62
bhr,2009,0.64
bhr,2010,2.18
bhr,2011,2.23
bhr,2012,2.22
bhr,2013,2.23
bhr,2014,2.22
bhr,2015,2.22
bhr,2016,2.21
bhr,2017,2.23
bhr,2018,2.25
bhr,2019,2.23
bhs,1991,4.98
bhs,1992,4.19
bhs,1993,5.05
bhs,1994,5.7
bhs,1995,5.99
bhs,1996,6.42
bhs,1997,5.46
bhs,1998,5.47
bhs,1999,5.83
bhs,2000,5.37
bhs,2001,4.87
bhs,2002,5.23
bhs,2003,5.44
bhs,2004,5.93
bhs,2005,5.56
bhs,2006,5.21
bhs,2007,4.83
bhs,2008,4.42
bhs,2009,3.29
bhs,2010,3.22
bhs,2011,3.2
bhs,2012,3.04
bhs,2013,2.89
bhs,2014,2.79
bhs,2015,2.72
bhs,2016,2.61
bhs,2017,2.59
bhs,2018,2.61
bhs,2019,2.58
bih,1991,0.06
bih,1992,0.06
bih,1993,0.07
bih,1994,0.1
bih,1995,0.18
bih,1996,0.37
bih,1997,0.65
bih,1998,1.02
bih,1999,1.46
bih,2000,1.87
bih,2001,2.24
bih,2002,2.61
bih,2003,2.84
bih,2004,2.99
bih,2005,3.08
bih,2006,3.14
bih,2007,3.08
bih,2008,3.54
bih,2009,2.77
bih,2010,3.39
bih,2011,3.37
bih,2012,3.3
bih,2013,3.36
bih,2014,3.37
bih,2015,3.47
bih,2016,3.53
bih,2017,3.65
bih,2018,3.5
bih,2019,4.03
blr,1991,0.29
blr,1992,0.27
blr,1993,0.29
blr,1994,0.31
blr,1995,0.33
blr,1996,0.35
blr,1997,0.38
blr,1998,0.4
blr,1999,0.4
blr,2000,0.41
blr,2001,0.45
blr,2002,0.44
blr,2003,0.44
blr,2004,0.42
blr,2005,0.41
blr,2006,0.37
blr,2007,0.35
blr,2008,0.33
blr,2009,0.31
blr,2010,0.31
blr,2011,0.29
blr,2012,0.31
blr,2013,0.32
blr,2014,0.35
blr,2015,0.39
blr,2016,0.43
blr,2017,0.53
blr,2018,0.59
blr,2019,0.64
blz,1991,2.47
blz,1992,2.62
blz,1993,2.73
blz,1994,2.77
blz,1995,2.67
blz,1996,3.88
blz,1997,3.88
blz,1998,3.9
blz,1999,4
blz,2000,4.13
blz,2001,4.18
blz,2002,4.26
blz,2003,4.4
blz,2004,4.41
blz,2005,4.45
blz,2006,4.02
blz,2007,3.62
blz,2008,3.27
blz,2009,2.94
blz,2010,2.65
blz,2011,2.36
blz,2012,2.14
blz,2013,1.91
blz,2014,5.07
blz,2015,4.46
blz,2016,3.85
blz,2017,2.27
blz,2018,2.3
blz,2019,2.1
bol,1991,1.01
bol,1992,1.06
bol,1993,1.09
bol,1994,1.12
bol,1995,1.15
bol,1996,1.18
bol,1997,1.2
bol,1998,1.18
bol,1999,1.34
bol,2000,0.97
bol,2001,1.34
bol,2002,1.98
bol,2003,1.9
bol,2004,1.82
bol,2005,2.77
bol,2006,1.99
bol,2007,3.06
bol,2008,3.09
bol,2009,2.78
bol,2010,2.87
bol,2011,2.98
bol,2012,3.9
bol,2013,3.16
bol,2014,4.54
bol,2015,2.49
bol,2016,2.16
bol,2017,2.49
bol,2018,2.52
bol,2019,2.55
bra,1991,1.72
bra,1992,1.85
bra,1993,1.96
bra,1994,2.12
bra,1995,2.17
bra,1996,2.22
bra,1997,2.3
bra,1998,2.51
bra,1999,2.41
bra,2000,2.51
bra,2001,2.49
bra,2002,2.73
bra,2003,2.57
bra,2004,2.58
bra,2005,2.69
bra,2006,2.82
bra,2007,2.4
bra,2008,2.97
bra,2009,2.68
bra,2010,2.49
bra,2011,2.3
bra,2012,2.58
bra,2013,2.75
bra,2014,2.75
bra,2015,2.91
bra,2016,3
bra,2017,3.2
bra,2018,3.31
bra,2019,3.38
brb,1991,0.44
brb,1992,0.22
brb,1993,0.45
brb,1994,0.35
brb,1995,0.19
brb,1996,0.19
brb,1997,0.18
brb,1998,0.47
brb,1999,0.17
brb,2000,0.16
brb,2001,0.32
brb,2002,0.21
brb,2003,0.48
brb,2004,0.47
brb,2005,0.49
brb,2006,0.51
brb,2007,0.53
brb,2008,0.55
brb,2009,0.58
brb,2010,0.6
brb,2011,0.61
brb,2012,0.63
brb,2013,0.65
brb,2014,0.63
brb,2015,0.62
brb,2016,0.61
brb,2017,0.61
brb,2018,0.6
brb,2019,0.6
brn,1991,0.45
brn,1992,0.5
brn,1993,0.53
brn,1994,0.56
brn,1995,0.61
brn,1996,0.66
brn,1997,0.7
brn,1998,0.75
brn,1999,0.85
brn,2000,0.96
brn,2001,1.04
brn,2002,1.13
brn,2003,1.21
brn,2004,1.3
brn,2005,1.39
brn,2006,1.52
brn,2007,1.63
brn,2008,1.69
brn,2009,1.78
brn,2010,1.93
brn,2011,2.09
brn,2012,2.18
brn,2013,2.25
brn,2014,2.41
brn,2015,2.26
brn,2016,2.12
brn,2017,2.01
brn,2018,2.65
brn,2019,2.03
btn,1991,0.24
btn,1992,0.24
btn,1993,0.23
btn,1994,0.23
btn,1995,0.22
btn,1996,0.23
btn,1997,0.22
btn,1998,0.22
btn,1999,0.21
btn,2000,0.21
btn,2001,0.19
btn,2002,0.18
btn,2003,0.17
btn,2004,0.18
btn,2005,0.18
btn,2006,0.17
btn,2007,0.13
btn,2008,0.13
btn,2009,0.14
btn,2010,0.13
btn,2011,0.19
btn,2012,0.04
btn,2013,0.03
btn,2014,0.04
btn,2015,0.04
btn,2016,0.04
btn,2017,0.04
btn,2018,0.04
btn,2019,0.04
bwa,1991,1.01
bwa,1992,1.04
bwa,1993,1.13
bwa,1994,1.22
bwa,1995,1.48
bwa,1996,1.84
bwa,1997,1.77
bwa,1998,1.73
bwa,1999,1.8
bwa,2000,1.86
bwa,2001,1.9
bwa,2002,1.96
bwa,2003,2.02
bwa,2004,2.06
bwa,2005,2.04
bwa,2006,2.11
bwa,2007,2.09
bwa,2008,2.02
bwa,2009,2.05
bwa,2010,2.05
bwa,2011,2.03
bwa,2012,2.05
bwa,2013,2.03
bwa,2014,1.92
bwa,2015,1.87
bwa,2016,1.9
bwa,2017,1.88
bwa,2018,1.86
bwa,2019,1.82
caf,1991,0.33
caf,1992,0.32
caf,1993,0.33
caf,1994,0.33
caf,1995,0.33
caf,1996,0.33
caf,1997,0.33
caf,1998,0.34
caf,1999,0.31
caf,2000,0.31
caf,2001,0.32
caf,2002,0.32
caf,2003,0.33
caf,2004,0.33
caf,2005,0.33
caf,2006,0.35
caf,2007,0.36
caf,2008,0.35
caf,2009,0.36
caf,2010,0.36
caf,2011,0.37
caf,2012,0.35
caf,2013,0.3
caf,2014,0.31
caf,2015,0.32
caf,2016,0.33
caf,2017,0.34
caf,2018,0.34
caf,2019,0.34
can,1991,2.99
can,1992,3.02
can,1993,2.97
can,1994,2.95
can,1995,3.04
can,1996,3.08
can,1997,3.18
can,1998,3.14
can,1999,3.18
can,2000,3.26
can,2001,2.92
can,2002,2.95
can,2003,2.86
can,2004,2.96
can,2005,3.05
can,2006,3.04
can,2007,2.84
can,2008,2.83
can,2009,2.75
can,2010,2.69
can,2011,2.78
can,2012,2.6
can,2013,2.63
can,2014,2.61
can,2015,2.7
can,2016,2.61
can,2017,2.59
can,2018,2.71
can,2019,2.59
chanisl,1991,4.99
chanisl,1992,4.99
chanisl,1993,4.99
chanisl,1994,5.01
chanisl,1995,5
chanisl,1996,5.01
chanisl,1997,5.01
chanisl,1998,5.02
chanisl,1999,5.02
