global,time,dt_nfl_uncf_cd
world,1970,50709999.08447
world,1971,43630001.06812
world,1972,56439998.62671
world,1973,56849998.47412
world,1974,102680000.30518
world,1975,127459999.08447
world,1976,101400001.52588
world,1977,128110000.61035
world,1978,167850006.10352
world,1979,210720001.2207
world,1980,247089996.33789
world,1981,214080001.83105
world,1982,204500000
world,1983,246229995.72754
world,1984,244320007.32422
world,1985,277989990.23438
world,1986,325260009.76562
world,1987,364410003.66211
world,1988,399209991.45508
world,1989,500549987.79297
world,1990,583580017.08984
world,1991,590669982.91016
world,1992,741859985.35156
world,1993,800099975.58594
world,1994,797219970.70312
world,1995,800409973.14453
world,1996,679280029.29688
world,1997,518840026.85547
world,1998,487429992.67578
world,1999,568039978.02734
world,2000,579299987.79297
world,2001,604690002.44141
world,2002,571270019.53125
world,2003,633140014.64844
world,2004,653419982.91016
world,2005,708900024.41406
world,2006,732720031.73828
world,2007,975580017.08984
world,2008,979289978.02734
world,2009,1080650024.41406
world,2010,1040160034.17969
world,2011,1083650024.41406
world,2012,1138451538.08594
world,2013,1229034301.75781
world,2014,1292667114.25781
world,2015,1391625976.5625
world,2016,1438196899.41406
world,2017,1514341430.66406
world,2018,1489201782.22656
world,2019,5585264160.15625
