geo,time,ny_gns_ictr_cd
abw,1995,408631284.9162
abw,1996,342865921.78771
abw,1997,372558659.21788
abw,1998,450798882.68156
abw,1999,355675977.65363
abw,2000,444575418.99441
abw,2001,371117318.43575
abw,2002,233284916.20112
abw,2003,292307262.56983
abw,2004,380994413.40782
abw,2005,-47586485.72933
abw,2006,319154995.33771
abw,2007,63184357.5419
abw,2008,376983240.22346
abw,2009,272290502.7933
abw,2010,84860335.19553
abw,2011,-43296089.38547
abw,2012,47877094.97207
abw,2013,186078469.27374
abw,2014,294804463.81445
abw,2015,440520319.86411
abw,2016,458169064.79912
abw,2017,437672833.78287
abw,2018,362257172.94725
ago,2000,3579535954.38474
ago,2001,1293961879.64403
ago,2002,4413993125.91718
ago,2003,4641182416.35603
ago,2004,7898415867.01694
ago,2005,15227453822.5915
ago,2006,22761948357.6722
ago,2007,27084905642.9487
ago,2008,34228016267.9207
ago,2009,19445462449.002
ago,2010,30995207509.0234
ago,2011,42355491124.2102
ago,2012,47677918212.079
ago,2013,43788007675.3367
ago,2014,43665169650.2896
ago,2015,29073192362.1585
ago,2016,24703795903.6253
ago,2017,28518288549.4176
ago,2018,25513845106.4303
ago,2019,22823601674.4222
ago,2020,10488602555.7985
alb,1984,516548477.72922
alb,1985,538951951.12903
alb,1986,592338762.5
alb,1987,542271225
alb,1988,486661275
alb,1989,604465025
alb,1990,380916912.5
alb,1991,-120423583.33333
alb,1992,-78219135.04148
alb,1993,132852624.61727
alb,1994,58494524.07599
alb,1995,391396774.45454
alb,1996,516182320.19667
alb,1997,125853306.0668
alb,1998,441404972.21487
alb,1999,478592614.04779
alb,2000,901110932.72596
alb,2001,1134476235.55617
alb,2002,1109484249.9099
alb,2003,1473481775.28131
alb,2004,2111208192.66423
alb,2005,2424197682.57971
alb,2006,2585994654.75486
alb,2007,2557677618.51154
alb,2008,2283982939.33129
alb,2009,2087971212.1442
alb,2010,2381522618.85814
alb,2011,2648466326.99439
alb,2012,2417779495.7102
alb,2013,2266666868.96921
alb,2014,2107162875.25502
alb,2015,1920276288.35137
alb,2016,2022224647.15062
alb,2017,2152071862.80306
alb,2018,2507970225.84717
alb,2019,2233008343.38338
alb,2020,1648468875.66062
arg,1976,17422552951.9343
arg,1977,18458203481.1308
arg,1978,17529064899.9323
arg,1979,17462734260.058
arg,1980,17692338123.865
arg,1981,15641158356.0261
arg,1982,15477673255.1153
arg,1983,19275259160.2524
arg,1984,13937800352.0479
arg,1985,15637500395.0365
arg,1986,16399777529.1897
arg,1987,16885809657.9196
arg,1988,22223863462.78609
arg,1989,10445748222.629
arg,1990,22677692927.1088
arg,1991,25729551127.4253
arg,1992,31233371310.317
arg,1993,38471778478.47849
arg,1994,40285144300
arg,1995,42605253700
arg,1996,46619462700
arg,1997,48802850871.8422
arg,1998,48219558501.997
arg,1999,38734675164.8396
arg,2000,40835638747.9504
arg,2001,38192751717.45129
arg,2002,20857407079.9725
arg,2003,27730432866.98569
arg,2004,22694530662.5484
arg,2005,27244092749.7271
arg,2006,49744496573.6578
arg,2007,63863825405.9081
arg,2008,76294017592.2263
arg,2009,60919123239.7388
arg,2010,73309913920.63478
arg,2011,91975007880.4912
arg,2012,87658370115.67349
arg,2013,82551838414.13071
arg,2014,82905927237.96671
arg,2015,84973630217.30791
arg,2016,81602360901.166
arg,2017,84165178364.03551
arg,2018,59856533895.9671
arg,2019,64559870806.2974
arg,2020,72472786560.07629
arm,1993,-65344308.30842
arm,1994,33784186.69126
arm,1995,-31273953.72766
arm,1996,28547238.56514
arm,1997,64171580.46812
arm,1998,14319872.77575
arm,1999,52301989.95816
arm,2000,-17720517.87575
arm,2001,114651136.69701
arm,2002,243465169.54204
arm,2003,458724627.58665
