global,time,sl_fam_work_zs
world,1991,19.63944
world,1992,19.43428
world,1993,19.13397
world,1994,18.83521
world,1995,18.51408
world,1996,18.17412
world,1997,17.88931
world,1998,17.73928
world,1999,17.44262
world,2000,17.0979
world,2001,16.83944
world,2002,16.5702
world,2003,16.37737
world,2004,15.95489
world,2005,15.55386
world,2006,14.9082
world,2007,14.33884
world,2008,13.85408
world,2009,13.53977
world,2010,13.0621
world,2011,12.58997
world,2012,12.17739
world,2013,11.78188
world,2014,11.46995
world,2015,11.04955
world,2016,10.69557
world,2017,10.26067
world,2018,9.88216
world,2019,9.49903
