geo,time,nv_ind_totl_kn
abw,2000,530700000
afg,2002,45975204500
afg,2003,50696716800
afg,2004,59556513500
afg,2005,67293931100
afg,2006,76491358400
afg,2007,82330040300
afg,2008,87057281300
afg,2009,92373992400
afg,2010,98166397200
afg,2011,107794233900
afg,2012,114686673700
afg,2013,120490955600
afg,2014,123823471000
afg,2015,128988298200
afg,2016,128000358200
afg,2017,139785085500
afg,2018,155265782800
afg,2019,162794415800
afg,2020,155256622200
ago,2002,373119938800
ago,2003,372796658700
ago,2004,427974122300
ago,2005,515691405300
ago,2006,583728381100
ago,2007,699300184600
ago,2008,766200630300
ago,2009,736338581600
ago,2010,754968517400
ago,2011,744294306300
ago,2012,823823707000
ago,2013,850181266200
ago,2014,836413513100
ago,2015,899091822100
ago,2016,908175114700
ago,2017,893206040500
ago,2018,860981709900
ago,2019,769002000000
ago,2020,690642000000
alb,1996,100506836124.485
alb,1997,82965921954.9279
alb,1998,97689116798.03439
alb,1999,116529940499.338
alb,2000,146165997126.685
alb,2001,175755247905.466
alb,2002,187609076171.15601
alb,2003,211462026846.59695
alb,2004,226691899874.51001
alb,2005,240302359592.06
alb,2006,262417177357.06296
alb,2007,274443086794.24097
alb,2008,293506308221.10498
alb,2009,298971454422.67798
alb,2010,309136000000
alb,2011,316136000000
alb,2012,296723156328.60303
alb,2013,304785731248.24103
alb,2014,294671238490.30103
alb,2015,302250249432.49902
alb,2016,307982351370.10901
alb,2017,313506645243.60101
alb,2018,344213187411.87
alb,2019,347047657519.67603
alb,2020,334597600000
are,2001,438643730900
are,2002,422421927300
are,2003,452378141900
are,2004,494719796300
are,2005,513659731100
are,2006,584643979300
are,2007,568963643800
are,2008,583604547100
are,2009,545598244100
are,2010,559056765772.70398
are,2011,606481042667.71497
are,2012,627478715388.53503
are,2013,646420750603.70203
are,2014,656930720120.84998
are,2015,693567893642.60901
are,2016,709869855200.36597
are,2017,708151993194.95801
are,2018,720568651733.96704
are,2019,739028159281.02686
are,2020,698482405366.82703
arg,1965,74919076649.02838
arg,1966,75750477382.74188
arg,1967,78955540733.3636
arg,1968,86435953214.27049
arg,1969,96415995143.00841
arg,1970,95519084631.91879
arg,1971,101564741589.31799
arg,1972,104737516280.909
