geo,time,ic_frm_femo_zs
afg,2008,2.8
afg,2014,2.2
ago,2006,23.4
ago,2010,56.6
alb,2005,12.8
alb,2007,10.8
alb,2013,13.1
alb,2019,20.7
arg,2006,30.3
arg,2010,38
arg,2017,57.8
arm,2005,11.5
arm,2009,31.8
arm,2013,24.4
arm,2020,27.4
atg,2010,21.3
aze,2005,14.6
aze,2009,10.8
aze,2013,4
aze,2019,15.3
bdi,2006,34.8
bdi,2014,44
bel,2020,44.2
ben,2009,45.4
ben,2016,36.7
bfa,2006,23.3
bfa,2009,19.2
bgd,2007,16.1
bgd,2013,12.7
bgr,2005,28.8
bgr,2007,39.2
bgr,2009,33.9
bgr,2013,41.5
bgr,2019,41.7
bhs,2010,58.3
bih,2005,21.6
bih,2009,32.8
bih,2013,22.8
bih,2019,24.9
blr,2005,18.6
blr,2008,52.9
blr,2013,46.2
blr,2018,45.5
blz,2010,30.4
bol,2006,41.1
bol,2010,41.3
bol,2017,68.6
bra,2009,50.2
brb,2010,43.5
btn,2009,31.3
btn,2015,43.3
bwa,2006,40.9
bwa,2010,55.3
caf,2011,53.3
chl,2006,27.8
chl,2010,29.6
chn,2012,64.2
civ,2009,61.9
civ,2016,24.4
cmr,2006,35.3
cmr,2009,15.7
cmr,2016,39.7
cod,2006,21.2
cod,2010,38.9
cod,2013,15.1
cog,2009,31.8
col,2006,43
col,2010,35.3
col,2017,66.9
cpv,2006,42.7
cpv,2009,33.1
cri,2005,65.3
cri,2010,43.5
cyp,2019,45.1
cze,2005,17.8
cze,2009,25
cze,2013,30.4
cze,2019,29.9
deu,2005,20.3
dji,2013,22.3
dma,2010,41
dnk,2020,31.8
dom,2010,30
dom,2016,32.2
dza,2007,15
ecu,2006,32.7
ecu,2010,24.1
ecu,2017,70.4
egy,2007,20.9
egy,2008,34
egy,2013,16.1
egy,2016,17.8
egy,2020,5.2
eri,2009,4.2
esp,2005,34.1
est,2005,28.3
est,2009,36.3
est,2013,38.3
est,2019,35.5
eth,2006,30.9
eth,2011,35.3
eth,2015,36.2
fin,2020,44
fji,2009,49.1
fsm,2009,86.8
gab,2009,33.1
geo,2005,35.2
geo,2008,40.8
geo,2013,36.1
geo,2019,22.4
gha,2007,44
gha,2013,31.6
gin,2006,25.4
gin,2016,9
gmb,2006,21.3
gmb,2018,16.8
gnb,2006,19.9
grc,2005,24.4
grc,2018,45.9
grd,2010,57.3
gtm,2006,28.4
gtm,2010,44.2
gtm,2017,31.5
guy,2010,58.3
hnd,2006,39.9
hnd,2010,43.3
hnd,2016,54.7
hrv,2005,19.2
