global,time,dc_dac_fral_cd
world,1960,780400024.41406
world,1961,870000000
world,1962,860200012.20703
world,1963,822500000
world,1964,798899963.37891
world,1965,666799987.79297
world,1966,500799987.79297
world,1967,757299987.79297
world,1968,594900024.41406
world,1969,631799987.79297
world,1970,632099975.58594
world,1971,676299987.79297
world,1972,768459960.9375
world,1973,867979980.46875
world,1974,947000000
world,1975,1182079956.05469
world,1976,1126349975.58594
world,1977,1113459960.9375
world,1978,1461300048.82813
world,1979,1836219970.70313
world,1980,2173260009.76563
world,1981,2349139892.57813
world,1982,2324709960.9375
world,1983,2233550048.82813
world,1984,2399310058.59375
world,1985,2384659912.10938
world,1986,3088409912.10938
world,1987,4016659912.10938
world,1988,4121779785.15625
world,1989,4447580078.125
world,1990,5562470214.84375
world,1991,5824189941.40625
world,1992,6360839843.75
world,1993,6431529785.15625
world,1994,6845379882.8125
world,1995,6675939941.40625
world,1996,6029779785.15625
world,1997,4971600097.65625
world,1998,4586060058.59375
world,1999,4349240234.375
world,2000,3789770019.53125
world,2001,3445469970.70313
world,2002,4531540039.0625
world,2003,6430680175.78125
world,2004,6915149902.34375
world,2005,7018029785.15625
world,2006,7559430175.78125
world,2007,5864229980.46875
world,2008,6186700195.3125
world,2009,6664939941.40625
world,2010,7483339843.75
world,2011,8570690429.6875
world,2012,7990220214.84375
world,2013,6839350097.65625
world,2014,6561819824.21875
world,2015,5173030273.4375
world,2016,5628259765.625
world,2017,6632390136.71875
world,2018,7381399902.34375
world,2019,7446149902.34375
