geo,time,iq_sci_srce
afg,2004,20
afg,2005,20
afg,2006,20
afg,2007,20
afg,2008,30
afg,2009,40
afg,2010,40
afg,2011,40
afg,2012,40
afg,2013,40
afg,2014,40
afg,2015,40
afg,2016,40
afg,2017,40
afg,2018,40
afg,2019,40
afg,2020,40
ago,2004,30
ago,2005,30
ago,2006,30
ago,2007,20
ago,2008,10
ago,2009,30
ago,2010,30
ago,2011,30
ago,2012,20
ago,2013,0
ago,2014,10
ago,2015,30
ago,2016,30
ago,2017,40
ago,2018,20
ago,2019,40
ago,2020,30
alb,2004,100
alb,2005,100
alb,2006,100
alb,2007,100
alb,2008,100
alb,2009,100
alb,2010,80
alb,2011,80
alb,2012,80
alb,2013,80
alb,2014,100
alb,2015,100
alb,2016,100
alb,2017,100
alb,2018,80
alb,2019,90
alb,2020,90
arg,2004,80
arg,2005,80
arg,2006,80
arg,2007,80
arg,2008,80
arg,2009,80
arg,2010,80
arg,2011,80
arg,2012,80
arg,2013,80
arg,2014,80
arg,2015,100
arg,2016,90
arg,2017,90
arg,2018,80
arg,2019,80
arg,2020,90
arm,2004,80
arm,2005,80
arm,2006,80
arm,2007,80
arm,2008,80
arm,2009,80
arm,2010,80
arm,2011,80
arm,2012,80
arm,2013,80
arm,2014,80
arm,2015,100
arm,2016,100
arm,2017,100
arm,2018,90
arm,2019,90
arm,2020,90
atg,2005,40
atg,2006,40
atg,2007,40
atg,2008,60
atg,2009,60
atg,2010,60
atg,2011,60
atg,2012,60
atg,2013,60
atg,2014,60
atg,2015,60
atg,2016,60
atg,2017,60
atg,2018,60
atg,2019,60
atg,2020,40
aze,2004,80
aze,2005,80
aze,2006,80
aze,2007,80
aze,2008,80
aze,2009,80
aze,2010,80
aze,2011,80
aze,2012,70
aze,2013,60
aze,2014,60
aze,2015,60
aze,2016,60
aze,2017,80
aze,2018,80
aze,2019,80
aze,2020,80
bdi,2004,20
bdi,2005,20
bdi,2006,20
bdi,2007,30
bdi,2008,30
bdi,2009,50
bdi,2010,40
bdi,2011,40
bdi,2012,40
bdi,2013,40
bdi,2014,40
bdi,2015,40
bdi,2016,50
bdi,2017,50
bdi,2018,40
bdi,2019,60
bdi,2020,40
ben,2004,50
ben,2005,50
ben,2006,40
ben,2007,50
ben,2008,60
ben,2009,60
ben,2010,60
ben,2011,60
ben,2012,60
ben,2013,80
ben,2014,80
ben,2015,80
ben,2016,80
ben,2017,80
ben,2018,50
ben,2019,80
ben,2020,60
bfa,2004,80
bfa,2005,60
bfa,2006,60
bfa,2007,60
bfa,2008,60
bfa,2009,60
bfa,2010,60
bfa,2011,80
