global,time,ny_gdp_pcap_kd_zg
world,1961,2.46822
world,1962,3.53506
world,1963,3.04572
world,1964,4.42462
world,1965,3.42933
world,1966,3.5357
world,1967,2.07269
world,1968,3.81724
world,1969,3.66687
world,1970,1.78892
world,1971,2.11214
world,1972,3.52745
world,1973,4.35422
world,1974,-0.12127
world,1975,-1.23278
world,1976,3.44061
world,1977,2.28687
world,1978,2.3249
world,1979,2.38421
world,1980,0.06143
world,1981,0.1617
world,1982,-1.35868
world,1983,0.82214
world,1984,2.88004
world,1985,1.92987
world,1986,1.64795
world,1987,1.92366
world,1988,2.84007
world,1989,1.96783
world,1990,1.12103
world,1991,-0.21797
world,1992,0.47571
world,1993,0.23986
world,1994,1.74986
world,1995,1.55987
world,1996,2.13003
world,1997,2.40748
world,1998,1.38232
world,1999,2.12401
world,2000,3.13667
world,2001,0.69352
world,2002,1.04732
world,2003,1.87417
world,2004,3.18563
world,2005,2.76673
world,2006,3.21197
world,2007,3.16389
world,2008,0.75064
world,2009,-2.49848
world,2010,3.25225
world,2011,2.13111
world,2012,1.43462
world,2013,1.60851
world,2014,1.89164
world,2015,1.96313
world,2016,1.63698
world,2017,2.21712
world,2018,2.13875
world,2019,1.51911
world,2020,-4.29096
